id,Party_ID,Party,Votes,Municipality
2,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,20796,Gjakovë
2,144,LËVIZJA VETËVENDOSJE!,16358,Gjakovë
3,177,PARTIA DEMOKRATIKE E KOSOVËS,559,Drenas
3,182,DEMOKRATËT PËR DRENASIN,634,Drenas
3,177,PARTIA DEMOKRATIKE E KOSOVËS,11345,Drenas
3,182,DEMOKRATËT PËR DRENASIN,9442,Drenas
4,144,LËVIZJA VETËVENDOSJE!,21800,Gjilan
4,160,LIDHJA DEMOKRATIKE E KOSOVËS,20865,Gjilan
5,160,LIDHJA DEMOKRATIKE E KOSOVËS,6192,Dragash
5,177,PARTIA DEMOKRATIKE E KOSOVËS,5912,Dragash
6,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,7573,Istog
6,160,LIDHJA DEMOKRATIKE E KOSOVËS,9700,Istog
7,144,LËVIZJA VETËVENDOSJE!,6304,Kaçanik
7,177,PARTIA DEMOKRATIKE E KOSOVËS,7373,Kaçanik
8,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,7974,Klinë
8,177,PARTIA DEMOKRATIKE E KOSOVËS,6483,Klinë
9,144,LËVIZJA VETËVENDOSJE!,4212,Fushë Kosovë
9,160,LIDHJA DEMOKRATIKE E KOSOVËS,7978,Fushë Kosovë
10,127,PARTIA SOCIALDEMOKRATE,7248,Kamenicë
10,144,LËVIZJA VETËVENDOSJE!,8284,Kamenicë
15,109,INICIATIVA QYTETARE PËR OBILIQ,6522,Obiliq
15,144,LËVIZJA VETËVENDOSJE!,4117,Obiliq
16,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,11575,Rahovec
16,144,LËVIZJA VETËVENDOSJE!,6180,Rahovec
18,144,LËVIZJA VETËVENDOSJE!,20788,Podujevë
18,160,LIDHJA DEMOKRATIKE E KOSOVËS,19141,Podujevë
19,144,LËVIZJA VETËVENDOSJE!,40143,Prishtinë
19,160,LIDHJA DEMOKRATIKE E KOSOVËS,41746,Prishtinë
20,144,LËVIZJA VETËVENDOSJE!,26680,Prizren
20,177,PARTIA DEMOKRATIKE E KOSOVËS,27689,Prizren
22,144,LËVIZJA VETËVENDOSJE!,7029,Shtime
22,177,PARTIA DEMOKRATIKE E KOSOVËS,6844,Shtime
26,144,LËVIZJA VETËVENDOSJE!,8303,Viti
26,160,LIDHJA DEMOKRATIKE E KOSOVËS,8797,Viti
27,160,LIDHJA DEMOKRATIKE E KOSOVËS,11806,Vushtrri
27,177,PARTIA DEMOKRATIKE E KOSOVËS,13414,Vushtrri
30,119,NISMA SOCIALDEMOKRATE,10572,Malishevë
30,177,PARTIA DEMOKRATIKE E KOSOVËS,9337,Malishevë
31,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1424,Junik
31,160,LIDHJA DEMOKRATIKE E KOSOVËS,1658,Junik
32,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,1629,Mamushë
32,117,KOSOVA ADALET TÜRK PARTİSİ,949,Mamushë
37,147,SRPSKA LISTA,1029,Kllokot
37,187,GI SRPSKA NARODNA SLOGA,838,Kllokot
