id,Polling Center,Party_ID,Party,Votes,Municipality
2,0201C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,915,Gjakovë
2,0201C,144,LËVIZJA VETËVENDOSJE!,1516,Gjakovë
2,0202C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1332,Gjakovë
2,0202C,144,LËVIZJA VETËVENDOSJE!,2142,Gjakovë
2,0202X,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,2029,Gjakovë
2,0202X,144,LËVIZJA VETËVENDOSJE!,3522,Gjakovë
2,0203C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,683,Gjakovë
2,0203C,144,LËVIZJA VETËVENDOSJE!,1196,Gjakovë
2,0203X,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,582,Gjakovë
2,0203X,144,LËVIZJA VETËVENDOSJE!,1051,Gjakovë
2,0204C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1001,Gjakovë
2,0204C,144,LËVIZJA VETËVENDOSJE!,1718,Gjakovë
2,0205C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1359,Gjakovë
2,0205C,144,LËVIZJA VETËVENDOSJE!,2086,Gjakovë
2,0206C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,293,Gjakovë
2,0206C,144,LËVIZJA VETËVENDOSJE!,153,Gjakovë
2,0207C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,568,Gjakovë
2,0207C,144,LËVIZJA VETËVENDOSJE!,139,Gjakovë
2,0208C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,715,Gjakovë
2,0208C,144,LËVIZJA VETËVENDOSJE!,92,Gjakovë
2,0209C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,300,Gjakovë
2,0209C,144,LËVIZJA VETËVENDOSJE!,39,Gjakovë
2,0210C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,576,Gjakovë
2,0210C,144,LËVIZJA VETËVENDOSJE!,162,Gjakovë
2,0211C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,365,Gjakovë
2,0211C,144,LËVIZJA VETËVENDOSJE!,56,Gjakovë
2,0212C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,620,Gjakovë
2,0212C,144,LËVIZJA VETËVENDOSJE!,400,Gjakovë
2,0213C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,506,Gjakovë
2,0213C,144,LËVIZJA VETËVENDOSJE!,96,Gjakovë
2,0214C,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,776,Gjakovë
2,0214C,144,LËVIZJA VETËVENDOSJE!,103,Gjakovë
