id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
2,0202X,0202X/10R,144,LËVIZJA VETËVENDOSJE!,157,Gjakovë
2,0202X,0202X/13R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,132,Gjakovë
2,0202X,0202X/13R,144,LËVIZJA VETËVENDOSJE!,236,Gjakovë
2,0202X,0202X/14R,144,LËVIZJA VETËVENDOSJE!,155,Gjakovë
2,0202X,0202X/09R,144,LËVIZJA VETËVENDOSJE!,171,Gjakovë
2,0203C,0203C/01R,144,LËVIZJA VETËVENDOSJE!,176,Gjakovë
2,0203C,0203C/05D,144,LËVIZJA VETËVENDOSJE!,239,Gjakovë
2,0203C,0203C/04R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,146,Gjakovë
2,0203C,0203C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,164,Gjakovë
2,0203C,0203C/02R,144,LËVIZJA VETËVENDOSJE!,330,Gjakovë
2,0203C,0203C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,132,Gjakovë
2,0203C,0203C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,130,Gjakovë
2,0203C,0203C/04R,144,LËVIZJA VETËVENDOSJE!,243,Gjakovë
2,0203C,0203C/05D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,111,Gjakovë
2,0203C,0203C/03R,144,LËVIZJA VETËVENDOSJE!,208,Gjakovë
2,0203X,0203X/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,153,Gjakovë
2,0203X,0203X/01R,144,LËVIZJA VETËVENDOSJE!,277,Gjakovë
2,0203X,0203X/04D,144,LËVIZJA VETËVENDOSJE!,274,Gjakovë
2,0203X,0203X/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,159,Gjakovë
2,0203X,0203X/04D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,146,Gjakovë
2,0203X,0203X/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,124,Gjakovë
2,0203X,0203X/02R,144,LËVIZJA VETËVENDOSJE!,215,Gjakovë
2,0203X,0203X/03R,144,LËVIZJA VETËVENDOSJE!,285,Gjakovë
2,0204C,0204C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,155,Gjakovë
2,0204C,0204C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,129,Gjakovë
2,0204C,0204C/05R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,128,Gjakovë
2,0204C,0204C/01R,144,LËVIZJA VETËVENDOSJE!,245,Gjakovë
2,0204C,0204C/05R,144,LËVIZJA VETËVENDOSJE!,263,Gjakovë
2,0204C,0204C/03R,144,LËVIZJA VETËVENDOSJE!,195,Gjakovë
2,0204C,0204C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,145,Gjakovë
2,0204C,0204C/04R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,138,Gjakovë
2,0204C,0204C/02R,144,LËVIZJA VETËVENDOSJE!,269,Gjakovë
2,0204C,0204C/06R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,158,Gjakovë
2,0204C,0204C/07D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,148,Gjakovë
2,0204C,0204C/06R,144,LËVIZJA VETËVENDOSJE!,240,Gjakovë
2,0204C,0204C/04R,144,LËVIZJA VETËVENDOSJE!,259,Gjakovë
2,0204C,0204C/07D,144,LËVIZJA VETËVENDOSJE!,247,Gjakovë
2,0205C,0205C/02R,144,LËVIZJA VETËVENDOSJE!,252,Gjakovë
2,0205C,0205C/07R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,121,Gjakovë
2,0205C,0205C/03R,144,LËVIZJA VETËVENDOSJE!,213,Gjakovë
2,0205C,0205C/02R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,157,Gjakovë
2,0205C,0205C/05R,144,LËVIZJA VETËVENDOSJE!,168,Gjakovë
2,0205C,0205C/04R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,162,Gjakovë
2,0205C,0205C/10D,144,LËVIZJA VETËVENDOSJE!,220,Gjakovë
2,0205C,0205C/07R,144,LËVIZJA VETËVENDOSJE!,208,Gjakovë
2,0205C,0205C/01R,144,LËVIZJA VETËVENDOSJE!,205,Gjakovë
2,0205C,0205C/06R,144,LËVIZJA VETËVENDOSJE!,211,Gjakovë
2,0205C,0205C/03R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,117,Gjakovë
2,0205C,0205C/09R,144,LËVIZJA VETËVENDOSJE!,206,Gjakovë
2,0205C,0205C/10D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,122,Gjakovë
2,0205C,0205C/04R,144,LËVIZJA VETËVENDOSJE!,197,Gjakovë
2,0205C,0205C/08R,144,LËVIZJA VETËVENDOSJE!,206,Gjakovë
2,0205C,0205C/06R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,130,Gjakovë
2,0205C,0205C/05R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,147,Gjakovë
2,0205C,0205C/08R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,137,Gjakovë
2,0205C,0205C/09R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,133,Gjakovë
2,0205C,0205C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,133,Gjakovë
2,0206C,0206C/02D,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,98,Gjakovë
2,0206C,0206C/01R,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,195,Gjakovë
2,0206C,0206C/01R,144,LËVIZJA VETËVENDOSJE!,108,Gjakovë
2,0206C,0206C/02D,144,LËVIZJA VETËVENDOSJE!,45,Gjakovë
2,0207C,0207C/02R,144,LËVIZJA VETËVENDOSJE!,21,Gjakovë
