id,Party_ID,Party,Votes,Municipality
1,10,LËVIZJA VETËVENDOSJE!,2133,Deçan
1,31,NISMA - NISMA PËR KOSOVËN,97,Deçan
1,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,2636,Deçan
1,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,10434,Deçan
1,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,938,Deçan
10,10,LËVIZJA VETËVENDOSJE!,5970,Kamenicë
10,31,NISMA - NISMA PËR KOSOVËN,232,Kamenicë
10,34,AKR - ALEANCA KOSOVA E RE,1169,Kamenicë
10,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,5102,Kamenicë
10,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,2553,Kamenicë
10,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,2695,Kamenicë
11,10,LËVIZJA VETËVENDOSJE!,4885,Mitrovicë
11,14,BASRI BRAHIMI,330,Mitrovicë
11,30,ALTERNATIVA,187,Mitrovicë
11,31,NISMA - NISMA PËR KOSOVËN,357,Mitrovicë
11,34,AKR - ALEANCA KOSOVA E RE,8393,Mitrovicë
11,46,FJALA,188,Mitrovicë
11,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6695,Mitrovicë
11,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,596,Mitrovicë
11,56,FISNIK GJINAJ,213,Mitrovicë
11,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,9119,Mitrovicë
12,29,SRPSKA LISTA,5105,Leposaviq
12,62,PKS - PARTIJA KOSOVSKIH SRBA,2807,Leposaviq
12,76,GI NARODNA PRAVDA,166,Leposaviq
13,10,LËVIZJA VETËVENDOSJE!,2520,Lipjan
13,31,NISMA - NISMA PËR KOSOVËN,1023,Lipjan
13,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,17019,Lipjan
13,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,1876,Lipjan
13,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6161,Lipjan
14,29,SRPSKA LISTA,3097,Novobërdë
14,34,AKR - ALEANCA KOSOVA E RE,348,Novobërdë
14,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,1373,Novobërdë
14,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,148,Novobërdë
14,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,248,Novobërdë
15,10,LËVIZJA VETËVENDOSJE!,945,Obiliq
15,31,NISMA - NISMA PËR KOSOVËN,234,Obiliq
15,34,AKR - ALEANCA KOSOVA E RE,231,Obiliq
15,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,3244,Obiliq
15,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,5837,Obiliq
15,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,1466,Obiliq
16,10,LËVIZJA VETËVENDOSJE!,3513,Rahovec
16,31,NISMA - NISMA PËR KOSOVËN,295,Rahovec
16,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4768,Rahovec
16,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,7766,Rahovec
16,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6837,Rahovec
17,10,LËVIZJA VETËVENDOSJE!,2822,Pejë
17,30,ALTERNATIVA,286,Pejë
17,31,NISMA - NISMA PËR KOSOVËN,391,Pejë
17,46,FJALA,226,Pejë
17,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,22014,Pejë
17,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,13980,Pejë
17,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,4105,Pejë
18,10,LËVIZJA VETËVENDOSJE!,11671,Podujevë
18,31,NISMA - NISMA PËR KOSOVËN,242,Podujevë
18,46,FJALA,322,Podujevë
18,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,18872,Podujevë
18,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,971,Podujevë
18,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,7120,Podujevë
19,10,LËVIZJA VETËVENDOSJE!,38294,Prishtinë
19,30,ALTERNATIVA,271,Prishtinë
19,31,NISMA - NISMA PËR KOSOVËN,611,Prishtinë
19,34,AKR - ALEANCA KOSOVA E RE,8965,Prishtinë
19,46,FJALA,250,Prishtinë
19,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,31428,Prishtinë
19,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,2862,Prishtinë
19,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,5128,Prishtinë
2,10,LËVIZJA VETËVENDOSJE!,5557,Gjakovë
2,30,ALTERNATIVA,13860,Gjakovë
2,31,NISMA - NISMA PËR KOSOVËN,986,Gjakovë
2,34,AKR - ALEANCA KOSOVA E RE,463,Gjakovë
2,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,1582,Gjakovë
2,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,17219,Gjakovë
2,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,3506,Gjakovë
20,10,LËVIZJA VETËVENDOSJE!,14967,Prizren
20,22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,3659,Prizren
20,30,ALTERNATIVA,203,Prizren
20,31,NISMA - NISMA PËR KOSOVËN,5404,Prizren
20,34,AKR - ALEANCA KOSOVA E RE,423,Prizren
20,46,FJALA,345,Prizren
20,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,13055,Prizren
20,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,5814,Prizren
20,64,NDS - NOVA DEMOKRATSKA STRANKA,3057,Prizren
20,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,19869,Prizren
