Party_ID,Party,Votes
10,LËVIZJA VETËVENDOSJE!,148727
12,IQ INICIATIVA SHQIPËTARE PËR KLLOKOT,299
13,NEXHAT KRASNIQI,227
14,BASRI BRAHIMI,330
20,RİZA KRUEZİ,58
22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,5052
23,NSK - NAPREDNA SNAGA KOSOVA,123
24,GI GRAÐANSKA INICIJATIVA ZA ZUBIN POTOK,679
28,IQ INICIATIVA SHQIPËTARE PËR SYRINIKË,1001
29,SRPSKA LISTA,36721
30,ALTERNATIVA,14807
31,NISMA - NISMA PËR KOSOVËN,29506
34,AKR - ALEANCA KOSOVA E RE,26852
38,MEHDI SALI,197
39,RUFKI SUMA,2839
40,JGP - JEDINSTVENA GORANSKA PARTIJA,1418
41,GI KLOKOT-VRBOVAC,856
42,GI NOVI POĆETAK,995
44,PD - PARTIA E DREJTËSISË,299
46,FJALA,1463
47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,230029
50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,107838
51,IQ VIZIONI PËR DRENASIN,993
54,FATMIR RASHITI,3474
56,FISNIK GJINAJ,213
57,GI SDP - OLIVER IVANOVIĆ,1687
59,SHAIP SHALA,26
60,IQ INCIATIVA TË PAVARURIT E ISTOGUT,484
62,PKS - PARTIJA KOSOVSKIH SRBA,2807
64,NDS - NOVA DEMOKRATSKA STRANKA,3057
67,GI GRAÐANSKA INICIJATIVA NARODNA SLOGA,1059
68,BEKIM JASHARI,13982
72,IQ NISMA QYTETARE PËR FERIZAJ,244
74,KOALICIJA VAKAT,1427
76,GI NARODNA PRAVDA,166
77,PAI - PARTIA E ASHKANLIVE PËR INTEGRIM,548
8,PDS - PROGRESIVNA DEMOKRATSKA STRANKA,343
81,GI ZA NAŠ ZVEČAN,1193
83,IQ INCIATIVA QYTETARE PËR DRENASIN,525
9,YLBER ISLAMI,40
93,SELAJDIN BYTYÇI,81
94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,163758
95,KTAP - KOSOVA TÜRK ADALET PARTiSi,1129
