Candidate,Gender,Party_ID,Party,Acronym,Votes
RRUSTEM BERISHA,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,5008
RRUSTEM ISUFI,M,1,PARTIA LIBERALE EGJIPTIANE,,47
RRUSTEM LETI,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,4037
RRUSTEM MUSTAFA,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,6240
RUKIJE KARAMONI,F,18,PARTIA ROME E BASHKUAR E KOSOVËS,,29
RUZHDI BRAHIMI,M,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,50
RUZHDI SALIHI,M,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,86
RUZHDI SHEHU,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3813
SABAHAJDIN KOLLARI,M,15,FJALA,,314
SABIHA SHALA,F,2,PARTIA DEMOKRATIKE E KOSOVËS,,4571
SABINA DANA,F,8,NOVA DEMOKRATSKA STRANKA,,196
SABRI KIÇMARI,M,16,LËVIZJA VETËVENDOSJE!,,5398
SABRIE VELIU,F,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,176
SADETA EMINOVIC,F,8,NOVA DEMOKRATSKA STRANKA,,155
SADIJA USKOVIC,F,14,KOALICIJA VAKAT,,68
SADIJE JAKUPI,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,2702
SADIK DELIQI,M,8,NOVA DEMOKRATSKA STRANKA,,40
SAFET ADEMI,M,15,FJALA,,157
SAFET BELJULJI,M,13,JEDINSTVENA GORANSKA PARTIJA,,28
SAFET ČALAKOVIĆ,M,4,STRANKA DEMOKRATSKE AKCIJE,,65
SAFET KAMBERI,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,5206
SAFETE HADERGJONAJ,F,2,PARTIA DEMOKRATIKE E KOSOVËS,,4479
SAHIT BALIJA,M,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,16
SALI BERISHA,M,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,149
SALI CACAJ,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3316
SALI KABASHI,M,15,FJALA,,177
SALIH LAJÇI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,3266
SALIH SALIHU,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,1747
SALIH ZYBA,M,16,LËVIZJA VETËVENDOSJE!,,8612
SALJAJDIN ASLANI,M,14,KOALICIJA VAKAT,,101
