Candidate,Gender,Party_ID,Party,Acronym,Votes
KADRI GEMAJLI,M,1,PARTIA LIBERALE EGJIPTIANE,,121
KADRI KRYEZIU,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,4008
KADRI VESELI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,145881
KALTRINA ARIFAJ,F,2,PARTIA DEMOKRATIKE E KOSOVËS,,2434
KAQUSHA JASHARI,F,9,AAK-PSD KOALICIONI 100% KOSOVË,,795
KASTRIOT FETAHU,M,15,FJALA,,234
KASTRIOT SYLEJMANI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,736
KENAN ALIU,M,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,107
KOSOVARE MURSELI,F,2,PARTIA DEMOKRATIKE E KOSOVËS,,6103
KRISTINA NIKOLCEVIC JABLANOVIC,F,5,PARTIJA KOSOVSKIH SRBA,,164
KSENIJA BOŽOVIĆ,F,25,SRPSKA LISTA,,1616
KUJTIM GASHI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,13114
KUJTIM MUSTAFA,M,18,PARTIA ROME E BASHKUAR E KOSOVËS,,35
KUJTIM PREKAZI,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3559
KUJTIM SHALA,M,24,LIDHJA DEMOKRATIKE E KOSOVËS,,38921
KUMRIJE BAJRAMI,F,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,59
KUMRIJE SAHITI,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,3354
KURTAN KAJTAZI,M,2,PARTIA DEMOKRATIKE E KOSOVËS,,7002
LABINOT TAHIRI,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,3854
LABINOTË DEMI-MURTEZI,F,16,LËVIZJA VETËVENDOSJE!,,13693
LAHI BRAHIMAJ,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,5874
LAHUDIN MYRTAJ,M,9,AAK-PSD KOALICIONI 100% KOSOVË,,1149
LEJLA VESHALLI,F,20,KOSOVAKI NEVI ROMANI PARTIA,,45
LEONARDA SHABANAJ,F,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,46
LEONORA JUSUFI,F,15,FJALA,,32
LEONORA MORINA BUNJAKU,F,2,PARTIA DEMOKRATIKE E KOSOVËS,,3483
LEONORA RAMA,F,21,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,37
LEONORA SHABANI BAJRAKTARI,F,16,LËVIZJA VETËVENDOSJE!,,5588
LEUTRIM ZUKA,M,15,FJALA,,26
LIBURN ALIU,M,16,LËVIZJA VETËVENDOSJE!,,18600
LIDON PAJAZITI,M,14,KOALICIJA VAKAT,,1373
LIMAN KRASNIQI,M,12,NISMA SOCIALDEMOKRATE – ALEANCA KOSOVA E RE – PARTIA E DREJTËSISË,,950
LINDITA REXHA,F,16,LËVIZJA VETËVENDOSJE!,,2750
LIRIDON FANDAJ,M,16,LËVIZJA VETËVENDOSJE!,,1967
LIRIDONA GASHI,F,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,92
LIRIDONA MUSTAFA,F,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,3
LIRIJE ALIU,F,19,PARTIA EUROATLANTIKE E KOSOVËS,,37
LIRIJE KAJTAZI,F,24,LIDHJA DEMOKRATIKE E KOSOVËS,,8664
LIRIJE PAQKOLLI,F,6,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,26
LJUBINKO KARADŽIC,M,25,SRPSKA LISTA,,13026
LJUBIŠA MIRČEVIĆ,M,10,SLOBODA,,142
