id,Party_ID,Party,Votes,Municipality
1,10,LËVIZJA VETËVENDOSJE!,1378,Deçan
1,21,BK - BALLI KOMBËTAR I KOSOVËS,56,Deçan
1,31,NISMA - NISMA PËR KOSOVËN,153,Deçan
1,34,AKR - ALEANCA KOSOVA E RE,250,Deçan
1,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,2717,Deçan
1,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,9119,Deçan
1,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,1606,Deçan
2,10,LËVIZJA VETËVENDOSJE!,5363,Gjakovë
2,30,ALTERNATIVA,6796,Gjakovë
2,31,NISMA - NISMA PËR KOSOVËN,1893,Gjakovë
2,34,AKR - ALEANCA KOSOVA E RE,1330,Gjakovë
2,44,PD - PARTIA E DREJTËSISË,285,Gjakovë
2,45,PLE - PARTIA LIBERALE EGJIPTIANE,434,Gjakovë
2,46,FJALA,99,Gjakovë
2,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,3896,Gjakovë
2,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,10148,Gjakovë
2,82,IRDK - INICIATIVA E RE DEMOKRATIKE KOSOVËS,368,Gjakovë
2,86,PSHDK - PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,3892,Gjakovë
2,89,OBKD - ORGANIZATA E BALLIT KOMBËTAR DEMOKRAT,64,Gjakovë
2,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,5714,Gjakovë
3,10,LËVIZJA VETËVENDOSJE!,1308,Drenas
3,11,BASRI  GASHANI,154,Drenas
3,31,NISMA - NISMA PËR KOSOVËN,4179,Drenas
3,33,HAMIT  KASTRATI,496,Drenas
3,34,AKR - ALEANCA KOSOVA E RE,735,Drenas
3,37,NEXHMEDIN  HAXHIU,124,Drenas
3,46,FJALA,122,Drenas
3,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,839,Drenas
3,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,1082,Drenas
3,51,IQ VIZIONI PËR DRENASIN,1719,Drenas
3,52,ISTREF  ELSHANI,223,Drenas
3,71,ARBEN  NIKA,174,Drenas
3,79,SMAJL  MUSTAFA,233,Drenas
3,83,IQ INCIATIVA QYTETARE PËR DRENASIN,665,Drenas
3,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,9721,Drenas
4,10,LËVIZJA VETËVENDOSJE!,8605,Gjilan
4,18,PSD - PARTIA SOCIAL DEMOKRATE,57,Gjilan
4,21,BK - BALLI KOMBËTAR I KOSOVËS,76,Gjilan
4,22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,827,Gjilan
4,29,SRPSKA LISTA,659,Gjilan
4,31,NISMA - NISMA PËR KOSOVËN,1982,Gjilan
4,34,AKR - ALEANCA KOSOVA E RE,1958,Gjilan
4,44,PD - PARTIA E DREJTËSISË,523,Gjilan
4,46,FJALA,51,Gjilan
4,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,14723,Gjilan
4,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,4931,Gjilan
4,78,LQV - LËVIZJA QYTETARE VATRA,749,Gjilan
4,90,GI ZA EVROPSKO POMORAVLJE,235,Gjilan
4,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,7350,Gjilan
4,96,SLS - SAMOSTALNA LIBERALNA STRANKA,132,Gjilan
5,10,LËVIZJA VETËVENDOSJE!,731,Dragash
5,21,BK - BALLI KOMBËTAR I KOSOVËS,31,Dragash
5,27,PG - POKRET ZA GORA,354,Dragash
5,31,NISMA - NISMA PËR KOSOVËN,376,Dragash
5,34,AKR - ALEANCA KOSOVA E RE,322,Dragash
5,40,JGP - JEDINSTVENA GORANSKA PARTIJA,1180,Dragash
5,46,FJALA,29,Dragash
5,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,3991,Dragash
5,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,650,Dragash
5,70,GIG - GRAÐANSKA INICIJATIVA GORE,312,Dragash
5,74,KOALICIJA VAKAT,1502,Dragash
5,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,4541,Dragash
6,10,LËVIZJA VETËVENDOSJE!,1712,Istog
6,29,SRPSKA LISTA,636,Istog
6,31,NISMA - NISMA PËR KOSOVËN,335,Istog
6,45,PLE - PARTIA LIBERALE EGJIPTIANE,166,Istog
6,46,FJALA,56,Istog
6,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,7317,Istog
6,48,SDA - STRANKA DEMOKRATSKE AKCIJE,229,Istog
