Party_ID,Party,Votes
10,LËVIZJA VETËVENDOSJE!,119152
11,BASRI  GASHANI,154
12,IQ INICIATIVA SHQIPËTARE PËR KLLOKOT,318
15,LB - LËVIZJA PËR BASHKIM,5790
16,IQ LISTA PËR KAÇANIKUN,501
17,ADEM  BEQIRI,204
18,PSD - PARTIA SOCIAL DEMOKRATE,342
19,URA - PARTIA URA,167
20,RİZA KRUEZİ,34
21,BK - BALLI KOMBËTAR I KOSOVËS,163
22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,7797
23,NSK - NAPREDNA SNAGA KOSOVA,42
24,GI GRAÐANSKA INICIJATIVA ZA ZUBIN POTOK,408
25,PEK - PARTIA EKOLOGJIKE E KOSOVËS,358
26,KNRP - KOSOVAKI NEVI ROMANI PARTIA,241
27,PG - POKRET ZA GORA,354
28,IQ INICIATIVA SHQIPËTARE PËR SYRINIKË,949
29,SRPSKA LISTA,37416
30,ALTERNATIVA,9822
31,NISMA - NISMA PËR KOSOVËN,40124
32,NAIM  ZEQIRI,69
33,HAMIT  KASTRATI,496
34,AKR - ALEANCA KOSOVA E RE,31212
35,GI GRAĐANSKA INICIJATIVA MLADIH,238
36,GI DEMOKRATSKA INICIJATIVA,343
37,NEXHMEDIN  HAXHIU,124
38,MEHDI  SALI,75
40,JGP - JEDINSTVENA GORANSKA PARTIJA,1180
41,GI KLOKOT-VRBOVAC,510
42,GI NOVI POĆETAK,233
43,BESIM MISINI,102
44,PD - PARTIA E DREJTËSISË,4503
45,PLE - PARTIA LIBERALE EGJIPTIANE,1907
46,FJALA,2490
47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,181911
48,SDA - STRANKA DEMOKRATSKE AKCIJE,717
49,AGI - AKTIVNA GRAÐANSKA INICIJATIVA,162
50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,100481
51,IQ VIZIONI PËR DRENASIN,1719
52,ISTREF  ELSHANI,223
53,GI GRAÐANSKA INICIJATIVA CENTRALNO KOSOVO,141
55,IQ INICIATIVA QYTETARE PËR DREJTËSI DHE UNITET,445
57,GI SDP - OLIVER IVANOVIĆ,1460
58,BOJAN  SAIČIĆ,274
60,IQ INCIATIVA TË PAVARURIT E ISTOGUT,862
61,BEKIM IBISHI,176
62,PKS - PARTIJA KOSOVSKIH SRBA,2111
63,IQ INICIATIVË QYTETARE LËVIZJA PËR DREJTËSI,139
64,NDS - NOVA DEMOKRATSKA STRANKA,2813
65,IQ INICIATIVA PËR PROGRESIN E KLINËS,766
66,IQ INICIATIVA QYTETARE PËR NOVOBËRDËN,91
67,GI GRAÐANSKA INICIJATIVA NARODNA SLOGA,955
69,IQ INICIATIVA E THERANDËS,781
70,GIG - GRAÐANSKA INICIJATIVA GORE,312
71,ARBEN  NIKA,174
72,IQ NISMA QYTETARE PËR FERIZAJ,486
73,GI NARODNO JEDINSTVO,65
74,KOALICIJA VAKAT,5545
75,PDAK - PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,1661
76,GI NARODNA PRAVDA,79
77,PAI - PARTIA E ASHKANLIVE PËR INTEGRIM,1429
78,LQV - LËVIZJA QYTETARE VATRA,749
79,SMAJL  MUSTAFA,233
8,PDS - PROGRESIVNA DEMOKRATSKA STRANKA,1150
80,GI GRAÐANSKA INICIJATIVA ZAJEDNO,98
81,GI ZA NAŠ ZVEČAN,911
82,IRDK - INICIATIVA E RE DEMOKRATIKE KOSOVËS,368
83,IQ INCIATIVA QYTETARE PËR DRENASIN,665
84,IQ INICIATIVA QYTETARE KLLOKOT MOGILL,87
85,GI LIPJAN NAŠA KUĆA,333
86,PSHDK - PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,4322
87,IQ DYZETENJËMIJË,909
88,GI JEDNAKO ZA SVE,89
89,OBKD - ORGANIZATA E BALLIT KOMBËTAR DEMOKRAT,1063
9,YLBER  ISLAMI,20
90,GI ZA EVROPSKO POMORAVLJE,235
91,IQ INCIATIVA QYTETARE SHQIPËTARE,365
92,RADENKO  BELOŠEVIĆ,405
94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,167434
95,KTAP - KOSOVA TÜRK ADALET PARTiSi,1742
96,SLS - SAMOSTALNA LIBERALNA STRANKA,2216
97,SLAVIŠA  MALIKOVIĆ,419
98,SALIH  MEHA,111
