id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
36,ISMET HAMITI,M,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,ISNI KILAJ,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,ISUF BERISHA,M,14,PARTIA LIBERALE EGJIPTIANE,,0,Partesh
36,IVAN DIMIĆ,M,13,NAPREDNA SNAGA KOSOVA,,0,Partesh
36,IVAN LUKIĆ,M,21,GI. ZA PROSPERITET KOSOVA,,0,Partesh
36,IVAN STANKOVIĆ,M,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,,2,Partesh
36,IVANA MILIĆ,F,13,NAPREDNA SNAGA KOSOVA,,0,Partesh
36,IZET GËRGURI,M,19,FJALA,,0,Partesh
36,IZUDIN SAGDATI,M,22,NOVA DEMOKRATSKA STRANKA,,0,Partesh
36,JALDEZA MUTISHI,F,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,0,Partesh
36,JASEMA MIFTARI,F,20,KOALICIJA VAKAT,,0,Partesh
36,JASHAR ÇUKIQ,M,26,PARTIA ROME E BASHKUAR E KOSOVËS,,0,Partesh
36,JASMINA DEDIĆ,F,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,,24,Partesh
36,JASMINA KRASNIQI,F,24,KOALICIJA SDA,,0,Partesh
36,JASMINA VASIĆ,F,8,PROGRESIVNA DEMOKRATSKA STRANKA,,0,Partesh
36,JASMINA ŽIVKOVIĆ,F,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,,968,Partesh
36,JEHONA BEHRAMI,F,19,FJALA,,0,Partesh
36,JEHONA SHYTI,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,JELENA BONTIĆ,F,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,,949,Partesh
36,JETMIRE VRENEZI,F,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,JETON EMINI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,0,Partesh
36,JETON JASHARI,M,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,0,Partesh
36,JETON SVIRCA,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,JETON UJKANI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,JOLLXHI SHALA,M,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,0,Partesh
36,JUSUF ULAJ,M,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,KADIR HÜSEYIN,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,9,Partesh
36,KADRI KASTRATI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,1,Partesh
36,KADRI VESELI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,11,Partesh
36,KALTRINA MORINA,F,24,KOALICIJA SDA,,0,Partesh
36,KASTRIOT JAHAJ,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,KATARINA ADJANČIĆ,F,11,SAMOSTALNA LIBERALNA STRANKA,,6,Partesh
36,KENAN JASHARI,M,26,PARTIA ROME E BASHKUAR E KOSOVËS,,0,Partesh
36,KIMETE BYTYÇI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,KOLOSALE ÇITAKU,F,18,PARTIA DEMOKRATIKE E UNITETIT,,0,Partesh
36,KORAB SEJDIU,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,KRENARE BELLACËRKA,F,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,4,Partesh
36,KRENARE KOQI,F,25,Lëvizja VETËVENDOSJE!,,1,Partesh
36,KRENARE SPAHIU OSMANI,F,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,0,Partesh
36,KUJTIM BERISHA,M,19,FJALA,,0,Partesh
36,KUJTIM PAÇAK,M,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,0,Partesh
36,KUJTIM SHALA,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,KUJTIM SHALA,M,25,Lëvizja VETËVENDOSJE!,,0,Partesh
36,KUMRIJE BAJRAMI,F,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,1,Partesh
36,KURTAN KAJTAZI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,LABINOT TAHIRI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,LABINOTË DEMI-MURTEZI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,0,Partesh
36,LAHI BRAHIMAJ,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,0,Partesh
36,LAURESË KUKAJ,F,18,PARTIA DEMOKRATIKE E UNITETIT,,0,Partesh
36,LAZËR NRECAJ,M,25,Lëvizja VETËVENDOSJE!,,1,Partesh
