Candidate,Gender,Party_ID,Party,Acronym,Votes
ABDELNASER ÇUNI,M,19,FJALA,,424
ABDIRAMAN ZULJI,M,22,NOVA DEMOKRATSKA STRANKA,,157
ABDÜLHADİ KRASNİÇ,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,1082
ABDYL SALIHU,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,11464
ABDYL YMERI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,7993
ADEA BATUSHA,F,25,Lëvizja VETËVENDOSJE!,,4700
ADEL JONUZI,M,22,NOVA DEMOKRATSKA STRANKA,,101
ADEM HODŽA,M,1,JEDINSTVENA GORANSKA PARTIJA,,1398
ADEM HOTI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,18
ADEM MIKULLOVCI,M,25,Lëvizja VETËVENDOSJE!,,12639
ADEM ULLURI,M,18,PARTIA DEMOKRATIKE E UNITETIT,,220
ADIS SALAJI,M,20,KOALICIJA VAKAT,,136
ADMIR MAMUTI,M,20,KOALICIJA VAKAT,,56
ADMIR MEHMETI,M,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,17
AFËRDITA MORINA-BIFFAR,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,1790
AFIT ZULJI,M,20,KOALICIJA VAKAT,,291
AFRIM LIMANI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,207
AFRIM MISINI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,74
AGIM ADEMAJ,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,4855
AGIM ALIU,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,13868
AGIM BAHTIRI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,4813
AGIM BYTYQI,M,18,PARTIA DEMOKRATIKE E UNITETIT,,8
AGIM HADŽI,M,5,GRAĐANSKA INICIJATIVA GORE,,74
AGIM HYSENI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,183
AGIM KRASNIQI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,2358
AGIM MIFTARI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,99
AGIM NEZA,M,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,51
AGNESA MULOLLI,F,19,FJALA,,40
AGRON BERISHA,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,31
AGRON SINANAJ,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,51
AGRON ZENUNAJ,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,15
AHMET HAXHIMEHMET,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,122
AHMET ISUFI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,10981
AHMET SIJARIĆ,M,22,NOVA DEMOKRATSKA STRANKA,,56
AIDA DËRGUTI,F,25,Lëvizja VETËVENDOSJE!,,32460
AISHA GUSINAC,F,22,NOVA DEMOKRATSKA STRANKA,,36
AJET POTERA,M,25,Lëvizja VETËVENDOSJE!,,5780
AJET SMAJLI,M,18,PARTIA DEMOKRATIKE E UNITETIT,,3
ALBANA FETOSHI,F,25,Lëvizja VETËVENDOSJE!,,2159
ALBANA GASHI,F,25,Lëvizja VETËVENDOSJE!,,2956
ALBANA HOTI LAKNA,F,19,FJALA,,307
ALBENA RESHITAJ,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,5630
ALBERT LILA,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,3364
ALBERT ZEKAJ,M,19,FJALA,,242
ALBIN KURTI,M,25,Lëvizja VETËVENDOSJE!,,143621
ALBULENA BALAJ HALIMAJ,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,6819
ALBULENA HAXHIU,F,25,Lëvizja VETËVENDOSJE!,,19520
ALBULENA MULOLLI,F,19,FJALA,,31
ALEKSANDAR ČANOVIĆ,M,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,,166
ALEKSANDAR GRUJIĆ,M,13,NAPREDNA SNAGA KOSOVA,,69
ALEKSANDAR JABLANOVIĆ,M,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,,1503
ALEKSANDRA ĐEKIĆ,F,11,SAMOSTALNA LIBERALNA STRANKA,,2030
ALEKSANDRA DRAGOVIC,F,8,PROGRESIVNA DEMOKRATSKA STRANKA,,86
ALEKSANDRA PERIC,F,11,SAMOSTALNA LIBERALNA STRANKA,,85
ALI BERISHA,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,7105
ALI GASHI,M,14,PARTIA LIBERALE EGJIPTIANE,,93
ALI ISMAJLI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,58
ALI LAJÇI,M,25,Lëvizja VETËVENDOSJE!,,10436
ALI MORINA,M,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,101
ALI SADRIU,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,3905
ALI SINANI,M,14,PARTIA LIBERALE EGJIPTIANE,,17
ALLBERT KINOLLI,M,26,PARTIA ROME E BASHKUAR E KOSOVËS,,539
ALLMIRA QERIMI,F,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,38
ALMA HALITI,F,20,KOALICIJA VAKAT,,269
ALMA RAMADANI,F,1,JEDINSTVENA GORANSKA PARTIJA,,235
ALMIR SAITI,M,22,NOVA DEMOKRATSKA STRANKA,,254
ALMIR VELIJI,M,22,NOVA DEMOKRATSKA STRANKA,,521
AMIL KAPLANI,M,20,KOALICIJA VAKAT,,297
AMIR AHMETI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,2933
AMIRA MUSTAFA,F,20,KOALICIJA VAKAT,,111
AMIT GASHI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,21
ANDIN HOTI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,14354
ANITA MULOLLI VRAJOLLI,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,1682
ANTIGONA SOFRA,F,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,29
ANTON BERISHA,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,4618
