Candidate,Gender,Party_ID,Party,Acronym,Votes
ANTON QUNI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,28623
ARBAN ABRASHI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,8704
ARBEN GASHI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,11870
ARBEN SHABANI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,267
ARBËR REXHAJ,M,25,Lëvizja VETËVENDOSJE!,,6749
ARBËRESHA AJDINI-NALLBANI,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,1788
ARBERIJE NAGAVCI,F,25,Lëvizja VETËVENDOSJE!,,7314
ARBËRORE RIZA,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,620
ARDIAN BERISHA,M,18,PARTIA DEMOKRATIKE E UNITETIT,,23
ARDIAN HYSENI,M,19,FJALA,,285
ARDIAN SEJDIU,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,2699
ARDIANA BEKA,F,19,FJALA,,558
ARDIANA IMERI,F,19,FJALA,,33
ARDIJAN MAKSUTI,M,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,117
ARDITA RIZVANOLLI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,1346
ARHIM AJAZI,M,22,NOVA DEMOKRATSKA STRANKA,,467
ARIAN ÇALLAKAJ,M,19,FJALA,,83
ARIANIT TËRSHNJAKU,M,19,FJALA,,160
ARİF BÜTÜÇ,M,23,KOSOVA TÜRK ADALET PARTISI,,841
ARIF CËRMJANI,M,26,PARTIA ROME E BASHKUAR E KOSOVËS,,107
ARIF HODŽA,M,1,JEDINSTVENA GORANSKA PARTIJA,,283
ARIFE BERISHA,F,24,KOALICIJA SDA,,224
ARIFE LOXHA,F,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,66
ARIJETA REXHEPI,F,25,Lëvizja VETËVENDOSJE!,,3572
ARMEND JAMINI,M,7,POKRET ZA GORA,,371
ARMEND REXHEPI,M,19,FJALA,,280
ARMEND ZEMAJ,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,7478
ARMINA ŠERIFI,F,1,JEDINSTVENA GORANSKA PARTIJA,,98
ARNESA IBRAHIMI,F,19,FJALA,,417
ARSIM BAJRAMI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,8375
ARTA BAJRALIJA,F,25,Lëvizja VETËVENDOSJE!,,2966
ARTA HAXHAJ,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,2155
ARTAN BERISHA,M,14,PARTIA LIBERALE EGJIPTIANE,,374
ARZIE HALITI,F,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,259
ARZIJE RIZAHI,F,14,PARTIA LIBERALE EGJIPTIANE,,112
ASLAN KRUEZI,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,473
ASMIR ČUČULJ,M,20,KOALICIJA VAKAT,,32
ASTRIT SHALA,M,14,PARTIA LIBERALE EGJIPTIANE,,65
ATDHE ARIFI,M,25,Lëvizja VETËVENDOSJE!,,3729
ATIM KALJOŠI,M,1,JEDINSTVENA GORANSKA PARTIJA,,57
AVDIL HALIMI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,2515
AVDULAH DJEŠEVIĆ,M,22,NOVA DEMOKRATSKA STRANKA,,109
AVDULLAH HOTI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,115693
AVDULLAH QAFANI,M,14,PARTIA LIBERALE EGJIPTIANE,,446
AVDUSH BANUSHI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,70
AVDYL BERISHA,M,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,325
AVNI ÇAKMAKU,M,19,FJALA,,137
AVNI KLINAKU,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,7510
AVNI KOPILI,M,14,PARTIA LIBERALE EGJIPTIANE,,26
AVNI MUJAJ,M,14,PARTIA LIBERALE EGJIPTIANE,,42
AVNI TAFILI,M,25,Lëvizja VETËVENDOSJE!,,5206
AVNIJA BAHTIJARI,M,7,POKRET ZA GORA,,269
AYSER LESKOVCİ,F,23,KOSOVA TÜRK ADALET PARTISI,,398
BADISHA LALA,F,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,96
BAHRIE HAXHIU,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,1840
BAHRIM ŠABANI,M,20,KOALICIJA VAKAT,,1802
BAHTIJE SYLEJMANI,F,24,KOALICIJA SDA,,52
BAJRAM AJETI,M,25,Lëvizja VETËVENDOSJE!,,3380
BAJRAM GECAJ,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,3135
BAJRAM HASANI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,5189
BAJRAM KOVAQI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,54
BAJRAM REDŽEPOVIĆ,M,5,GRAĐANSKA INICIJATIVA GORE,,46
BAJRAM TUTAJ,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,74
BAJRAMSHA BRAIMI,F,14,PARTIA LIBERALE EGJIPTIANE,,197
BAJRAMSHA SHALA,F,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,93
BAJRUŠ SEZAIRI,M,22,NOVA DEMOKRATSKA STRANKA,,541
BAJRUSH BERISHA,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,51
BAJRUSH YMERI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,4393
BALI MUHARREMAJ,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,8780
BARDHYL META,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,5530
BARIŞ BÖLÜKBAŞ,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,243
BASHKIM KRASNIQI,M,14,PARTIA LIBERALE EGJIPTIANE,,889
BASHKIM LAJÇI,M,25,Lëvizja VETËVENDOSJE!,,1100
BASRI DUBOVA,M,14,PARTIA LIBERALE EGJIPTIANE,,33
BASRI MEROVCI,M,18,PARTIA DEMOKRATIKE E UNITETIT,,27
BEATRISA DEMIRI,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,5948
BEDRI MUSTAFA,M,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,121
BEHGJET PACOLLI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,35766
BEHIE SERTOLLI,F,25,Lëvizja VETËVENDOSJE!,,1268
BEHLUL SHALA,M,19,FJALA,,750
BEHXHET OSMANI,M,25,Lëvizja VETËVENDOSJE!,,1326
BEHXHET SAHITI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,46
BEJTA RAMADANI,M,15,KOSOVAKI  NEVI  ROMANI  PARTIA,,24
BEKË BERISHA,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,9100
BEKIM HAXHIU,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,12754
BEKIM SHABANI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,77
BEKRIJE NAZIFI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,3196
BELINDA ŠABANI,F,20,KOALICIJA VAKAT,,399
BELKISE BERISHA XHEMAJLI,F,19,FJALA,,118
BENJAMIN AJDARI,M,14,PARTIA LIBERALE EGJIPTIANE,,34
BERAT DAJAKU,M,19,FJALA,,229
BERAT MAKOLLI,M,19,FJALA,,76
BESA BAFTIU,F,25,Lëvizja VETËVENDOSJE!,,10123
BESA BERISHA,F,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,28
BESA GAXHERRI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,6562
BESA ZOGAJ GASHI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,3090
BESART JASHARI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,314
BESIM BERISHA,M,14,PARTIA LIBERALE EGJIPTIANE,,6
BESIM SHYTI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,1971
BESIME JETULLAHU,F,19,FJALA,,190
BESNIK KRASNIQI,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,5398
BESNIK TAHIRI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,8093
BILALL SHERIFI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,11931
BISLIM ZOGAJ,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,8614
BLENDI BORDONIQI,M,19,FJALA,,20
BLENDONA SHPATOLLAJ,F,14,PARTIA LIBERALE EGJIPTIANE,,23
BLERAND KRASNIQI,M,14,PARTIA LIBERALE EGJIPTIANE,,22
BLERIM BAJRAMI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,59
BLERIM GRAINCA,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,6868
BLERIM IBRAHIMI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,430
BLERIM KUÇI,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,9905
BLERINA KRASNIQI,F,19,FJALA,,1418
BLERTA ÇAKMAKU,F,19,FJALA,,27
BLERTA DELIU-KODRA,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,8711
BOBAN SEKULIĆ,M,21,GI. ZA PROSPERITET KOSOVA,,12
BOGOLJUB MAKSIMOVIĆ,M,11,SAMOSTALNA LIBERALNA STRANKA,,70
BOJAN ARSIĆ,M,8,PROGRESIVNA DEMOKRATSKA STRANKA,,216
BOJAN MILOVANOVIĆ,M,21,GI. ZA PROSPERITET KOSOVA,,106
BOJAN STANISAVLJEVIĆ,M,8,PROGRESIVNA DEMOKRATSKA STRANKA,,86
BOJAN STOJANOVIĆ,M,11,SAMOSTALNA LIBERALNA STRANKA,,2386
BOJANA TODOROVIĆ,F,11,SAMOSTALNA LIBERALNA STRANKA,,291
BRANIMIR STOJANOVIĆ,M,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,,12464
BRANISLAV MARKOVIĆ,M,11,SAMOSTALNA LIBERALNA STRANKA,,271
BRANISLAV ZDRAVKOVIĆ,M,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,,1195
BRANKICA NIĆIĆ,F,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,,3984
BRENDONA BAJRAMI,F,14,PARTIA LIBERALE EGJIPTIANE,,10
BUJAR BEHXHETI,M,19,FJALA,,134
BUKURIJE BUJUPI,F,18,PARTIA DEMOKRATIKE E UNITETIT,,9
BURBUQE BAKIJA DEVA,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,3451
BURHAN GASHI,M,14,PARTIA LIBERALE EGJIPTIANE,,28
BURIM HETEMI,M,19,FJALA,,205
ĆAMILJ TUĐARI,M,7,POKRET ZA GORA,,106
ĆERIM BAJRAMI,M,20,KOALICIJA VAKAT,,1622
CÜNEYD USTAİBO,M,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,634
CVETKO VELJKOVIĆ,M,8,PROGRESIVNA DEMOKRATSKA STRANKA,,197
DAFINA BYTYQI,F,19,FJALA,,73
DALILA BAHTIJAREVIĆ,F,22,NOVA DEMOKRATSKA STRANKA,,171
DANUSH ADEMI,M,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1270
DARDAN MOLLIQAJ,M,25,Lëvizja VETËVENDOSJE!,,49026
DARDAN SEJDIU,M,25,Lëvizja VETËVENDOSJE!,,39219
DARDAN VELIJA,M,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,1918
DAUT HARADINAJ,M,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,30417
DEIR JELMAZI,M,5,GRAĐANSKA INICIJATIVA GORE,,67
DEJAN JOVANOVIĆ,M,8,PROGRESIVNA DEMOKRATSKA STRANKA,,695
DEJAN NEDELJKOVIĆ,M,21,GI. ZA PROSPERITET KOSOVA,,22
DENIS SENADOVIC,M,22,NOVA DEMOKRATSKA STRANKA,,199
DENIS SOFRA,M,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,,342
DENIZ HAZIRI,F,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,,68
DERVISH ÇADRAKU,M,25,Lëvizja VETËVENDOSJE!,,1949
DESTAN HOTI,M,18,PARTIA DEMOKRATIKE E UNITETIT,,11
DIELLZA HOTI,F,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,,4529
DONIKA KADAJ BUJUPI,F,25,Lëvizja VETËVENDOSJE!,,15886
DORENTINA SAHITI,F,19,FJALA,,70
DORUNTINA DRENOVCI,F,19,FJALA,,25
DORUNTINA KUKAJ,F,18,PARTIA DEMOKRATIKE E UNITETIT,,48
DORUNTINË MALOKU- KASTRATI,F,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,,5701
DRAGAN AĐANČIĆ,M,11,SAMOSTALNA LIBERALNA STRANKA,,139
DRAGAN DANČETOVIĆ,M,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,,1528
