Candidate,Party_ID,Party,Acronym,Votes
FISNIK GJINAJ,56,FISNIK GJINAJ,,213
FITIM SELIMI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,1876
FLORIM SHKRETA,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,1732
GANI DRESHAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,6970
GAZMEND MUHAXHERI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,22014
GONXHE ÇAUSHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,763
GORAN RAKIĆ,29,SRPSKA LISTA,,5372
GRADIMIR MIKIĆ,29,SRPSKA LISTA,,110
HAJREDIN HYSENI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,7120
HAJRUSH KURTAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,2518
HAKI RUGOVA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,8872
HATIM BAXHAKU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,13055
HESET SAHITI,31,NISMA - NISMA PËR KOSOVËN,,1023
HYRIJETE ISUFI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,375
HYSNI MEHANI,10,LËVIZJA VETËVENDOSJE!,,529
IBER ELEZAJ,10,LËVIZJA VETËVENDOSJE!,,1306
IBRAHIM KRYEZIU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,4768
IDRIZ HAJDARI,83,IQ INCIATIVA QYTETARE PËR DRENASIN,,525
IDRIZ VEHAPI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6837
IMRI AHMETI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,17019
ISA FEJZULLAHI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,365
ISA XHEMAJLAJ,31,NISMA - NISMA PËR KOSOVËN,,5800
ISMET HAJRULLAHU,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6161
ISUF AMETI,34,AKR - ALEANCA KOSOVA E RE,,285
IVAN DIMIĆ,23,NSK - NAPREDNA SNAGA KOSOVA,,123
JONUZ AHMETI,28,IQ INICIATIVA SHQIPËTARE PËR SYRINIKË,,1001
