id,Polling Center,Candidate,Party_ID,Party,Acronym,Votes,Municipality
1,0112C,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,39,Deçan
1,0112C,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,7,Deçan
1,0112C,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,36,Deçan
1,0113C,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,423,Deçan
1,0113C,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,52,Deçan
1,0113C,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,85,Deçan
1,0113C,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,7,Deçan
1,0113C,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,80,Deçan
1,0114C,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,460,Deçan
1,0114C,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,54,Deçan
1,0114C,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,127,Deçan
1,0114C,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,3,Deçan
1,0114C,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,121,Deçan
1,BM001,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,23,Deçan
1,BM001,BLERAND KADRIJAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,10,Deçan
1,BM001,MAL LOKAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,3,Deçan
1,BM001,SHKODRAN IMERAJ,31,NISMA - NISMA PËR KOSOVËN,,0,Deçan
1,BM001,ZEKË SINANAJ,10,LËVIZJA VETËVENDOSJE!,,29,Deçan
1,CB101,BASHKIM RAMOSAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,110,Deçan
