id,Candidate,Party_ID,Party,Acronym,Votes,Municipality
19,SHYQIRI BYTYQI,31,NISMA - NISMA PËR KOSOVËN,,611,Prishtinë
2,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,17219,Gjakovë
2,BEKIM ERMENI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,1582,Gjakovë
2,DRITON ÇAUSHI,10,LËVIZJA VETËVENDOSJE!,,5557,Gjakovë
2,EDMOND DUSHI,34,AKR - ALEANCA KOSOVA E RE,,463,Gjakovë
2,FAZLI HOXHA,31,NISMA - NISMA PËR KOSOVËN,,986,Gjakovë
2,MIMOZA KUSARI LILA,30,ALTERNATIVA,,13860,Gjakovë
2,RAMADAN HOTI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,3506,Gjakovë
20,EMILIJA REDŽEPI,64,NDS - NOVA DEMOKRATSKA STRANKA,,3057,Prizren
20,HATIM BAXHAKU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,13055,Prizren
20,LULZIM KABASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,5814,Prizren
20,MYTAHER HASKUKA,10,LËVIZJA VETËVENDOSJE!,,14967,Prizren
20,NEXHMEDIN RAMADANI,46,FJALA,,345,Prizren
20,OSMAN KRASNIQI,34,AKR - ALEANCA KOSOVA E RE,,423,Prizren
20,SENCAR KARAMUÇO,22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,,3659,Prizren
20,SHAQIR TOTAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,19869,Prizren
20,VETON QIPA,30,ALTERNATIVA,,203,Prizren
20,ZAFIR BERISHA,31,NISMA - NISMA PËR KOSOVËN,,5404,Prizren
21,BEKIM JASHARI,68,BEKIM JASHARI,,13982,Skënderaj
21,HYSNI MEHANI,10,LËVIZJA VETËVENDOSJE!,,529,Skënderaj
21,ISA FEJZULLAHI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,365,Skënderaj
