id,Candidate,Party_ID,Party,Votes,Municipality
2,ARDIAN GJINI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,21999,Gjakovë
2,MIMOZA KUSARI LILA,30,ALTERNATIVA,19152,Gjakovë
4,LUTFI HAZIRI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,21261,Gjilan
4,SAMI KURTESHI,10,LËVIZJA VETËVENDOSJE!,12057,Gjilan
5,SELIM KRYEZIU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6303,Dragash
5,SHABAN SHABANI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6579,Dragash
6,GANI DRESHAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,10051,Istog
6,HAKI RUGOVA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,9380,Istog
7,BASRI KODRA,10,LËVIZJA VETËVENDOSJE!,5609,Kaçanik
7,BESIM ILAZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6782,Kaçanik
8,SOKOL BASHOTA,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,7869,Klinë
8,ZENUN ELEZAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,8397,Klinë
10,QËNDRON KASTRATI,10,LËVIZJA VETËVENDOSJE!,8764,Kamenicë
10,SHAIP SURDULLI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,7006,Kamenicë
11,AGIM BAHTIRI,34,AKR - ALEANCA KOSOVA E RE,16509,Mitrovicë
11,VALDETE IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12245,Mitrovicë
15,MEHMET KRASNIQI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4155,Obiliq
15,XHAFER GASHI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,6370,Obiliq
16,IDRIZ VEHAPI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,10271,Rahovec
16,SMAJL LATIFI,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,10561,Rahovec
18,AGIM VELIU,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,20027,Podujevë
18,AJET POTERA,10,LËVIZJA VETËVENDOSJE!,11373,Podujevë
19,ARBAN ABRASHI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,41897,Prishtinë
19,SHPEND AHMETI,10,LËVIZJA VETËVENDOSJE!,42262,Prishtinë
20,MYTAHER HASKUKA,10,LËVIZJA VETËVENDOSJE!,25949,Prizren
20,SHAQIR TOTAJ,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,25577,Prizren
22,FATMIR RASHITI,54,FATMIR  RASHITI,5861,Shtime
22,NAIM ISMAJLI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6252,Shtime
24,BALI MUHARREMAJ,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,13755,Suharekë
24,SALI ASLLANAJ,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,12410,Suharekë
25,AGIM ALIU,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,24384,Ferizaj
25,MUHAREM SVARQA,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,19016,Ferizaj
27,FERIT IDRIZI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,12758,Vushtrri
27,XHAFER TAHIRI,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,15122,Vushtrri
30,MURSEL GASHI,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,8607,Malishevë
30,RAGIP BEGAJ,31,NISMA - NISMA PËR KOSOVËN,10868,Malishevë
36,DRAGAN PETKOVIC,29,SRPSKA LISTA,1331,Partesh
36,NENAD CVETKOVIĆ,67,GI GRA?ANSKA INICIJATIVA NARODNA SLOGA,818,Partesh
37,BOŽIDAR DEJANOVIĆ,41,GI KLOKOT-VRBOVAC,1042,Kllokot
37,STRAHINJA SPASIĆ,29,SRPSKA LISTA,1032,Kllokot
