Party_ID,Party,Votes
108,SAVEZ KOSOVSKIH SRBA,3718
109,INICIATIVA QYTETARE PËR MALISHEVËN,12029
126,G.I.SRPSKA,17321
130,Samostalna Liberalna Stranka - SLS,5818
134,SRPSKA NARODNA PARTIJA KOSOVA - SNPK,1463
41,GI SDP - OLIVER IVANOVIC,1887
61,LËVIZJA VETËVENDOSJE!,37049
62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,80213
78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,195487
89,AKR - ALEANCA KOSOVA E RE,37010
99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,142575
