id,Party_ID,Party,Votes,Municipality
1,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),84,Deçan
1,55,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS (PSHDK),3,Deçan
1,61,LËVIZJA VETËVENDOSJE!,799,Deçan
1,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,7170,Deçan
1,70,Partia e Drejtësisë - PD,158,Deçan
1,70,PARTIA E DREJTËSISË - PD,1,Deçan
1,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4532,Deçan
1,94,BALLI KOMBËTAR I KOSOVËS - BKK,83,Deçan
1,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,1854,Deçan
10,106,GRAÐANSKA INICIJATIVA SVI ZA KAMENICU,1552,Kamenicë
10,61,LËVIZJA VETËVENDOSJE!,733,Kamenicë
10,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,2846,Kamenicë
10,70,Partia e Drejtësisë - PD,428,Kamenicë
10,70,PARTIA E DREJTËSISË - PD,8,Kamenicë
10,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4960,Kamenicë
10,89,AKR - ALEANCA KOSOVA E RE,2497,Kamenicë
10,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,4390,Kamenicë
11,102,KDTP - Kosova Demokratik Türk Partisi,386,Mitrovicë
11,102,KDTP - KOSOVA DEMOKRATIK TÜRK PARTISI,12,Mitrovicë
11,110,TË PAVARURIT E MITROVICËS,905,Mitrovicë
11,121,Lëvizja Për Bashkim - LB,371,Mitrovicë
11,121,LËVIZJA PËR BASHKIM - LB,5,Mitrovicë
11,122,PDAK - Partia Demokratike e Ashkanlive të Kosovës,98,Mitrovicë
11,122,PDAK - PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,50,Mitrovicë
11,61,LËVIZJA VETËVENDOSJE!,2086,Mitrovicë
11,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1824,Mitrovicë
11,70,Partia e Drejtësisë - PD,552,Mitrovicë
11,70,PARTIA E DREJTËSISË - PD,25,Mitrovicë
11,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6081,Mitrovicë
11,89,AKR - ALEANCA KOSOVA E RE,3671,Mitrovicë
11,92,BSDAK - BOŠNJACKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,124,Mitrovicë
11,95,PARTIA E ASHKALINJËVE PËR INTEGRIM - PAI,108,Mitrovicë
11,97,NDS - NOVA DEMOKRATSKA STRANKA,76,Mitrovicë
11,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,10375,Mitrovicë
12,123,DEMOKRATSKA INICIJATIVA,814,Leposaviq
12,126,G.I.SRPSKA,1628,Leposaviq
12,130,Samostalna Liberalna Stranka - SLS,431,Leposaviq
12,130,SAMOSTALNA LIBERALNA STRANKA - SLS,14,Leposaviq
12,132,NARODNA PRAVDA,217,Leposaviq
12,41,GI SDP - OLIVER IVANOVIC,300,Leposaviq
12,61,LËVIZJA VETËVENDOSJE!,15,Leposaviq
12,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,88,Leposaviq
12,65,INICIJATIVA ZA BOLJI ŽIVOT,175,Leposaviq
12,67,NOVA SNAGA,23,Leposaviq
12,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,66,Leposaviq
12,83,GRAÐANSKA INICIJATIVA ZAJEDNO,232,Leposaviq
12,92,BSDAK - BOŠNJACKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,70,Leposaviq
12,98,SOCIJALDEMOKRATIJA - SD,47,Leposaviq
12,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,83,Leposaviq
13,102,KDTP - Kosova Demokratik Türk Partisi,172,Lipjan
13,102,KDTP - KOSOVA DEMOKRATIK TÜRK PARTISI,4,Lipjan
13,114,ZAJEDNO ZA LIPLJAN,168,Lipjan
13,117,INICIATIVA QYTETARE E LIPJANIT DEMOKRATIK,386,Lipjan
13,118,PSD - Partia Socialdemokrate e Kosovës,637,Lipjan
13,118,PSD - PARTIA SOCIALDEMOKRATE E KOSOVËS,6,Lipjan
13,121,Lëvizja Për Bashkim - LB,183,Lipjan
13,121,LËVIZJA PËR BASHKIM - LB,5,Lipjan
13,122,PDAK - Partia Demokratike e Ashkanlive të Kosovës,159,Lipjan
13,122,PDAK - PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,0,Lipjan
13,126,G.I.SRPSKA,540,Lipjan
13,130,Samostalna Liberalna Stranka - SLS,21,Lipjan
13,130,SAMOSTALNA LIBERALNA STRANKA - SLS,5,Lipjan
13,40,NCPK - NARODNA CRNOGORSKA PARTIJA KOSOVA,92,Lipjan
13,61,LËVIZJA VETËVENDOSJE!,1494,Lipjan
13,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,4037,Lipjan
13,70,Partia e Drejtësisë - PD,424,Lipjan
13,70,PARTIA E DREJTËSISË - PD,8,Lipjan
13,75,ALEANCA PËR LIPJANIN,2047,Lipjan
13,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,7434,Lipjan
13,80,HSK - HRVATSKA STRANKA KOSOVA,60,Lipjan
13,90,KTAP - KOSOVA TÜRK ADALET PARTISI,140,Lipjan
13,95,PARTIA E ASHKALINJËVE PËR INTEGRIM - PAI,399,Lipjan
13,98,SOCIJALDEMOKRATIJA - SD,46,Lipjan
13,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,8601,Lipjan
14,123,DEMOKRATSKA INICIJATIVA,555,Novobërdë
14,124,BUDUCNOST ZA NOVO BRDO,159,Novobërdë
14,126,G.I.SRPSKA,841,Novobërdë
14,130,Samostalna Liberalna Stranka - SLS,284,Novobërdë
14,130,SAMOSTALNA LIBERALNA STRANKA - SLS,6,Novobërdë
14,141,SRPSKA GRADJANSKA INICIJATIVA,312,Novobërdë
14,52,OPSTANAK GRADJANSKA INICIJATIVA,708,Novobërdë
14,61,LËVIZJA VETËVENDOSJE!,98,Novobërdë
14,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,120,Novobërdë
14,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,1333,Novobërdë
14,79,ZAJEDNICKA BUDUCNOST NOVO BRDO,206,Novobërdë
14,89,AKR - ALEANCA KOSOVA E RE,83,Novobërdë
14,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,171,Novobërdë
15,121,Lëvizja Për Bashkim - LB,1789,Obiliq
15,121,LËVIZJA PËR BASHKIM - LB,11,Obiliq
15,123,DEMOKRATSKA INICIJATIVA,359,Obiliq
15,126,G.I.SRPSKA,562,Obiliq
15,130,Samostalna Liberalna Stranka - SLS,101,Obiliq
15,130,SAMOSTALNA LIBERALNA STRANKA - SLS,6,Obiliq
15,135,GRAÐANSKA INICIJATIVA BUDUCNOST,77,Obiliq
15,136,Crnogorska Liberalna Stranka - CLS,82,Obiliq
15,136,CRNOGORSKA LIBERALNA STRANKA - CLS,1,Obiliq
15,48,PREBK - PARTIA ROME E BASHKUAR E KOSOVËS,47,Obiliq
15,61,LËVIZJA VETËVENDOSJE!,345,Obiliq
15,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,2285,Obiliq
15,70,Partia e Drejtësisë - PD,391,Obiliq
15,70,PARTIA E DREJTËSISË - PD,2,Obiliq
15,73,ZAJEDNICKA BUDUCNOST PLEMETINA,114,Obiliq
15,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,2766,Obiliq
15,89,AKR - ALEANCA KOSOVA E RE,229,Obiliq
15,95,PARTIA E ASHKALINJËVE PËR INTEGRIM - PAI,52,Obiliq
15,98,SOCIJALDEMOKRATIJA - SD,50,Obiliq
15,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,2106,Obiliq
16,113,IRDK - Iniciativa e Re Demokratike e Kosovës,44,Rahovec
16,113,IRDK - INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,Rahovec
16,121,Lëvizja Për Bashkim - LB,591,Rahovec
16,121,LËVIZJA PËR BASHKIM - LB,10,Rahovec
16,126,G.I.SRPSKA,326,Rahovec
16,130,Samostalna Liberalna Stranka - SLS,70,Rahovec
16,130,SAMOSTALNA LIBERALNA STRANKA - SLS,12,Rahovec
16,61,LËVIZJA VETËVENDOSJE!,1430,Rahovec
16,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,5885,Rahovec
16,66,INICIATIVA QYTETARE NDRYSHE RAHOVEC,64,Rahovec
16,67,NOVA SNAGA,69,Rahovec
16,70,Partia e Drejtësisë - PD,403,Rahovec
16,70,PARTIA E DREJTËSISË - PD,7,Rahovec
16,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,5090,Rahovec
16,89,AKR - ALEANCA KOSOVA E RE,733,Rahovec
16,98,SOCIJALDEMOKRATIJA - SD,83,Rahovec
16,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,7953,Rahovec
17,111,ADK - ALTERNATIVA DEMOKRATIKE E KOSOVËS,263,Pejë
17,113,IRDK - Iniciativa e Re Demokratike e Kosovës,720,Pejë
