id,Polling Center,Polling Station,Party_ID,Party,Votes,Municipality
1,0101C,0101C/01R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),3,Deçan
1,0101C,0101C/03R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0101X,0101X/02R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0106C,0106C/05R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),3,Deçan
1,0102C,0102C/01R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),4,Deçan
1,0103C,0103C/01R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),4,Deçan
1,0103C,0103C/03R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0101C,0101C/02R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),2,Deçan
1,0101C,0101C/04R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),1,Deçan
1,0101X,0101X/03R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),1,Deçan
1,0106C,0106C/06R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0102C,0102C/02R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),1,Deçan
1,0103C,0103C/02R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,CB201,CB201/001,55,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS (PSHDK),3,Deçan
1,0105C,0105C/01R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0101C,0101C/05D,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0101X,0101X/04R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),2,Deçan
1,0106C,0106C/07R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0102C,0102C/03R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0102C,0102C/05R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0103C,0103C/05D,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,BM201,BM201/001,55,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS (PSHDK),0,Deçan
1,0101X,0101X/01R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),1,Deçan
1,0101X,0101X/05R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0106C,0106C/08D,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0102C,0102C/04R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0103C,0103C/04R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),0,Deçan
1,0108C,0108C/06R,55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),1,Deçan
