Party_ID,Party,Votes
100,ARBEN THAQI,265
101,LËVIZJA PËR INTEGRIM DHE ZHVILLIM,238
102,KDTP - Kosova Demokratik Türk Partisi,6912
102,KDTP - KOSOVA DEMOKRATIK TÜRK PARTISI,92
103,BEQIR GASHI,223
104,GRAÐANSKA INICIJATIVA PRIZREN,133
105,NISMA E BALLIT PËR GJILAN,107
106,GRAÐANSKA INICIJATIVA SVI ZA KAMENICU,1552
107,INICIATIVA QYTETARE PËR DRENASIN,3236
108,SAVEZ KOSOVSKIH SRBA,2644
109,INICIATIVA QYTETARE PËR MALISHEVËN,7806
110,TË PAVARURIT E MITROVICËS,905
111,ADK - ALTERNATIVA DEMOKRATIKE E KOSOVËS,1312
112,NISMA QYTETARE PËR FERIZAJ,1001
113,IRDK - Iniciativa e Re Demokratike e Kosovës,1796
113,IRDK - INICIATIVA E RE DEMOKRATIKE E KOSOVËS,34
114,ZAJEDNO ZA LIPLJAN,168
115,VISAR GRAJÇEVCI,55
116,NARODNO JEDINSTVO,128
117,INICIATIVA QYTETARE E LIPJANIT DEMOKRATIK,386
118,PSD - Partia Socialdemokrate e Kosovës,2020
118,PSD - PARTIA SOCIALDEMOKRATE E KOSOVËS,29
119,ZAFER GASHI,260
120,Partia e Fortë - PF,1554
120,PARTIA E FORTË - PF,16
121,Lëvizja Për Bashkim - LB,8431
121,LËVIZJA PËR BASHKIM - LB,127
122,PDAK - Partia Demokratike e Ashkanlive të Kosovës,1884
122,PDAK - PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,74
123,DEMOKRATSKA INICIJATIVA,2066
124,BUDUCNOST ZA NOVO BRDO,159
125,GRADJANSKA INICIJATIVA NOVESNAGE,62
126,G.I.SRPSKA,21761
127,GRAÐANSKA INICIJATIVA SRPSKA PASJANE,264
129,ZAJEDNICKA BUDUCNOST-GNJILANE,273
130,Samostalna Liberalna Stranka - SLS,7933
130,SAMOSTALNA LIBERALNA STRANKA - SLS,351
131,LËVIZJA SOCIALE E KOSOVËS,399
132,NARODNA PRAVDA,217
133,INICIATIVA PER PROGRESIN E KLINËS,1092
134,SRPSKA NARODNA PARTIJA KOSOVA - SNPK,1038
135,GRAÐANSKA INICIJATIVA BUDUCNOST,77
136,Crnogorska Liberalna Stranka - CLS,361
136,CRNOGORSKA LIBERALNA STRANKA - CLS,78
137,INICIJATIVA-SABAHUDIN CIRIKOVIC,394
138,ARIF ELSHANI,511
139,NARODNA INICIJATIVA,326
140,ZA EVROPSKO POMORAVLJE,904
141,SRPSKA GRADJANSKA INICIJATIVA,312
142,ISUF HOXHA,187
40,NCPK - NARODNA CRNOGORSKA PARTIJA KOSOVA,166
41,GI SDP - OLIVER IVANOVIC,2108
42,GRAÐANSKA INICIJATIVA SIMONIDA,28
43,USB - UJEDINJENA STRANKA BOŠNJAKA,279
44,LËVIZJA REPUBLIKANE,1107
45,EKREM ABAZI,384
47,IQ GRUPIMI TRADICIONAL SHQIPTAR,171
48,PREBK - PARTIA ROME E BASHKUAR E KOSOVËS,462
49,SDA-SDSG,1177
50,VAKAT - KOALICIJA VAKAT,4833
52,OPSTANAK GRADJANSKA INICIJATIVA,708
53,FESTIM XHYMSHITI,175
54,JEDINSTVENA SRPSKA LISTA VIDOVDAN,675
55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),5327
55,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS (PSHDK),93
57,GI ZA KOSOVSKO POMORAVLJE,183
58,ZA ZAJEDNICKU BUDUCNOST KLOKOT,108
59,GRAÐANSKA INICIJATIVA SRPSKA DONJA BUDRIGA,156
60,KOSOVA TÜRK BIRLIGI - KTB,281
61,LËVIZJA VETËVENDOSJE!,60966
62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,104792
63,PK - PARTIA KONSERVATORE E KOSOVËS,1743
64,CDU - CENTAR DEMOKRATSKE UNIJE,2999
65,INICIJATIVA ZA BOLJI ŽIVOT,175
66,INICIATIVA QYTETARE NDRYSHE RAHOVEC,64
67,NOVA SNAGA,326
68,HAJRULLA SHEHI,203
69,INICIATIVA QYTETARE MOGILLË KLLOKOT,53
70,Partia e Drejtësisë - PD,16010
70,PARTIA E DREJTËSISË - PD,340
72,INICIATIVA QYTETARE LËVIZJA VATRA,1604
73,ZAJEDNICKA BUDUCNOST PLEMETINA,114
74,BD - BASHKIMI DEMOKRATIK,6357
75,ALEANCA PËR LIPJANIN,2047
76,ISUF MUSLIJA,26
77,GRAÐANSKA INICIJATIVA BOŠNJAKA ISTOK,352
78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,191362
79,ZAJEDNICKA BUDUCNOST NOVO BRDO,206
80,HSK - HRVATSKA STRANKA KOSOVA,313
81,HYSNI REXHEPI,185
82,BASHKIMI DEMOKRATIK PËR KAÇANIKUN,667
83,GRAÐANSKA INICIJATIVA ZAJEDNO,232
84,SAVEZ ROMA KOSOVA,132
85,NISMA QYTETARE PËR PRIZRENIN,922
86,INICIATIVA QYTETARE KLINË,1466
87,PDKI - Partia Demokristiane Për Integrim,1014
87,PDKI - PARTIA DEMOKRISTIANE PËR INTEGRIM,15
88,FATMIR DUGOLLI,453
89,AKR - ALEANCA KOSOVA E RE,36893
90,KTAP - KOSOVA TÜRK ADALET PARTISI,3764
91,INICIATIVA QYTETARE PËR NDRYSHIM,312
92,BSDAK - BOŠNJACKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,534
93,Gradanska inicijativa Gore - GIG,323
93,GRADANSKA INICIJATIVA GORE - GIG,21
94,BALLI KOMBËTAR I KOSOVËS - BKK,1184
95,PARTIA E ASHKALINJËVE PËR INTEGRIM - PAI,1391
96,ZAJEDNICKA BUDUCNOST,283
97,NDS - NOVA DEMOKRATSKA STRANKA,2949
98,SOCIJALDEMOKRATIJA - SD,944
99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,202419
