Party_ID,Party,Votes
102,KDTP - Kosova Demokratik Türk Partisi,918
102,KDTP - KOSOVA DEMOKRATIK TÜRK PARTISI,33
107,INICIATIVA QYTETARE PËR DRENASIN,5614
108,SAVEZ KOSOVSKIH SRBA,3611
109,INICIATIVA QYTETARE PËR MALISHEVËN,10442
110,TË PAVARURIT E MITROVICËS,833
111,ADK - ALTERNATIVA DEMOKRATIKE E KOSOVËS,894
112,NISMA QYTETARE PËR FERIZAJ,696
116,NARODNO JEDINSTVO,126
118,PSD - Partia Socialdemokrate e Kosovës,237
118,PSD - PARTIA SOCIALDEMOKRATE E KOSOVËS,21
120,Partia e Fortë - PF,1327
120,PARTIA E FORTË - PF,17
121,Lëvizja Për Bashkim - LB,4602
121,LËVIZJA PËR BASHKIM - LB,63
123,DEMOKRATSKA INICIJATIVA,1155
124,BUDUCNOST ZA NOVO BRDO,92
126,G.I.SRPSKA,18775
128,ADRIJANA HODŽIC,717
130,Samostalna Liberalna Stranka - SLS,7641
130,SAMOSTALNA LIBERALNA STRANKA - SLS,199
131,LËVIZJA SOCIALE E KOSOVËS,244
132,NARODNA PRAVDA,209
134,SRPSKA NARODNA PARTIJA KOSOVA - SNPK,1149
139,NARODNA INICIJATIVA,333
140,ZA EVROPSKO POMORAVLJE,1225
141,SRPSKA GRADJANSKA INICIJATIVA,564
41,GI SDP - OLIVER IVANOVIC,1949
42,GRAÐANSKA INICIJATIVA SIMONIDA,50
46,RUFKI SUMA,2864
47,IQ GRUPIMI TRADICIONAL SHQIPTAR,215
50,VAKAT - KOALICIJA VAKAT,1558
51,YLL ISUFI,143
52,OPSTANAK GRADJANSKA INICIJATIVA,827
55,Partia Shqiptare Demokristiane e Kosovës (PSHDK),1086
55,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS (PSHDK),25
56,KOALICIONI PËR GJILANIN,1622
57,GI ZA KOSOVSKO POMORAVLJE,133
58,ZA ZAJEDNICKU BUDUCNOST KLOKOT,70
60,KOSOVA TÜRK BIRLIGI - KTB,130
61,LËVIZJA VETËVENDOSJE!,70420
62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,120829
63,PK - PARTIA KONSERVATORE E KOSOVËS,2491
64,CDU - CENTAR DEMOKRATSKE UNIJE,2145
66,INICIATIVA QYTETARE NDRYSHE RAHOVEC,75
67,NOVA SNAGA,364
70,Partia e Drejtësisë - PD,6922
70,PARTIA E DREJTËSISË - PD,162
71,NISRET HYSENAJ,376
72,INICIATIVA QYTETARE LËVIZJA VATRA,665
74,BD - BASHKIMI DEMOKRATIK,9139
75,ALEANCA PËR LIPJANIN,1581
76,ISUF MUSLIJA,59
78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,236854
79,ZAJEDNICKA BUDUCNOST NOVO BRDO,185
83,GRAÐANSKA INICIJATIVA ZAJEDNO,166
85,NISMA QYTETARE PËR PRIZRENIN,456
87,PDKI - Partia Demokristiane Për Integrim,99
87,PDKI - PARTIA DEMOKRISTIANE PËR INTEGRIM,0
89,AKR - ALEANCA KOSOVA E RE,41482
90,KTAP - KOSOVA TÜRK ADALET PARTISI,1199
94,BALLI KOMBËTAR I KOSOVËS - BKK,63
98,SOCIJALDEMOKRATIJA - SD,61
99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,237964
