Candidate,Gender,Party_ID,Party,Acronym,Votes
ENVER HAJRULLAHU,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,314
ENVER HALITI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,197
ENVER HASHANI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,47
ENVER HOTI,M,109,INICIATIVA QYTETARE PËR MALISHEVËN,,7806
ENVER HOXHA,M,109,INICIATIVA QYTETARE PËR MALISHEVËN,,155
ENVER IDRIZI,M,89,AKR - ALEANCA KOSOVA E RE,,25
ENVER ISMAILI,M,61,LËVIZJA VETËVENDOSJE!,,111
ENVER KABASHI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,121
ENVER KASHTANJEVA,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,23
ENVER KOZHANI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,398
ENVER LIKAJ,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,399
ENVER MAVRIQI,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,115
ENVER MEHMETI,M,70,Partia e Drejtësisë - PD,,34
ENVER MILLAKU,M,61,LËVIZJA VETËVENDOSJE!,,15
ENVER MORINA,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,183
ENVER MUJA,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,118
ENVER MUSAJ,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,176
ENVER MUSIQI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,103
ENVER OSDAUTAJ,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,234
ENVER RAMA,M,122,PDAK - Partia Demokratike e Ashkanlive të Kosovës,,11
ENVER RAMAXHIKU,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,147
ENVER REDZEMATOVIC,M,50,VAKAT - KOALICIJA VAKAT,,5
ENVER RUGOVA,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,409
ENVER SALIHU,M,118,PSD - Partia Socialdemokrate e Kosovës,,4
ENVER SELMANI,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,48
ENVER SHABANI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,400
ENVER SHAQIRI,M,61,LËVIZJA VETËVENDOSJE!,,66
ENVER SHEMA,M,111,ADK - ALTERNATIVA DEMOKRATIKE E KOSOVËS,,34
ENVER SOPAJ,M,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,101
ENVER UKA,M,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,61
ENVER UKSHINI,M,89,AKR - ALEANCA KOSOVA E RE,,188
ERA GASHI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,52
ERCAN FETAH,M,90,KTAP - KOSOVA TÜRK ADALET PARTISI,,33
ERDOGAN KACAMAKU,M,63,PK - PARTIA KONSERVATORE E KOSOVËS,,5
ERDOHAN JAREMHOROZI,M,94,BALLI KOMBËTAR I KOSOVËS - BKK,,33
ERDON RENDA,M,64,CDU - CENTAR DEMOKRATSKE UNIJE,,11
ERDUANA BILALLI,F,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,,9
EREBLINA SALIHU,F,75,ALEANCA PËR LIPJANIN,,41
ERGIN KANI,M,102,KDTP - Kosova Demokratik Türk Partisi,,50
ERGIN KOROGLU,M,110,TË PAVARURIT E MITROVICËS,,5
ERGIN REXHEPI,M,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,132
ERGIN SUNGURI,M,102,KDTP - Kosova Demokratik Türk Partisi,,488
ERGIN SUNGURI,M,102,KDTP - KOSOVA DEMOKRATIK TÜRK PARTISI,,4
ERGJAN BELEGU,M,61,LËVIZJA VETËVENDOSJE!,,72
ERGYL BINCE,M,90,KTAP - KOSOVA TÜRK ADALET PARTISI,,517
ERGYN BULLAKU,M,70,Partia e Drejtësisë - PD,,30
ERGYN DOBERCANI,M,102,KDTP - Kosova Demokratik Türk Partisi,,3
ERHAN KOTRO,M,102,KDTP - Kosova Demokratik Türk Partisi,,10
ERIM BERISHA,M,102,KDTP - Kosova Demokratik Türk Partisi,,89
ERITA ZENELI,F,110,TË PAVARURIT E MITROVICËS,,35
ERKAN MASURICA,M,122,PDAK - Partia Demokratike e Ashkanlive të Kosovës,,1
ERKAN MUSTAFA,M,102,KDTP - Kosova Demokratik Türk Partisi,,2
ERLINDA DEDAJ,F,61,LËVIZJA VETËVENDOSJE!,,8
ERLINDA HAJRAJ,F,131,LËVIZJA SOCIALE E KOSOVËS,,23
ERLIRA MULLABAZI,F,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,292
