Party_ID,Party,Votes
31,PARTIA LIBERALE EGJIPTIANE,1960
32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,3335
33,PROGRESIVNA DEMOKRATSKA STRANKA,5973
34,PARTIA ROME E BASHKUAR E KOSOVËS,642
35,LËVIZJA VETËVENDOSJE!,99398
36,KOALICIJA VAKAT,6476
37,PARTIA E FORTË,1142
38,SRPSKA LISTA,38199
39,POKRET ZA DEMOKRATSKI PROSPERITET,1787
40,ALEANCA KOSOVA E RE,34170
41,SOCIJALDEMOKRATIJA,325
42,KOSOVAKI NEVI ROMANI PARTIA,645
43,BOŠNJAČKA JEDINSTVENA LISTA,860
44,ALEANCA PËR ARDHMËRINË E KOSOVËS,69793
45,HASAN GASHI,775
46,NOVA DEMOKRATSKA STRANKA,2837
47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1456
48,KOALICIJA ZA GORA,1193
49,PARTIA E ASHKALINJEVE PER INTEGRIM,1583
50,STRANKA DEMOKRATSKE AKCIJE,1096
51,CENTAR DEMOKRATSKE UNIJE,1298
52,KOSOVA TÜRK ADALET PARTISI,2349
53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,702
54,LIDHJA DEMOKRATIKE E KOSOVËS,184594
55,POKRET ZA GORA,754
56,SAMOSTALNA LIBERALNA STRANKA,379
57,KOSOVA DEMOKRATIK TÜRK PARTISI,7424
58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,222181
59,NISMA PËR KOSOVËN,37680
60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,243
