id,Party_ID,Party,Votes,Municipality
11,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,80,Mitrovicë
11,33,PROGRESIVNA DEMOKRATSKA STRANKA,28,Mitrovicë
11,34,PARTIA ROME E BASHKUAR E KOSOVËS,12,Mitrovicë
11,35,LËVIZJA VETËVENDOSJE!,4355,Mitrovicë
11,36,KOALICIJA VAKAT,52,Mitrovicë
11,37,PARTIA E FORTË,43,Mitrovicë
11,38,SRPSKA LISTA,16,Mitrovicë
11,39,POKRET ZA DEMOKRATSKI PROSPERITET,14,Mitrovicë
11,40,ALEANCA KOSOVA E RE,2288,Mitrovicë
11,41,SOCIJALDEMOKRATIJA,6,Mitrovicë
11,42,KOSOVAKI NEVI ROMANI PARTIA,10,Mitrovicë
11,43,BOŠNJAČKA JEDINSTVENA LISTA,38,Mitrovicë
11,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,776,Mitrovicë
11,45,HASAN GASHI,33,Mitrovicë
11,46,NOVA DEMOKRATSKA STRANKA,29,Mitrovicë
11,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,11,Mitrovicë
11,48,KOALICIJA ZA GORA,6,Mitrovicë
12,34,PARTIA ROME E BASHKUAR E KOSOVËS,9,Leposaviq
12,35,LËVIZJA VETËVENDOSJE!,25,Leposaviq
12,36,KOALICIJA VAKAT,6,Leposaviq
12,37,PARTIA E FORTË,5,Leposaviq
12,38,SRPSKA LISTA,3963,Leposaviq
12,39,POKRET ZA DEMOKRATSKI PROSPERITET,55,Leposaviq
12,40,ALEANCA KOSOVA E RE,14,Leposaviq
12,41,SOCIJALDEMOKRATIJA,4,Leposaviq
12,42,KOSOVAKI NEVI ROMANI PARTIA,5,Leposaviq
12,43,BOŠNJAČKA JEDINSTVENA LISTA,26,Leposaviq
12,31,PARTIA LIBERALE EGJIPTIANE,4,Leposaviq
12,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,4,Leposaviq
12,33,PROGRESIVNA DEMOKRATSKA STRANKA,91,Leposaviq
12,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,Leposaviq
12,48,KOALICIJA ZA GORA,0,Leposaviq
12,49,PARTIA E ASHKALINJEVE PER INTEGRIM,0,Leposaviq
12,50,STRANKA DEMOKRATSKE AKCIJE,7,Leposaviq
12,51,CENTAR DEMOKRATSKE UNIJE,115,Leposaviq
12,52,KOSOVA TÜRK ADALET PARTISI,4,Leposaviq
12,53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,59,Leposaviq
12,54,LIDHJA DEMOKRATIKE E KOSOVËS,41,Leposaviq
12,55,POKRET ZA GORA,65,Leposaviq
12,56,SAMOSTALNA LIBERALNA STRANKA,9,Leposaviq
12,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,73,Leposaviq
12,45,HASAN GASHI,1,Leposaviq
12,46,NOVA DEMOKRATSKA STRANKA,6,Leposaviq
12,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,0,Leposaviq
12,57,KOSOVA DEMOKRATIK TÜRK PARTISI,3,Leposaviq
12,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,95,Leposaviq
12,59,NISMA PËR KOSOVËN,2,Leposaviq
13,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,320,Lipjan
13,36,KOALICIJA VAKAT,33,Lipjan
13,33,PROGRESIVNA DEMOKRATSKA STRANKA,173,Lipjan
13,34,PARTIA ROME E BASHKUAR E KOSOVËS,12,Lipjan
13,35,LËVIZJA VETËVENDOSJE!,2289,Lipjan
13,40,ALEANCA KOSOVA E RE,1560,Lipjan
13,37,PARTIA E FORTË,22,Lipjan
13,38,SRPSKA LISTA,323,Lipjan
13,39,POKRET ZA DEMOKRATSKI PROSPERITET,13,Lipjan
13,31,PARTIA LIBERALE EGJIPTIANE,27,Lipjan
13,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,693,Lipjan
13,45,HASAN GASHI,34,Lipjan
