id,Polling Center,Party_ID,Party,Votes,Municipality
1,0101C,48,KOALICIJA ZA GORA,0,Deçan
1,0101C,49,PARTIA E ASHKALINJEVE PER INTEGRIM,0,Deçan
1,0101C,50,STRANKA DEMOKRATSKE AKCIJE,1,Deçan
1,0101C,51,CENTAR DEMOKRATSKE UNIJE,0,Deçan
1,0101C,52,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0101C,53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,1,Deçan
1,0101C,54,LIDHJA DEMOKRATIKE E KOSOVËS,358,Deçan
1,0101C,55,POKRET ZA GORA,0,Deçan
1,0101C,56,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0101C,57,KOSOVA DEMOKRATIK TÜRK PARTISI,1,Deçan
1,0101C,31,PARTIA LIBERALE EGJIPTIANE,1,Deçan
1,0101C,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,0,Deçan
1,0101C,33,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0101C,34,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0101C,35,LËVIZJA VETËVENDOSJE!,79,Deçan
1,0101C,36,KOALICIJA VAKAT,0,Deçan
1,0101C,37,PARTIA E FORTË,2,Deçan
1,0101C,38,SRPSKA LISTA,0,Deçan
1,0101C,39,POKRET ZA DEMOKRATSKI PROSPERITET,1,Deçan
1,0101C,40,ALEANCA KOSOVA E RE,14,Deçan
1,0101C,41,SOCIJALDEMOKRATIJA,1,Deçan
1,0101C,42,KOSOVAKI NEVI ROMANI PARTIA,0,Deçan
1,0101C,43,BOŠNJAČKA JEDINSTVENA LISTA,1,Deçan
1,0101C,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,789,Deçan
1,0101C,45,HASAN GASHI,5,Deçan
1,0101C,46,NOVA DEMOKRATSKA STRANKA,0,Deçan
1,0101C,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,Deçan
1,0101X,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,263,Deçan
1,0101X,59,NISMA PËR KOSOVËN,36,Deçan
1,0101X,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,0,Deçan
1,0102C,31,PARTIA LIBERALE EGJIPTIANE,1,Deçan
1,0102C,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,2,Deçan
1,0102C,33,PROGRESIVNA DEMOKRATSKA STRANKA,0,Deçan
1,0102C,34,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0102C,35,LËVIZJA VETËVENDOSJE!,48,Deçan
1,0102C,36,KOALICIJA VAKAT,0,Deçan
1,0102C,37,PARTIA E FORTË,2,Deçan
1,0102C,38,SRPSKA LISTA,0,Deçan
1,0102C,39,POKRET ZA DEMOKRATSKI PROSPERITET,0,Deçan
1,0102C,40,ALEANCA KOSOVA E RE,12,Deçan
1,0102C,41,SOCIJALDEMOKRATIJA,1,Deçan
1,0102C,42,KOSOVAKI NEVI ROMANI PARTIA,0,Deçan
1,0102C,43,BOŠNJAČKA JEDINSTVENA LISTA,0,Deçan
1,0102C,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,703,Deçan
1,0102C,45,HASAN GASHI,4,Deçan
1,0102C,46,NOVA DEMOKRATSKA STRANKA,1,Deçan
1,0102C,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,1,Deçan
1,0102C,48,KOALICIJA ZA GORA,0,Deçan
1,0102C,49,PARTIA E ASHKALINJEVE PER INTEGRIM,0,Deçan
1,0102C,50,STRANKA DEMOKRATSKE AKCIJE,0,Deçan
1,0102C,51,CENTAR DEMOKRATSKE UNIJE,0,Deçan
1,0102C,52,KOSOVA TÜRK ADALET PARTISI,1,Deçan
1,0102C,53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,2,Deçan
1,0102C,54,LIDHJA DEMOKRATIKE E KOSOVËS,666,Deçan
1,0102C,55,POKRET ZA GORA,0,Deçan
1,0102C,56,SAMOSTALNA LIBERALNA STRANKA,0,Deçan
1,0102C,57,KOSOVA DEMOKRATIK TÜRK PARTISI,0,Deçan
1,0102C,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,261,Deçan
1,0102C,59,NISMA PËR KOSOVËN,17,Deçan
1,0102C,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,0,Deçan
1,0103C,31,PARTIA LIBERALE EGJIPTIANE,17,Deçan
1,0103C,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,0,Deçan
1,0103C,33,PROGRESIVNA DEMOKRATSKA STRANKA,1,Deçan
1,0103C,34,PARTIA ROME E BASHKUAR E KOSOVËS,1,Deçan
1,0103C,35,LËVIZJA VETËVENDOSJE!,63,Deçan
1,0103C,36,KOALICIJA VAKAT,0,Deçan
1,0103C,37,PARTIA E FORTË,3,Deçan
1,0103C,38,SRPSKA LISTA,0,Deçan
1,0103C,39,POKRET ZA DEMOKRATSKI PROSPERITET,0,Deçan
1,0103C,40,ALEANCA KOSOVA E RE,16,Deçan
1,0103C,41,SOCIJALDEMOKRATIJA,0,Deçan
1,0103C,42,KOSOVAKI NEVI ROMANI PARTIA,0,Deçan
1,0103C,43,BOŠNJAČKA JEDINSTVENA LISTA,2,Deçan
1,0103C,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,918,Deçan
1,0103C,45,HASAN GASHI,4,Deçan
