id,Party_ID,Party,Votes,Municipality
11,144,LËVIZJA VETËVENDOSJE!,8314,Mitrovicë
11,146,FORCA E DIASPORËS,1000,Mitrovicë
11,149,ALEANCA KOSOVA E RE,1000,Mitrovicë
11,160,LIDHJA DEMOKRATIKE E KOSOVËS,4525,Mitrovicë
11,167,PARTIA URA,46,Mitrovicë
11,177,PARTIA DEMOKRATIKE E KOSOVËS,10802,Mitrovicë
11,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,12,Mitrovicë
11,119,NISMA SOCIALDEMOKRATE,13,Mitrovicë
11,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,28,Mitrovicë
11,142,PARTIA E DREJTËSISË,24,Mitrovicë
11,144,LËVIZJA VETËVENDOSJE!,306,Mitrovicë
11,146,FORCA E DIASPORËS,40,Mitrovicë
11,149,ALEANCA KOSOVA E RE,25,Mitrovicë
11,160,LIDHJA DEMOKRATIKE E KOSOVËS,151,Mitrovicë
11,167,PARTIA URA,2,Mitrovicë
11,177,PARTIA DEMOKRATIKE E KOSOVËS,296,Mitrovicë
12,144,LËVIZJA VETËVENDOSJE!,97,Leposaviq
12,147,SRPSKA LISTA,8995,Leposaviq
12,177,PARTIA DEMOKRATIKE E KOSOVËS,172,Leposaviq
13,119,NISMA SOCIALDEMOKRATE,358,Lipjan
13,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,480,Lipjan
13,133,HAJRUSH STUBLLA,183,Lipjan
13,144,LËVIZJA VETËVENDOSJE!,5220,Lipjan
13,147,SRPSKA LISTA,396,Lipjan
13,149,ALEANCA KOSOVA E RE,359,Lipjan
13,160,LIDHJA DEMOKRATIKE E KOSOVËS,12602,Lipjan
13,162,PARTIA E ASHKALINJËVE PËR INTEGRIM,612,Lipjan
13,177,PARTIA DEMOKRATIKE E KOSOVËS,5593,Lipjan
13,186,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,95,Lipjan
14,144,LËVIZJA VETËVENDOSJE!,509,Novobërdë
14,147,SRPSKA LISTA,3276,Novobërdë
14,160,LIDHJA DEMOKRATIKE E KOSOVËS,1147,Novobërdë
14,177,PARTIA DEMOKRATIKE E KOSOVËS,245,Novobërdë
