Candidate,Gender,Party_ID,Party,Acronym,Votes
AGIM VELIU,M,132,Lidhja Demokratike e Kosovës,LDK,11813
AGIME GASHAJ,F,127,Lëvizja VETËVENDOSJE!,LV,4599
AGIME ROSHAJ,F,134,Partia Demokratike e Kosovës,PDK,1642
AGNESA HAJREDINI,F,121,Nisma Socialdemokrate,NISMA,524
AGON ASLLANI,M,130,Partia e Ashkalinjëve për Integrim,PAI,160
AGON BATUSHA,M,127,Lëvizja VETËVENDOSJE!,LV,13041
AGRON BACAJ,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,3310
AGRON KRYEZIU,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,2299
AGRON XHEMAJLI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,388
AGRON ZENUNAJ,M,130,Partia e Ashkalinjëve për Integrim,PAI,17
AHMED ZEČIROVIĆ,M,125,Socialdemokratska Unija,SDU,350
AHMET ISUFI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,2580
AHMET PODRIMJA,M,130,Partia e Ashkalinjëve për Integrim,PAI,9
AIDA MORINA,F,111,Iniciativa e Re Demokratike e Kosovës,IRDK,101
AJET AVDILI,M,132,Lidhja Demokratike e Kosovës,LDK,1232
AJHAN ÇIGTEKIN,F,138,FJALA,FJALA,11
AJNUR JASHARI,M,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,24
AJSHA BERISHA,F,124,Romani Iniciyativa,RI,207
AKİF GAŞİ,M,112,Kosova Demokratik Türk Partisi,KDTP,1044
ALBAN BAJRAMI,M,127,Lëvizja VETËVENDOSJE!,LV,6631
ALBAN BISLIMAJ,M,134,Partia Demokratike e Kosovës,PDK,3556
ALBAN HYSENI,M,127,Lëvizja VETËVENDOSJE!,LV,15200
ALBANA BYTYQI,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,4420
ALBANA GASHI,F,127,Lëvizja VETËVENDOSJE!,LV,3885
ALBANA GËRXHALIU,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,439
ALBANA XHARRA,F,127,Lëvizja VETËVENDOSJE!,LV,3308
ALBENA RESHITAJ,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,5916
ALBERE HALILI,F,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,20
ALBERT KINOLLI,M,117,Partia Rome e Bashkuar e Kosovës,PREBK,649
ALBERT SERMAXHAJ,M,121,Nisma Socialdemokrate,NISMA,460
ALBINA LLESHI,F,134,Partia Demokratike e Kosovës,PDK,1877
ALBIONE HALIMAJ,F,111,Iniciativa e Re Demokratike e Kosovës,IRDK,312
ALBULENA BALAJ HALIMAJ,F,121,Nisma Socialdemokrate,NISMA,3995
ALDIJANA ARIFI,F,113,Koalicija VAKAT,VAKAT,470
ALI ADEMI,M,130,Partia e Ashkalinjëve për Integrim,PAI,292
ALI BERISHA,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,4084
ALI GASHI,M,117,Partia Rome e Bashkuar e Kosovës,PREBK,55
ALI GORANI,M,130,Partia e Ashkalinjëve për Integrim,PAI,71
ALI MALIQI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,24
ALI STUBLLA,M,134,Partia Demokratike e Kosovës,PDK,1375
ALI TAFARSHIKU,M,127,Lëvizja VETËVENDOSJE!,LV,3289
ALI TOPALLI,M,132,Lidhja Demokratike e Kosovës,LDK,2722
ALIS BAŠINI,M,133,Naša Inicijativa,NAŠA,289
ALISA VEJAPI,F,113,Koalicija VAKAT,VAKAT,259
ALMA LAMA,F,132,Lidhja Demokratike e Kosovës,LDK,1610
ALMEDINA JAHA,F,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,59
ALMEDINA SALIHI,F,131,Nova Demokratska Stranka,NDS,269
ALMEN AJRADINI,M,133,Naša Inicijativa,NAŠA,42
ALMIR BAJRAMI,M,113,Koalicija VAKAT,VAKAT,758
ALMIR VELIJI,M,125,Socialdemokratska Unija,SDU,795
ALMIRA BAJRAMI,F,137,Jedinstvena Goranska Partija,JGP,128
ALMIRA HAJRADINI,F,137,Jedinstvena Goranska Partija,JGP,49
ALONDRA GASHI,F,136,Partia Liberale Egjiptiane,PLE,13
ALSEN BAJRAMI,M,125,Socialdemokratska Unija,SDU,108
AMEL DANIJALI,M,125,Socialdemokratska Unija,SDU,61
AMELA TRKALAÇ,F,113,Koalicija VAKAT,VAKAT,147
AMIL KAPLANI,M,113,Koalicija VAKAT,VAKAT,312
AMINA MUSTAFI,F,113,Koalicija VAKAT,VAKAT,408
AMRA ALJITI,F,113,Koalicija VAKAT,VAKAT,418
AMRA MEMOVIĆ,F,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,194
ANAID DEMIROVIĆ,M,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,26
ANESA ÇOLLAKOVIQ,F,131,Nova Demokratska Stranka,NDS,154
ANGJELINA KRASNIQI,F,127,Lëvizja VETËVENDOSJE!,LV,3163
ANITA KELIQ,F,117,Partia Rome e Bashkuar e Kosovës,PREBK,25
ANITA LIMANI,F,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,13
ANTON BERISHA,M,132,Lidhja Demokratike e Kosovës,LDK,1285
ANTON QUNI,M,132,Lidhja Demokratike e Kosovës,LDK,14850
ANTON SHALA,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,5693
ARBAN ABRASHI,M,132,Lidhja Demokratike e Kosovës,LDK,6181
ARBEN DAUTAJ,M,134,Partia Demokratike e Kosovës,PDK,2643
ARBEN FETOSHI,M,134,Partia Demokratike e Kosovës,PDK,4388
ARBEN GASHI,M,132,Lidhja Demokratike e Kosovës,LDK,10390
ARBEN GECAJ,M,134,Partia Demokratike e Kosovës,PDK,1690
ARBEN QORRI,M,111,Iniciativa e Re Demokratike e Kosovës,IRDK,32
ARBEN RAMADANI,M,117,Partia Rome e Bashkuar e Kosovës,PREBK,81
ARBEN VITIA,M,127,Lëvizja VETËVENDOSJE!,LV,107858
ARBËR REXHAJ,M,127,Lëvizja VETËVENDOSJE!,LV,14345
ARBËR REXHEPI,M,138,FJALA,FJALA,33
ARBER TOLAJ,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,5821
ARBËRESHË KRASNIQI,F,121,Nisma Socialdemokrate,NISMA,4194
ARBËRESHË KRYEZIU HYSENI,F,127,Lëvizja VETËVENDOSJE!,LV,14322
ARBERIJE NAGAVCI,F,127,Lëvizja VETËVENDOSJE!,LV,21781
ARBNORE HASANI,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,516
ARBRESHA RUSHITI,F,121,Nisma Socialdemokrate,NISMA,90
ARDIAN GOLA,M,127,Lëvizja VETËVENDOSJE!,LV,11238
ARDIAN KASTRATI,M,134,Partia Demokratike e Kosovës,PDK,13219
ARDIAN SHALA,M,132,Lidhja Demokratike e Kosovës,LDK,5253
ARDITA DUSHI,F,132,Lidhja Demokratike e Kosovës,LDK,1904
ARDITA RAHMANI,F,132,Lidhja Demokratike e Kosovës,LDK,2096
ARESA HOTI,F,138,FJALA,FJALA,59
ARHIM AJAZI,M,131,Nova Demokratska Stranka,NDS,307
ARIANA MUSLIU SHOSHI,F,134,Partia Demokratike e Kosovës,PDK,8164
ARIF AHMETXHEKAJ,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,3306
ARIF ALIJA,M,131,Nova Demokratska Stranka,NDS,263
ARIF CËRMJANI,M,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,148
ARIFKA LJATIFI,F,113,Koalicija VAKAT,VAKAT,308
ARIJETA REXHEPI,F,127,Lëvizja VETËVENDOSJE!,LV,11253
ARION THAQI,M,127,Lëvizja VETËVENDOSJE!,LV,2135
ARJETA FEJZA,F,127,Lëvizja VETËVENDOSJE!,LV,11644
ARJETA SHALA,F,111,Iniciativa e Re Demokratike e Kosovës,IRDK,327
ARLIND RAMADANI,M,138,FJALA,FJALA,73
ARLINDA UKA,F,132,Lidhja Demokratike e Kosovës,LDK,812
ARMEL RAMADANI,M,125,Socialdemokratska Unija,SDU,259
ARMEND JAMINI,M,122,Koalicija Zajeno,KZ,416
ARMEND MUJA,M,127,Lëvizja VETËVENDOSJE!,LV,43982
ARMEND ZEMAJ,M,132,Lidhja Demokratike e Kosovës,LDK,13800
ARTA AXHAMI,F,121,Nisma Socialdemokrate,NISMA,372
ARTA BAJRALIJA,F,127,Lëvizja VETËVENDOSJE!,LV,8429
ARTA NALLBANI,F,134,Partia Demokratike e Kosovës,PDK,1164
ARTA XHELA,F,130,Partia e Ashkalinjëve për Integrim,PAI,55
ARTAN ABRASHI,M,127,Lëvizja VETËVENDOSJE!,LV,14529
ARTAN BERISHA,M,136,Partia Liberale Egjiptiane,PLE,1050
ARTAN HAZIRI,M,121,Nisma Socialdemokrate,NISMA,358
ARTON DEMIRI,M,117,Partia Rome e Bashkuar e Kosovës,PREBK,21
ARTON SALIUKU,M,138,FJALA,FJALA,21
ARZU ÇUKIÇ,F,117,Partia Rome e Bashkuar e Kosovës,PREBK,127
ASLAN KRUEZI,M,130,Partia e Ashkalinjëve për Integrim,PAI,628
ASLLAN BAJRAMI,M,134,Partia Demokratike e Kosovës,PDK,1164
AVDI GËRVALLA,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,699
AVDI MORINA,M,121,Nisma Socialdemokrate,NISMA,2765
AVDI PIREVA,M,132,Lidhja Demokratike e Kosovës,LDK,1377
AVDULAH DJEŠEVIĆ,M,131,Nova Demokratska Stranka,NDS,492
AVDULLAH BRAHIMI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,44
AVDULLAH HOTI,M,132,Lidhja Demokratike e Kosovës,LDK,69648
AVDULLAH MUSLIU,M,134,Partia Demokratike e Kosovës,PDK,4615
AVDYL BERISHA,M,111,Iniciativa e Re Demokratike e Kosovës,IRDK,357
AVDYL KRASNIQI,M,121,Nisma Socialdemokrate,NISMA,2847
AVNI ÇAKMAKU,M,138,FJALA,FJALA,438
AVNI DEHARI,M,127,Lëvizja VETËVENDOSJE!,LV,51126
AVNI LUBOVCI,M,121,Nisma Socialdemokrate,NISMA,542
AVNI ZOGIANI,M,127,Lëvizja VETËVENDOSJE!,LV,4278
AVNIJA BAHTIJARI,M,122,Koalicija Zajeno,KZ,220
AZEM DURMIŠI,M,131,Nova Demokratska Stranka,NDS,299
AZEM MUJA,M,116,Lëvizja për Bashkëveprim,LpB,26
AZIZA RAMIĆ,F,124,Romani Iniciyativa,RI,192
AZMIR MIFTARI,M,133,Naša Inicijativa,NAŠA,218
AZRA ODŽINI,F,133,Naša Inicijativa,NAŠA,108
BAHRIM ŠABANI,M,113,Koalicija VAKAT,VAKAT,2234
BAHTIR KASTRATI,M,132,Lidhja Demokratike e Kosovës,LDK,879
BAHTIR KELMENDI,M,136,Partia Liberale Egjiptiane,PLE,9
BAJRAM BAJRAMI,M,116,Lëvizja për Bashkëveprim,LpB,369
BAJRAM KASTRATI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,1993
BAJRAM SEJDIU,M,130,Partia e Ashkalinjëve për Integrim,PAI,146
BAJRAM TAHIRI,M,121,Nisma Socialdemokrate,NISMA,585
BAJRAM TUTAJ,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,134
BAJRAM ZEKA,M,111,Iniciativa e Re Demokratike e Kosovës,IRDK,73
BAJRAMSHA SHALA,F,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,31
BAJRUSH XHEMAILI,M,134,Partia Demokratike e Kosovës,PDK,7670
BAKI FETA,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,851
BANUSH KICAJ,M,121,Nisma Socialdemokrate,NISMA,304
BASHKIM KRASNIQI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,34
BASHKIM KRASNIQI,M,136,Partia Liberale Egjiptiane,PLE,861
BEAN HADŽIASAN,M,113,Koalicija VAKAT,VAKAT,581
BEDIHA VRŞEVCI,F,114,Yenilikçi Türk Hareket Partisi,YTHP,325
BEDRI HAMZA,M,134,Partia Demokratike e Kosovës,PDK,23976
BEDRI MUHADRI,M,121,Nisma Socialdemokrate,NISMA,417
BEGISHE BERISHA,F,121,Nisma Socialdemokrate,NISMA,419
BEHGJET PACOLLI,M,132,Lidhja Demokratike e Kosovës,LDK,11645
BEKË BERISHA,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,7629
BEKIM ARIFI,M,130,Partia e Ashkalinjëve për Integrim,PAI,974
BEKIM BRESTOVCI,M,121,Nisma Socialdemokrate,NISMA,2753
BEKIM HAXHIU,M,134,Partia Demokratike e Kosovës,PDK,10145
BEKIM KOXHA,M,121,Nisma Socialdemokrate,NISMA,472
BEKIM RRAHMANI,M,121,Nisma Socialdemokrate,NISMA,32
BEKIM SHABANI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,156
BEKIM ZABËRGJA,M,121,Nisma Socialdemokrate,NISMA,352
BELDIN ŠASIVARI,M,113,Koalicija VAKAT,VAKAT,350
BELMIN EJUPAGIĆ,M,125,Socialdemokratska Unija,SDU,265
BENAND QORRI,M,111,Iniciativa e Re Demokratike e Kosovës,IRDK,69
BENJAMIN AJDARI,M,111,Iniciativa e Re Demokratike e Kosovës,IRDK,121
BEQIR BEQIRI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,99
BEQIR KIQINA,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,659
BEQIR VELIU,M,121,Nisma Socialdemokrate,NISMA,433
BERAT DAJAKU,M,138,FJALA,FJALA,388
BERAT DURAKU,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,3630
BERAT MALOKU,M,112,Kosova Demokratik Türk Partisi,KDTP,256
BERNARDA RADONCIC,F,127,Lëvizja VETËVENDOSJE!,LV,3390
BESA BUÇINCA,F,134,Partia Demokratike e Kosovës,PDK,1371
BESA GAXHERRI,F,132,Lidhja Demokratike e Kosovës,LDK,5304
BESA ISMAILI AHMETI,F,134,Partia Demokratike e Kosovës,PDK,4926
BESART DRESHAJ,M,132,Lidhja Demokratike e Kosovës,LDK,3819
BESART JASHARI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,608
BESART SHABANAJ,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,116
BESARTA HOTI,F,111,Iniciativa e Re Demokratike e Kosovës,IRDK,26
BESARTA KRASNIQI ASLLANI,F,121,Nisma Socialdemokrate,NISMA,381
BESIAN MUSTAFA,M,132,Lidhja Demokratike e Kosovës,LDK,9745
BESIM HALIMI,M,134,Partia Demokratike e Kosovës,PDK,2132
BESIM MUZAQI,M,127,Lëvizja VETËVENDOSJE!,LV,8211
BEŠIR RAMA,M,133,Naša Inicijativa,NAŠA,239
BESNIK KRASNIQI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,2348
BESNIK SHALA,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,707
BESNIK TAHIRI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,7816
BESNIK ZEQIRAJ,M,127,Lëvizja VETËVENDOSJE!,LV,4556
BETIM ELEZAJ,M,134,Partia Demokratike e Kosovës,PDK,1255
BEXHET KUÇI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,3464
BEXHET XHELADINI,M,132,Lidhja Demokratike e Kosovës,LDK,2658
BILALL SHERIFI,M,121,Nisma Socialdemokrate,NISMA,2868
BILJANA MAKSIĆ,F,119,Srpska Lista,SL,628
BJONDINA KLEQKA,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,2244
BLENDONA RADI,F,136,Partia Liberale Egjiptiane,PLE,198
BLERIM GASHANI,M,127,Lëvizja VETËVENDOSJE!,LV,2976
BLERIM IBRAHIMI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,541
BLERIM KAJTAZI,M,138,FJALA,FJALA,167
BLERIM MEHOLLI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,346
BLERIM META,M,136,Partia Liberale Egjiptiane,PLE,53
BLERIM REXHBOGAJ,M,132,Lidhja Demokratike e Kosovës,LDK,2208
BLERTA DELIU KODRA,F,134,Partia Demokratike e Kosovës,PDK,9298
BLERTA MUSLIU,F,125,Socialdemokratska Unija,SDU,35
BRAHIM MEHMETAJ,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,1972
BRAHIM SELIMAJ,M,132,Lidhja Demokratike e Kosovës,LDK,4194
BRANISLAV NIKOLIĆ,M,119,Srpska Lista,SL,14499
BRIKENDA KRYEZIU,F,132,Lidhja Demokratike e Kosovës,LDK,1084
BUJAR CAKOLLI,M,134,Partia Demokratike e Kosovës,PDK,4127
BUJAR KUKLECI,M,134,Partia Demokratike e Kosovës,PDK,946
BULËZA KUÇI,F,132,Lidhja Demokratike e Kosovës,LDK,1641
BURBUQE BAKIJA DEVA DEVA,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,2178
BURIM KARAMETA,M,127,Lëvizja VETËVENDOSJE!,LV,7758
BUYAR MORİNA,M,114,Yenilikçi Türk Hareket Partisi,YTHP,525
BYLENT KERA,M,114,Yenilikçi Türk Hareket Partisi,YTHP,134
ĆEMAILJ SMAILJI,M,131,Nova Demokratska Stranka,NDS,127
ÇENAN KERA,M,112,Kosova Demokratik Türk Partisi,KDTP,511
CENGİZ ÇESKO,M,112,Kosova Demokratik Türk Partisi,KDTP,1354
ĆERIM BAJRAMI,M,113,Koalicija VAKAT,VAKAT,1267
ÇERKIN DUKOLLI,M,121,Nisma Socialdemokrate,NISMA,2635
CVETKO VELJKOVIĆ,M,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,903
DALILA BAHTIJAREVIĆ,F,131,Nova Demokratska Stranka,NDS,174
DAMIR HALJILJI,M,122,Koalicija Zajeno,KZ,62
DANUSH ADEMI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,1351
DARDAN ISLAMI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,750
DAUT HARADINAJ,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,13769
DAVUT KAZAZ,M,114,Yenilikçi Türk Hareket Partisi,YTHP,336
DEFRIM GASHI,M,132,Lidhja Demokratike e Kosovës,LDK,2513
DEMË QUNI,M,136,Partia Liberale Egjiptiane,PLE,25
DENIS ĆEMAN,M,125,Socialdemokratska Unija,SDU,396
DENIS HALILAJ,M,111,Iniciativa e Re Demokratike e Kosovës,IRDK,76
DIANA KRYEZIU,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,997
DIANA SHEHU DEVAJA,F,134,Partia Demokratike e Kosovës,PDK,1090
DIAR GUXHOLLI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,198
DIELLZA KUKAJ,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,2562
DIELLZA REXHEPI,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,97
DIJANA SEFA,F,136,Partia Liberale Egjiptiane,PLE,84
DIMAL BASHA,M,127,Lëvizja VETËVENDOSJE!,LV,10220
DOARSA KICA XHELILI,F,127,Lëvizja VETËVENDOSJE!,LV,10609
DONIKA GËRVALLA-SCHWARZ,F,127,Lëvizja VETËVENDOSJE!,LV,71722
DONJET BISLIMI,M,134,Partia Demokratike e Kosovës,PDK,7698
DONJETA BYTYQI,F,134,Partia Demokratike e Kosovës,PDK,4065
DONJETË SHIJAKU,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,735
DORUNTINË MALOKU- KASTRATI,F,132,Lidhja Demokratike e Kosovës,LDK,3522
DRAGANA ANTONIJEVIĆ,F,119,Srpska Lista,SL,6919
DRENUSHA ZEKA,F,132,Lidhja Demokratike e Kosovës,LDK,503
DRINOR ELSHANI,M,136,Partia Liberale Egjiptiane,PLE,7
DRITA MILLAKU,F,127,Lëvizja VETËVENDOSJE!,LV,14686
DRITON ADEMI,M,121,Nisma Socialdemokrate,NISMA,363
DRITON HAFIZALLAR,M,130,Partia e Ashkalinjëve për Integrim,PAI,78
DRITON HYSENI,M,127,Lëvizja VETËVENDOSJE!,LV,9167
DRITON JAKUPI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,429
DRITON SELMANAJ,M,132,Lidhja Demokratike e Kosovës,LDK,8818
DUDA BALJE,F,125,Socialdemokratska Unija,SDU,2199
DŽENETA SALAJI,F,113,Koalicija VAKAT,VAKAT,248
DŽENGIS SALIJI,M,125,Socialdemokratska Unija,SDU,330
DŽENISA ASLANI,F,133,Naša Inicijativa,NAŠA,30
DŽENITA GROŠA,F,125,Socialdemokratska Unija,SDU,149
DŽENITA ŠABANI,F,131,Nova Demokratska Stranka,NDS,67
EBRU BAJRAKTARI,F,122,Koalicija Zajeno,KZ,125
EDIN AGOVIĆ,M,131,Nova Demokratska Stranka,NDS,156
EDIN ESATI,M,137,Jedinstvena Goranska Partija,JGP,58
EDIN KURT,M,137,Jedinstvena Goranska Partija,JGP,194
EDINA ÇOLLAKOVIQ,F,131,Nova Demokratska Stranka,NDS,37
EDINA DILJI,F,125,Socialdemokratska Unija,SDU,150
EDINA LJIMANI,F,133,Naša Inicijativa,NAŠA,357
EDISON FETA,M,111,Iniciativa e Re Demokratike e Kosovës,IRDK,264
EDMOND PRUTHI,M,127,Lëvizja VETËVENDOSJE!,LV,1978
EDONA BICI,F,121,Nisma Socialdemokrate,NISMA,249
EDONA PODRIMJA,F,136,Partia Liberale Egjiptiane,PLE,223
EGZONA BIKLIQI,F,112,Kosova Demokratik Türk Partisi,KDTP,94
EGZONIT JAKUPI,M,130,Partia e Ashkalinjëve për Integrim,PAI,465
EKREM HYSENI,M,132,Lidhja Demokratike e Kosovës,LDK,8267
EKREM MUSTAFA,M,127,Lëvizja VETËVENDOSJE!,LV,6272
ELBASAN KAQAMAKI,M,121,Nisma Socialdemokrate,NISMA,532
ELBERT KRASNIQI,M,111,Iniciativa e Re Demokratike e Kosovës,IRDK,2310
ELDIS ABAZI,M,113,Koalicija VAKAT,VAKAT,1656
ELIZA HOXHA,F,134,Partia Demokratike e Kosovës,PDK,9989
ELLVIR FETAHI,M,131,Nova Demokratska Stranka,NDS,67
ELMA BAJRAMI,F,113,Koalicija VAKAT,VAKAT,372
ELMA ŠKRIJELJ,F,113,Koalicija VAKAT,VAKAT,131
ELMEDINA BAJRAMI,F,130,Partia e Ashkalinjëve për Integrim,PAI,139
ELMI REÇICA,M,134,Partia Demokratike e Kosovës,PDK,14484
ELSANA KULJIĆI,F,113,Koalicija VAKAT,VAKAT,136
ELVAN GALUSHI ELSHANI,F,130,Partia e Ashkalinjëve për Integrim,PAI,5
ELVIS ARAPI,M,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,148
ELVIS KARADOLAMI,M,131,Nova Demokratska Stranka,NDS,292
ELZA BEĆIRI,F,137,Jedinstvena Goranska Partija,JGP,104
EMAN RRAHMANI,M,127,Lëvizja VETËVENDOSJE!,LV,16280
EMIL MAKSUTI,M,131,Nova Demokratska Stranka,NDS,241
EMIL MURSELJI,M,131,Nova Demokratska Stranka,NDS,121
EMILIJA REDŽEPI,F,131,Nova Demokratska Stranka,NDS,2090
EMINE BAJRAMI,F,117,Partia Rome e Bashkuar e Kosovës,PREBK,124
EMINE RAMAJ,F,136,Partia Liberale Egjiptiane,PLE,78
EMRAN ADIQI,M,130,Partia e Ashkalinjëve për Integrim,PAI,88
ENERA IBRAHIMI,F,131,Nova Demokratska Stranka,NDS,102
ENES GORAN,M,137,Jedinstvena Goranska Partija,JGP,261
ENİS KERVAN,M,112,Kosova Demokratik Türk Partisi,KDTP,2014
ENIS SULEJMANOVIĆ,M,125,Socialdemokratska Unija,SDU,667
ENISA KRYEZI,F,111,Iniciativa e Re Demokratike e Kosovës,IRDK,84
ENSAR RIFATI,M,137,Jedinstvena Goranska Partija,JGP,66
ENSAR TOPOYANİ,M,114,Yenilikçi Türk Hareket Partisi,YTHP,484
ENVER ARIFI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,13
ENVER DUGOLLI,M,127,Lëvizja VETËVENDOSJE!,LV,6132
ENVER HALITI,M,127,Lëvizja VETËVENDOSJE!,LV,7492
ENVER HOTI,M,121,Nisma Socialdemokrate,NISMA,3465
ENVER HOXHAJ,M,134,Partia Demokratike e Kosovës,PDK,100468
ENVER SOPJANI,M,121,Nisma Socialdemokrate,NISMA,1262
ERBLINA TAHIRAJ,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,3216
ERGIN BUNJAKU,M,112,Kosova Demokratik Türk Partisi,KDTP,392
ERGJAN MEHMETI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,51
ERHAN KRYEZIU,M,136,Partia Liberale Egjiptiane,PLE,67
ERMINA MALIQI,F,116,Lëvizja për Bashkëveprim,LpB,46
ERMIRA RATKOCERI,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,913
ERNIM QERIMI,M,116,Lëvizja për Bashkëveprim,LpB,25
EROLL ZEKERIJA,M,112,Kosova Demokratik Türk Partisi,KDTP,338
ERTAN REDŽOVIĆ,M,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,1126
ERTAN SİMİTÇİ,M,114,Yenilikçi Türk Hareket Partisi,YTHP,865
ERXHAN GALUSHI,M,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,711
ERXHAN MUHARREMI,M,138,FJALA,FJALA,70
