Candidate,Gender,Party_ID,Party,Acronym,Votes
ABDULA BILIBANI,M,113,Koalicija VAKAT,VAKAT,390
ABDYL BAJRAMI,M,134,Partia Demokratike e Kosovës,PDK,2458
ABDYL GASHI,M,127,Lëvizja VETËVENDOSJE!,LV,3185
ABDYRRAHMAN KRASNIQI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,1619
ABEDIN SADRIJA,M,121,Nisma Socialdemokrate,NISMA,381
ABELARD TAHIRI,M,134,Partia Demokratike e Kosovës,PDK,9341
ADEA ROKA,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,1390
ADELINA GRAINCA,F,134,Partia Demokratike e Kosovës,PDK,7153
ADELINA XANI SHABANI,F,121,Nisma Socialdemokrate,NISMA,156
ADEM ABAZAJ,M,136,Partia Liberale Egjiptiane,PLE,196
ADEM HODŽA,M,137,Jedinstvena Goranska Partija,JGP,1373
ADIS ABDULA,M,125,Socialdemokratska Unija,SDU,69
ADMIR ALJILJI,M,125,Socialdemokratska Unija,SDU,495
ADMIR PALIÇKO,M,126,Kosovaki Nevi Romani Partia,KNRP,76
ADNAN ADEMI,M,127,Lëvizja VETËVENDOSJE!,LV,4006
ADNAN DACIĆ,M,113,Koalicija VAKAT,VAKAT,253
ADNAN LAHU,M,132,Lidhja Demokratike e Kosovës,LDK,1950
ADNAN MEROVCI,M,132,Lidhja Demokratike e Kosovës,LDK,3560
ADNAN REDŽEPLAR,M,113,Koalicija VAKAT,VAKAT,1288
ADNAN RRUSTEMI,M,127,Lëvizja VETËVENDOSJE!,LV,11220
ADRIANA MATOSHI,F,127,Lëvizja VETËVENDOSJE!,LV,10396
ADRIJANA HODŽIĆ,F,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,1749
ADRIJANA MORINA,F,126,Kosovaki Nevi Romani Partia,KNRP,60
AFËRDITA MORINA-BIFFAR,F,132,Lidhja Demokratike e Kosovës,LDK,857
AFRIM HALITI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,103
AFRIM TEJECI,M,121,Nisma Socialdemokrate,NISMA,259
AGIM ÇAKA,M,121,Nisma Socialdemokrate,NISMA,473
AGIM HYSENI,M,121,Nisma Socialdemokrate,NISMA,276
AGIM HYSENI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,178
AGIM KRASNIQI,M,121,Nisma Socialdemokrate,NISMA,373
