id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
1,RRUSTEM MUSA,M,134,Partia Demokratike e Kosovës,PDK,22,Deçan
1,RUKIJE KARAMONI,F,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,RUZHDI KURTISHAJ,M,134,Partia Demokratike e Kosovës,PDK,33,Deçan
1,RUZHDI MATOSHI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,11,Deçan
1,SABEDIN BERISHA,M,132,Lidhja Demokratike e Kosovës,LDK,7,Deçan
1,SABEDIN VISHI,M,134,Partia Demokratike e Kosovës,PDK,0,Deçan
1,SABINA BERISHA,F,111,Iniciativa e Re Demokratike e Kosovës,IRDK,0,Deçan
1,SABINA DANA,F,131,Nova Demokratska Stranka,NDS,0,Deçan
1,SABRI MICAJ,M,121,Nisma Socialdemokrate,NISMA,0,Deçan
1,SABRIE VELIU,F,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,RAMKA ZENUNI,F,122,Koalicija Zajeno,KZ,0,Deçan
1,RAMUSH HARADINAJ,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,6850,Deçan
1,RASHIT QALAJ,M,134,Partia Demokratike e Kosovës,PDK,8,Deçan
1,RASIM KRASNIQ,M,117,Partia Rome e Bashkuar e Kosovës,PREBK,2,Deçan
1,RASIM RIZAHI,M,111,Iniciativa e Re Demokratike e Kosovës,IRDK,0,Deçan
1,RASIM SELMANAJ,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,2318,Deçan
1,REDŽEP KAMBERI,M,122,Koalicija Zajeno,KZ,1,Deçan
1,REJHAN ABDI,M,131,Nova Demokratska Stranka,NDS,0,Deçan
1,REJHAN MUSTAFI,M,125,Socialdemokratska Unija,SDU,0,Deçan
1,REJHAN SAGDATI,M,133,Naša Inicijativa,NAŠA,0,Deçan
1,REMZI MEHMETI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,7,Deçan
1,REMZIJE ARIFI,F,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,RESHAT GASHI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,5,Deçan
1,RESMIJE BYTYÇI,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,25,Deçan
1,RESUL MAKRESHI,M,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,REXHEP HYSENI,M,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,REXHEP KADRIU,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,49,Deçan
1,RIALDA AVDI,F,124,Romani Iniciyativa,RI,1,Deçan
1,RIFAT RRUSTEMI,M,121,Nisma Socialdemokrate,NISMA,0,Deçan
1,RIFAT SYLEJMANI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,68,Deçan
1,RINOR KELMENDI,M,138,FJALA,FJALA,1,Deçan
1,RITA SPAHIU,F,132,Lidhja Demokratike e Kosovës,LDK,8,Deçan
1,RIZA KRIJEZI,M,124,Romani Iniciyativa,RI,1,Deçan
1,ROZETA HAJDARI,F,127,Lëvizja VETËVENDOSJE!,LV,119,Deçan
1,RRAHMAN JAKUPI,M,134,Partia Demokratike e Kosovës,PDK,14,Deçan
1,RREZARTA KRASNIQI,F,132,Lidhja Demokratike e Kosovës,LDK,114,Deçan
1,RREZE DULI,F,127,Lëvizja VETËVENDOSJE!,LV,3,Deçan
1,RREZOFAT AZEMI,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,8,Deçan
1,RRITFORT VITIJA,M,138,FJALA,FJALA,1,Deçan
1,RRUSTEM BERISHA,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,450,Deçan
1,RRUSTEM LETI,M,127,Lëvizja VETËVENDOSJE!,LV,116,Deçan
1,ABDULA BILIBANI,M,113,Koalicija VAKAT,VAKAT,0,Deçan
1,ABDYL BAJRAMI,M,134,Partia Demokratike e Kosovës,PDK,3,Deçan
1,ABDYL GASHI,M,127,Lëvizja VETËVENDOSJE!,LV,9,Deçan
1,ABDYRRAHMAN KRASNIQI,M,135,Aleanca për Ardhmërinë e Kosovës,AAK,11,Deçan
1,ABEDIN SADRIJA,M,121,Nisma Socialdemokrate,NISMA,20,Deçan
1,ABELARD TAHIRI,M,134,Partia Demokratike e Kosovës,PDK,35,Deçan
1,ADEA ROKA,F,135,Aleanca për Ardhmërinë e Kosovës,AAK,34,Deçan
