id,Party_ID,Party,Acronym,Votes,Municipality
12,124,Romani Iniciyativa,RI,11,Leposaviq
12,125,Socialdemokratska Unija,SDU,25,Leposaviq
12,126,Kosovaki Nevi Romani Partia,KNRP,0,Leposaviq
12,127,Lëvizja VETËVENDOSJE!,LV,129,Leposaviq
12,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,19,Leposaviq
12,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,158,Leposaviq
12,130,Partia e Ashkalinjëve për Integrim,PAI,0,Leposaviq
12,131,Nova Demokratska Stranka,NDS,7,Leposaviq
12,132,Lidhja Demokratike e Kosovës,LDK,7,Leposaviq
12,133,Naša Inicijativa,NAŠA,2,Leposaviq
12,134,Partia Demokratike e Kosovës,PDK,65,Leposaviq
12,135,Aleanca për Ardhmërinë e Kosovës,AAK,7,Leposaviq
12,136,Partia Liberale Egjiptiane,PLE,0,Leposaviq
12,137,Jedinstvena Goranska Partija,JGP,237,Leposaviq
12,138,FJALA,FJALA,0,Leposaviq
12,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,4,Leposaviq
13,125,Socialdemokratska Unija,SDU,7,Lipjan
13,126,Kosovaki Nevi Romani Partia,KNRP,14,Lipjan
13,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,34,Lipjan
13,116,Lëvizja për Bashkëveprim,LpB,161,Lipjan
13,117,Partia Rome e Bashkuar e Kosovës,PREBK,26,Lipjan
13,118,Srpski Demokratski Savez,SDS,5,Lipjan
13,119,Srpska Lista,SL,268,Lipjan
13,120,Partia Balliste,PB,7,Lipjan
13,121,Nisma Socialdemokrate,NISMA,743,Lipjan
13,122,Koalicija Zajeno,KZ,8,Lipjan
13,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,35,Lipjan
13,124,Romani Iniciyativa,RI,281,Lipjan
13,111,Iniciativa e Re Demokratike e Kosovës,IRDK,40,Lipjan
13,112,Kosova Demokratik Türk Partisi,KDTP,76,Lipjan
13,113,Koalicija VAKAT,VAKAT,29,Lipjan
13,114,Yenilikçi Türk Hareket Partisi,YTHP,6,Lipjan
13,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,199,Lipjan
13,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,9,Lipjan
13,130,Partia e Ashkalinjëve për Integrim,PAI,394,Lipjan
13,131,Nova Demokratska Stranka,NDS,15,Lipjan
13,132,Lidhja Demokratike e Kosovës,LDK,6059,Lipjan
13,133,Naša Inicijativa,NAŠA,13,Lipjan
13,134,Partia Demokratike e Kosovës,PDK,6088,Lipjan
13,135,Aleanca për Ardhmërinë e Kosovës,AAK,685,Lipjan
13,136,Partia Liberale Egjiptiane,PLE,31,Lipjan
13,137,Jedinstvena Goranska Partija,JGP,8,Lipjan
13,138,FJALA,FJALA,22,Lipjan
13,127,Lëvizja VETËVENDOSJE!,LV,14638,Lipjan
14,138,FJALA,FJALA,1,Novobërdë
14,127,Lëvizja VETËVENDOSJE!,LV,1040,Novobërdë
14,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,1,Novobërdë
14,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Novobërdë
14,130,Partia e Ashkalinjëve për Integrim,PAI,1,Novobërdë
14,131,Nova Demokratska Stranka,NDS,0,Novobërdë
14,132,Lidhja Demokratike e Kosovës,LDK,462,Novobërdë
14,133,Naša Inicijativa,NAŠA,0,Novobërdë
14,134,Partia Demokratike e Kosovës,PDK,282,Novobërdë
14,135,Aleanca për Ardhmërinë e Kosovës,AAK,104,Novobërdë
14,136,Partia Liberale Egjiptiane,PLE,0,Novobërdë
14,137,Jedinstvena Goranska Partija,JGP,0,Novobërdë
14,111,Iniciativa e Re Demokratike e Kosovës,IRDK,4,Novobërdë
14,112,Kosova Demokratik Türk Partisi,KDTP,5,Novobërdë
14,113,Koalicija VAKAT,VAKAT,0,Novobërdë
14,114,Yenilikçi Türk Hareket Partisi,YTHP,5,Novobërdë
14,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,50,Novobërdë
14,116,Lëvizja për Bashkëveprim,LpB,4,Novobërdë
14,117,Partia Rome e Bashkuar e Kosovës,PREBK,3,Novobërdë
14,118,Srpski Demokratski Savez,SDS,15,Novobërdë
14,119,Srpska Lista,SL,2104,Novobërdë
14,120,Partia Balliste,PB,1,Novobërdë
14,121,Nisma Socialdemokrate,NISMA,15,Novobërdë
14,122,Koalicija Zajeno,KZ,2,Novobërdë
14,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,7,Novobërdë
14,124,Romani Iniciyativa,RI,7,Novobërdë
14,125,Socialdemokratska Unija,SDU,0,Novobërdë
14,126,Kosovaki Nevi Romani Partia,KNRP,2,Novobërdë
15,138,FJALA,FJALA,6,Obiliq
15,111,Iniciativa e Re Demokratike e Kosovës,IRDK,16,Obiliq
15,112,Kosova Demokratik Türk Partisi,KDTP,6,Obiliq
15,113,Koalicija VAKAT,VAKAT,14,Obiliq
15,114,Yenilikçi Türk Hareket Partisi,YTHP,3,Obiliq
15,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,24,Obiliq
