Party_ID,Party,Acronym,Votes
111,Iniciativa e Re Demokratike e Kosovës,IRDK,3305
112,Kosova Demokratik Türk Partisi,KDTP,6496
113,Koalicija VAKAT,VAKAT,5366
114,Yenilikçi Türk Hareket Partisi,YTHP,1243
115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,1508
116,Lëvizja për Bashkëveprim,LpB,1261
117,Partia Rome e Bashkuar e Kosovës,PREBK,1074
118,Srpski Demokratski Savez,SDS,476
119,Srpska Lista,SL,44407
120,Partia Balliste,PB,155
121,Nisma Socialdemokrate,NISMA,21997
122,Koalicija Zajeno,KZ,1010
123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,1208
124,Romani Iniciyativa,RI,3172
125,Socialdemokratska Unija,SDU,2549
126,Kosovaki Nevi Romani Partia,KNRP,600
127,Lëvizja VETËVENDOSJE!,LV,438335
128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,1960
129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,2217
130,Partia e Ashkalinjëve për Integrim,PAI,2138
131,Nova Demokratska Stranka,NDS,2885
132,Lidhja Demokratike e Kosovës,LDK,110985
133,Naša Inicijativa,NAŠA,1375
134,Partia Demokratike e Kosovës,PDK,148285
135,Aleanca për Ardhmërinë e Kosovës,AAK,62111
136,Partia Liberale Egjiptiane,PLE,2430
137,Jedinstvena Goranska Partija,JGP,2161
138,FJALA,FJALA,1087
