id,Polling Center,Party_ID,Party,Acronym,Votes,Municipality
1,0104C,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,0104C,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,0104C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0104C,119,Srpska Lista,SL,0,Deçan
1,0104C,120,Partia Balliste,PB,0,Deçan
1,0104C,121,Nisma Socialdemokrate,NISMA,5,Deçan
1,0104C,122,Koalicija Zajeno,KZ,0,Deçan
1,0104C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,1,Deçan
1,0104C,124,Romani Iniciyativa,RI,1,Deçan
1,0104C,125,Socialdemokratska Unija,SDU,2,Deçan
1,0104C,126,Kosovaki Nevi Romani Partia,KNRP,0,Deçan
1,0104C,127,Lëvizja VETËVENDOSJE!,LV,253,Deçan
1,0104C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,0104C,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0104C,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0104C,131,Nova Demokratska Stranka,NDS,5,Deçan
1,0104C,132,Lidhja Demokratike e Kosovës,LDK,117,Deçan
1,0104C,133,Naša Inicijativa,NAŠA,0,Deçan
1,0104C,134,Partia Demokratike e Kosovës,PDK,20,Deçan
1,0104C,135,Aleanca për Ardhmërinë e Kosovës,AAK,303,Deçan
1,0104C,136,Partia Liberale Egjiptiane,PLE,9,Deçan
1,0104C,137,Jedinstvena Goranska Partija,JGP,1,Deçan
1,0104C,138,FJALA,FJALA,1,Deçan
1,0105C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,2,Deçan
1,0105C,112,Kosova Demokratik Türk Partisi,KDTP,0,Deçan
1,0105C,113,Koalicija VAKAT,VAKAT,2,Deçan
1,0105C,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0105C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,0,Deçan
1,0105C,116,Lëvizja për Bashkëveprim,LpB,1,Deçan
1,0105C,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,0105C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0105C,119,Srpska Lista,SL,0,Deçan
1,0105C,120,Partia Balliste,PB,0,Deçan
1,0105C,121,Nisma Socialdemokrate,NISMA,9,Deçan
1,0105C,122,Koalicija Zajeno,KZ,1,Deçan
1,0105C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,2,Deçan
1,0105C,124,Romani Iniciyativa,RI,0,Deçan
1,0105C,125,Socialdemokratska Unija,SDU,0,Deçan
1,0105C,126,Kosovaki Nevi Romani Partia,KNRP,1,Deçan
1,0105C,127,Lëvizja VETËVENDOSJE!,LV,480,Deçan
1,0105C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
1,0105C,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0105C,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0105C,131,Nova Demokratska Stranka,NDS,3,Deçan
1,0101X,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,0,Deçan
1,0101X,124,Romani Iniciyativa,RI,0,Deçan
1,0101X,125,Socialdemokratska Unija,SDU,0,Deçan
1,0101X,126,Kosovaki Nevi Romani Partia,KNRP,0,Deçan
1,0101X,127,Lëvizja VETËVENDOSJE!,LV,441,Deçan
1,0101X,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,2,Deçan
1,0101X,129,Ujedinjena Zajednica - Adrijana Hodžić,UZ-AH,0,Deçan
1,0101X,130,Partia e Ashkalinjëve për Integrim,PAI,0,Deçan
1,0101X,131,Nova Demokratska Stranka,NDS,1,Deçan
1,0101X,132,Lidhja Demokratike e Kosovës,LDK,198,Deçan
1,0101X,133,Naša Inicijativa,NAŠA,2,Deçan
1,0101X,134,Partia Demokratike e Kosovës,PDK,70,Deçan
1,0101X,135,Aleanca për Ardhmërinë e Kosovës,AAK,1111,Deçan
1,0101X,136,Partia Liberale Egjiptiane,PLE,1,Deçan
1,0101X,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,0101X,138,FJALA,FJALA,0,Deçan
1,0102C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,0,Deçan
1,0102C,112,Kosova Demokratik Türk Partisi,KDTP,1,Deçan
1,0102C,113,Koalicija VAKAT,VAKAT,2,Deçan
1,0102C,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0102C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,3,Deçan
1,0102C,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,0102C,117,Partia Rome e Bashkuar e Kosovës,PREBK,1,Deçan
1,0102C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0102C,119,Srpska Lista,SL,0,Deçan
1,0102C,120,Partia Balliste,PB,1,Deçan
1,0102C,121,Nisma Socialdemokrate,NISMA,16,Deçan
1,0102C,122,Koalicija Zajeno,KZ,0,Deçan
1,0106C,132,Lidhja Demokratike e Kosovës,LDK,55,Deçan
1,0106C,133,Naša Inicijativa,NAŠA,0,Deçan
1,0106C,134,Partia Demokratike e Kosovës,PDK,29,Deçan
1,0106C,135,Aleanca për Ardhmërinë e Kosovës,AAK,559,Deçan
1,0106C,136,Partia Liberale Egjiptiane,PLE,2,Deçan
1,0106C,137,Jedinstvena Goranska Partija,JGP,0,Deçan
1,0106C,138,FJALA,FJALA,1,Deçan
1,0107C,111,Iniciativa e Re Demokratike e Kosovës,IRDK,1,Deçan
1,0107C,112,Kosova Demokratik Türk Partisi,KDTP,0,Deçan
1,0107C,113,Koalicija VAKAT,VAKAT,1,Deçan
1,0107C,114,Yenilikçi Türk Hareket Partisi,YTHP,0,Deçan
1,0107C,115,Gi Za Slobodu Pravdu i Opstanak,GI SPO,1,Deçan
1,0107C,116,Lëvizja për Bashkëveprim,LpB,0,Deçan
1,0107C,117,Partia Rome e Bashkuar e Kosovës,PREBK,0,Deçan
1,0107C,118,Srpski Demokratski Savez,SDS,0,Deçan
1,0107C,119,Srpska Lista,SL,0,Deçan
1,0107C,120,Partia Balliste,PB,0,Deçan
1,0107C,121,Nisma Socialdemokrate,NISMA,1,Deçan
1,0107C,122,Koalicija Zajeno,KZ,0,Deçan
1,0107C,123,Lëvizja Përparimtare e Romëve të Kosovës,LPRK,0,Deçan
1,0107C,124,Romani Iniciyativa,RI,0,Deçan
1,0107C,125,Socialdemokratska Unija,SDU,1,Deçan
1,0107C,126,Kosovaki Nevi Romani Partia,KNRP,0,Deçan
1,0107C,127,Lëvizja VETËVENDOSJE!,LV,59,Deçan
1,0107C,128,Partia Demokratike e Ashkanlive të Kosovës,PDAK,0,Deçan
