id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
1,AFRIM DEMHASAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,329,Deçan
1,AGNESA VOKSHI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,263,Deçan
1,AGONIS BAJRAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,14,Deçan
1,ALBANA ADEMAJ,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,5,Deçan
1,ALBESE CACAJ,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,160,Deçan
1,ALBION MUSLIJAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,178,Deçan
1,ALI MUCAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,93,Deçan
1,ARBNORA JASIQI,F,144,LËVIZJA VETËVENDOSJE!,LVV,56,Deçan
1,ARBNORE DERVISHAJ,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,42,Deçan
1,ARJAN DOBRAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,333,Deçan
1,ARJANIT LEKAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,131,Deçan
1,ARJANIT SHALA,M,144,LËVIZJA VETËVENDOSJE!,LVV,13,Deçan
1,ARMEND JASIQI,M,144,LËVIZJA VETËVENDOSJE!,LVV,18,Deçan
1,ARMEND LOSHAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,546,Deçan
1,ARTA MAZREKAJ,F,144,LËVIZJA VETËVENDOSJE!,LVV,18,Deçan
1,ASTRIT MUQAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,1,Deçan
1,BAJRAM ZOGAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,43,Deçan
1,BASHKIM KRASNIQI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,49,Deçan
1,BEKIM BUFAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,36,Deçan
1,BESART BERISHA,M,144,LËVIZJA VETËVENDOSJE!,LVV,11,Deçan
1,BESIANA SHABANAJ,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,122,Deçan
1,BESNIK ZEJNAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,53,Deçan
1,BLENDI HADERGJONAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,19,Deçan
1,BLINERA LOKAJ,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,149,Deçan
1,DARDAN UKAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,48,Deçan
1,DAUT BERISHA,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,165,Deçan
1,DEMOKRAT LIKAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,18,Deçan
1,DIANA KRASNIQI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,52,Deçan
1,DORONTINA KRASNIQI,F,144,LËVIZJA VETËVENDOSJE!,LVV,18,Deçan
1,ELMEDINA SADIKAJ,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,188,Deçan
1,ELSA HAXHOSAJ,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,24,Deçan
1,ENDRIT IDRIZAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,149,Deçan
1,ENDRIT JANUZAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,258,Deçan
1,ERDOGAN DAUTAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,386,Deçan
1,ERLINDA BERISHA,F,144,LËVIZJA VETËVENDOSJE!,LVV,13,Deçan
1,ERMIR HADERGJONAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,11,Deçan
1,FAHRIJE HAKLAJ,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,97,Deçan
1,FARUK HASANRAMAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,319,Deçan
1,FATJONA KUCI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,48,Deçan
1,FATON MAZREKAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,9,Deçan
1,FATON SELMANAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,147,Deçan
1,FEKRI QUFAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,259,Deçan
1,FISNIK MAZREKAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,221,Deçan
1,FLORIANA HULAJ,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,163,Deçan
1,FLORIM MATAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,279,Deçan
1,FLORINA AVDIMETAJ,F,144,LËVIZJA VETËVENDOSJE!,LVV,40,Deçan
1,GANIMETE FERIZI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,33,Deçan
1,GAZMEND ZAJMI,M,144,LËVIZJA VETËVENDOSJE!,LVV,31,Deçan
1,HAJDAR SUTAJ,8,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,8329,Deçan
1,HAMID ZUKAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,390,Deçan
1,HYRI DOBRUNAJ,3,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,3723,Deçan
1,IBRAHIM DACAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,6,Deçan
1,IMER ADEMAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,37,Deçan
1,ISMET CEKAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,32,Deçan
