Candidate,Gender,Party_ID,Party,Acronym,Votes
AFRIM MALOKU,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,151
AFRIM MORINA,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,25
AFRIM ORUQI,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,240
AFRIM RADA,M,149,ALEANCA KOSOVA E RE,AKR,45
AFRIM RAMUSHI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,341
AFRIM RRUDHANI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,182
AFRIM TEJECI,M,149,ALEANCA KOSOVA E RE,AKR,519
AFRORA REXHEPI,F,128,INICIATIVA QYTETARE PËR KLLOKOT,IQK,24
AFRORE VEJSELI,F,144,LËVIZJA VETËVENDOSJE!,LVV,134
AGIM ALIU,19,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,19371
AGIM BAJRAMI,M,113,LISTA E PAVARUR BEKIM JASHARI,BJ,113
AGIM BAJRAMI,M,124,PARTIA LIBERALE EGJIPTIANE,PLE,16
AGIM BEHLULI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,311
AGIM BREGAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,263
AGIM BUZA,M,144,LËVIZJA VETËVENDOSJE!,LVV,312
AGIM BYTYQI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,89
AGIM CAKA,M,119,NISMA SOCIALDEMOKRATE,NISMA,424
AGIM DERVISHOLLI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,48
AGIM GASHI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,346
AGIM GJELI,M,157,AGIM GJELI,AG,141
AGIM GRAJCEVCI,M,140,LËVIZJA PËR BASHKIM,LB,34
AGIM HASANI,M,118,INICIATIVA PËR FUSHË KOSOVË EGJIPTIAN,IFKEA,19
AGIM HYSENAJ,M,149,ALEANCA KOSOVA E RE,AKR,16
AGIM HYSENI,M,175,INICIATIVA QYTETARE PËR NDRYSHIM,IQN,77
AGIM KRASNIQI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,212
AGIM KUCI,M,185,INICIATIVA E THERANDËS,ITH,8
AGIM KULETA,2,140,LËVIZJA PËR BASHKIM,LB,2319
AGIM MAHMUTI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,47
AGIM MANI,4,144,LËVIZJA VETËVENDOSJE!,LVV,4540
AGIM MORINA,M,117,KOSOVA ADALET TÜRK PARTİSİ,KATP,31
AGIM MUQAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,240
AGIM SAHITI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,148
AGIM SALIHU,M,119,NISMA SOCIALDEMOKRATE,NISMA,4
AGIME ROSHAJ,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,182
AGNESA BAJRAMI,F,144,LËVIZJA VETËVENDOSJE!,LVV,21
AGNESA BEKTESHI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,158
AGNESA BOBI-SULA,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,459
AGNESA DAUTI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,13
AGNESA FEJZA,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,5
AGNESA HAJDINI,F,149,ALEANCA KOSOVA E RE,AKR,32
AGNESA HASALLARI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,80
AGNESA JETISHI,F,119,NISMA SOCIALDEMOKRATE,NISMA,123
AGNESA KASTRATI,F,144,LËVIZJA VETËVENDOSJE!,LVV,126
AGNESA MEHMETI,F,144,LËVIZJA VETËVENDOSJE!,LVV,1
AGNESA PINTOLLI,F,119,NISMA SOCIALDEMOKRATE,NISMA,65
AGNESA SADIKU,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,128
AGNESA SINANAJ-GAVAZAJ,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,204
AGNESA VOKSHI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,263
AGNESE KASTRATI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,294
AGNESE RASHITI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,72
AGOLIND ISUFAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,0
AGON BAHTIRI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,252
AGON BLLACA,M,140,LËVIZJA PËR BASHKIM,LB,22
AGON DOBRUNA,M,144,LËVIZJA VETËVENDOSJE!,LVV,476
AGON DRESHAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,386
AGON HANA,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,150
AGON MAKOLLI,M,140,LËVIZJA PËR BASHKIM,LB,258
AGONIS BAJRAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,14
AGONITA BEQIRI,F,149,ALEANCA KOSOVA E RE,AKR,3
AGRON ABAZI,M,164,REFORMIMI DEMOKRATIK PËR FERIZAJN,RDF,25
AGRON CANOLLI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,511
AGRON GASHI,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,692
AGRON GASHI,M,144,LËVIZJA VETËVENDOSJE!,LVV,23
AGRON HALIMI,M,119,NISMA SOCIALDEMOKRATE,NISMA,9
AGRON KAJTAZI,M,149,ALEANCA KOSOVA E RE,AKR,1
AGRON KULIQI,M,144,LËVIZJA VETËVENDOSJE!,LVV,97
AGRON LIMANI,M,144,LËVIZJA VETËVENDOSJE!,LVV,381
AGRON LUSHAKU,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,94
AGRON MALIQAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,158
AGRON MAZREKU,M,144,LËVIZJA VETËVENDOSJE!,LVV,7
AGRON MEHMETI,M,144,LËVIZJA VETËVENDOSJE!,LVV,13
AGRON MEHMETI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,270
AGRON MIFTARI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,130
AGRON MYFTARI,M,144,LËVIZJA VETËVENDOSJE!,LVV,103
AGRON MYRTEZANI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,137
AGRON NIKCI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,916
AGRON PERCUKU,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,567
AGRON SHALA,M,149,ALEANCA KOSOVA E RE,AKR,9
AGRON SHALA,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,83
AGRON SHERIFI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,119
AGRON TAHIRAJ,M,119,NISMA SOCIALDEMOKRATE,NISMA,17
AGRON ZENUNAJ,M,131,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,IRDK,1
AGRON ZOGAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,28
AGUSTIN SHALA,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,657
AHMET AHMETI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,47
AHMET BAJRAMI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,165
AHMET BLAKAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,67
AHMET GOVORI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,43
AHMET GRAJCEVCI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,16
AHMET KALISI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,12
AHMET KASTRATI,M,174,LËVIZJA QYTETARE VATRA,LQV,10
AHMET PLLANA,M,149,ALEANCA KOSOVA E RE,AKR,1
AHMET SHALA,M,119,NISMA SOCIALDEMOKRATE,NISMA,169
AHMET SPAHIU,M,144,LËVIZJA VETËVENDOSJE!,LVV,190
AHMET TERZIU,M,144,LËVIZJA VETËVENDOSJE!,LVV,124
AHMET UKA,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,40
AID LUTFIU,M,119,NISMA SOCIALDEMOKRATE,NISMA,39
AIDA ALIMI,2,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,2590
AIDA FERATI-DOLI,F,189,"INICIATIVA QYTETARE ""MITROVICA""",IQM,153
AIDA MISINI HALIMI,F,144,LËVIZJA VETËVENDOSJE!,LVV,107
AIDA MORINA,F,131,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,IRDK,30
AJET BAJRAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,228
AJET BERISHA,1,140,LËVIZJA PËR BASHKIM,LB,1101
AJET BRAJSHORI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,474
AJLA KRASNIQI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,77
AJNURE THACI,F,144,LËVIZJA VETËVENDOSJE!,LVV,139
AJSHE HALITI-PLLANA,F,144,LËVIZJA VETËVENDOSJE!,LVV,139
AJSHE METAJ,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,175
AJSHE UKA,F,144,LËVIZJA VETËVENDOSJE!,LVV,173
AJSUN ABDULLAHU-SADIKU,F,144,LËVIZJA VETËVENDOSJE!,LVV,237
ALBAN BAJRAKTARI,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,188
ALBAN BAJRAMI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,399
ALBAN BAJRAMI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,143
ALBAN BEHA,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,151
ALBAN BERISHA,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,301
ALBAN BISLIMAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,556
ALBAN BUSHI,M,144,LËVIZJA VETËVENDOSJE!,LVV,15
ALBAN HALIMI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,28
ALBAN HOTI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,116
ALBAN KASTRATI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,276
ALBAN MAZREKU,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,185
ALBAN MEHMETAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,87
ALBAN NASUFI,M,144,LËVIZJA VETËVENDOSJE!,LVV,205
ALBAN RESTELICA,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,6
ALBAN SALIHU,5,144,LËVIZJA VETËVENDOSJE!,LVV,5220
ALBAN SELIMI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,69
ALBAN SHABANI,M,119,NISMA SOCIALDEMOKRATE,NISMA,18
ALBAN ZEJNULLAHU,M,144,LËVIZJA VETËVENDOSJE!,LVV,164
ALBAN ZOGAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,744
ALBANA ADEMAJ,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,5
ALBANA AJVAZI,F,127,PARTIA SOCIALDEMOKRATE,PSD,85
ALBANA BAJRAMI-AHMETI,F,144,LËVIZJA VETËVENDOSJE!,LVV,113
ALBANA BASHOLLI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,32
ALBANA BUCALIU,F,144,LËVIZJA VETËVENDOSJE!,LVV,159
ALBANA FAZLIU,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,108
ALBANA GERXHALIU,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,43
ALBANA HALILI,F,144,LËVIZJA VETËVENDOSJE!,LVV,25
ALBANA KAJTAZAJ,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,76
ALBANA KRASNIQI,F,182,DEMOKRATËT PËR DRENASIN,DD,21
ALBANA LIKA,F,144,LËVIZJA VETËVENDOSJE!,LVV,106
ALBANA MEMQAJ,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,34
ALBANA OSMANI,F,149,ALEANCA KOSOVA E RE,AKR,17
ALBANA PECI,F,144,LËVIZJA VETËVENDOSJE!,LVV,31
ALBANA PODVORICA,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,253
ALBANA SHABANI,F,142,PARTIA E DREJTËSISË,PD,3
ALBANA SVARCA,F,144,LËVIZJA VETËVENDOSJE!,LVV,82
ALBANA XHELADINI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,3
ALBANE IZETI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,108
ALBANE KRYEZIU,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,48
ALBANE SHILLOVA-SHALAKU,F,144,LËVIZJA VETËVENDOSJE!,LVV,106
ALBANE TALLA,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,62
ALBATRINA THACI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,64
ALBATRIT MATOSHI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,307
ALBENITA RRAHMANI,F,113,LISTA E PAVARUR BEKIM JASHARI,BJ,179
ALBERIANA TOFAJ,F,144,LËVIZJA VETËVENDOSJE!,LVV,33
ALBERINA ALIAJ,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,44
ALBERINA GASHI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,306
ALBERT AHMETAJ,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,1
ALBERT BUJA,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,19
ALBERT FAZLIU,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,23
ALBERT HASHANI,M,119,NISMA SOCIALDEMOKRATE,NISMA,22
ALBERT HAXHAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,132
ALBERT HAXHIU,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,84
ALBERT SERMAXHAJ,M,119,NISMA SOCIALDEMOKRATE,NISMA,196
ALBERT THAQI,M,127,PARTIA SOCIALDEMOKRATE,PSD,184
ALBERTA BERISHA,F,144,LËVIZJA VETËVENDOSJE!,LVV,22
ALBERTA BINCE,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,72
ALBERTINA GACAFERI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,55
ALBESA VESELI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,27
ALBESE CACAJ,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,160
ALBI SHALA,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,108
ALBIJON STUDENICA,M,144,LËVIZJA VETËVENDOSJE!,LVV,89
ALBIJONA VILAKU,F,144,LËVIZJA VETËVENDOSJE!,LVV,47
ALBIN HASANI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,6
ALBIN MEHMETI,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,132
ALBIN SYLA,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,108
ALBINA DELLOVA,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,126
ALBINA GASHI,F,149,ALEANCA KOSOVA E RE,AKR,112
ALBINA HASI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,22
ALBINA HAZIZI,F,144,LËVIZJA VETËVENDOSJE!,LVV,191
ALBINA KOVANI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,43
ALBINA MAHMUTI,3,127,PARTIA SOCIALDEMOKRATE,PSD,3136
ALBINA PRENKA,F,119,NISMA SOCIALDEMOKRATE,NISMA,19
ALBINA RAMAJ,F,112,PARTIA DEMOKRATIKE E UNITETIT,PDU,17
ALBINA SADRIJA-ASLLANI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,234
ALBINA TUSHA,F,144,LËVIZJA VETËVENDOSJE!,LVV,82
ALBION BERISHA,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,34
ALBION GASHI,M,119,NISMA SOCIALDEMOKRATE,NISMA,22
ALBION GEGAJ,M,119,NISMA SOCIALDEMOKRATE,NISMA,26
ALBION ILAZI,M,149,ALEANCA KOSOVA E RE,AKR,2
ALBION MUSLIJAJ,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,178
ALBION ZEQIRI,M,144,LËVIZJA VETËVENDOSJE!,LVV,14
ALBIONA HAXHIU,F,113,LISTA E PAVARUR BEKIM JASHARI,BJ,123
ALBIONA ISA,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,173
ALBIONA TASHOLLI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,483
ALBIONA TOPALLI,F,149,ALEANCA KOSOVA E RE,AKR,4
ALBNORA KRYEZIU,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,191
ALBNORE GJOTA,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,67
ALBULENA FERIZI,F,144,LËVIZJA VETËVENDOSJE!,LVV,0
ALBULENA FETIU-HASANAJ,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,232
ALBULENA GASHI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,219
ALBULENA KADRIU,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,115
ALBULENA KRASNIQI,F,144,LËVIZJA VETËVENDOSJE!,LVV,29
ALBULENA MAKA,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,34
