Candidate,Gender,Party_ID,Party,Acronym,Votes
ABAZ ADEMI,M,123,KOALICIJA VAKAT,VAKAT,67
ABDULHADI KRASNIC,1,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,KDTP,1430
ABDULLA GASHI,M,113,LISTA E PAVARUR BEKIM JASHARI,BJ,342
ABDULLA RAKIPI,M,144,LËVIZJA VETËVENDOSJE!,LVV,122
ABDULLAH LATIFI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,54
ABDULLAH SADIKU,M,144,LËVIZJA VETËVENDOSJE!,LVV,144
ABDURAMAN BUSHI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,73
ABDYL GASHI,M,144,LËVIZJA VETËVENDOSJE!,LVV,509
ABDYLAZIZ SYLA,M,154,ORGANIZATA BALLI KOMBËTAR DEMOKRAT,OBKD,5
ABDYRRAHMAN KRASNIQI,M,109,INICIATIVA QYTETARE PËR OBILIQ,IQO,245
ABEDIN KABASHI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,575
ABEDIN MULA,M,144,LËVIZJA VETËVENDOSJE!,LVV,69
ABEDIN RAMADANI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,228
ABETARE KURTI-MALIQI,F,119,NISMA SOCIALDEMOKRATE,NISMA,94
ABIT HAZIRAJ,M,116,INICIATIVA QYTETARE PËR SKENDERAJ,IQS,15
ACA NIKOLIC,M,147,SRPSKA LISTA,SL,27
ADEA ADEMI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,38
ADEA ROKA,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,532
ADEA SOKOLI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,38
ADELINA AHMETI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,121
ADELINA BEQAJ,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,254
ADELINA CULAJ,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,58
ADELINA ELSHANI,F,144,LËVIZJA VETËVENDOSJE!,LVV,96
ADELINA GASHI-ISUFI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,157
ADELINA ISUFAJ,F,149,ALEANCA KOSOVA E RE,AKR,20
ADELINA KASTRATI,F,149,ALEANCA KOSOVA E RE,AKR,22
ADELINA KLINAKU,F,140,LËVIZJA PËR BASHKIM,LB,61
ADELINA MUJA,F,142,PARTIA E DREJTËSISË,PD,46
ADELINA MUJA-BRAHIMI,F,144,LËVIZJA VETËVENDOSJE!,LVV,124
ADELINA NISHORI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,77
ADELINA RAMADANI,F,159,BASHKË PËR SHTËRPCËN,BPSH,59
ADELINA REXHEPI,F,144,LËVIZJA VETËVENDOSJE!,LVV,63
ADELINA SADIKU,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,88
ADELINA SHEHU-KOLA,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,262
ADELINA SPAHIU,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,404
ADELINA STUBLLA,F,144,LËVIZJA VETËVENDOSJE!,LVV,491
ADELINA XANI-SHABANI,F,119,NISMA SOCIALDEMOKRATE,NISMA,25
ADELINE KADRIU-ZEKA,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,180
ADELINE SAHITI,F,140,LËVIZJA PËR BASHKIM,LB,258
ADELISA GJUSHINCA,F,189,"INICIATIVA QYTETARE ""MITROVICA""",IQM,11
ADELISA KRASNIQI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,58
ADEM ABAZI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,47
ADEM ADEMI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,102
ADEM BALIU,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,42
ADEM BREZNICA,M,144,LËVIZJA VETËVENDOSJE!,LVV,122
ADEM GASHI,M,116,INICIATIVA QYTETARE PËR SKENDERAJ,IQS,0
ADEM HAXHOLLI,M,149,ALEANCA KOSOVA E RE,AKR,259
ADEM HODZA,1,143,JEDINSTVENA GORANSKA PARTIJA,JGP,1198
ADEM KRASNIQI,M,119,NISMA SOCIALDEMOKRATE,NISMA,197
ADEM KRASNIQI,M,144,LËVIZJA VETËVENDOSJE!,LVV,200
ADEM MUNISHI,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,25
ADEM PLAKOLLI,M,144,LËVIZJA VETËVENDOSJE!,LVV,133
ADEM RAMADANI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,302
ADEM SHABANAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,628
ADEM SHALA,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,8
ADEM SMAJLAJ,M,149,ALEANCA KOSOVA E RE,AKR,5
ADEM TACI,M,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,KDTP,65
ADHURIM NUREDINI,M,142,PARTIA E DREJTËSISË,PD,20
ADIL MALOKU,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,269
ADIL MEMAJ,M,144,LËVIZJA VETËVENDOSJE!,LVV,193
ADILE HOXHA,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,215
ADIS ABDULA,M,136,SOCIJALDEMOKRATSKA UNIJA,SDU,12
ADIS BOJAXHIU,M,149,ALEANCA KOSOVA E RE,AKR,4
ADMIR ALJILJI,M,136,SOCIJALDEMOKRATSKA UNIJA,SDU,308
ADMIR BALA,M,119,NISMA SOCIALDEMOKRATE,NISMA,7
ADMIRIM ETEMI,M,144,LËVIZJA VETËVENDOSJE!,LVV,149
ADNAN ADEMI,4,144,LËVIZJA VETËVENDOSJE!,LVV,4367
ADNAN BAJRAMI,M,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,KDTP,78
ADNAN BEHRAMI,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,15
ADNAN DACIC,M,106,BOSNJACKA INICIJATIVA PEC,BIP,30
ADNAN GJAKOVA,M,144,LËVIZJA VETËVENDOSJE!,LVV,143
ADNAN JANUZI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,204
ADNAN LAHU,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,686
ADNAN QEHAJA,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,26
ADNAN RAMIC,M,125,GIBI,GIBI,20
ADNAN REKA,M,144,LËVIZJA VETËVENDOSJE!,LVV,259
ADNAN REXHEPI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,84
ADNAN SELMANI,M,144,LËVIZJA VETËVENDOSJE!,LVV,382
ADNAN ZYMERI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,493
ADNON HAJRIZI,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,5
ADRIATIK MORINA,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,34
ADRIT KRASNIQI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,750
ADVIJE GASHI,F,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,7
AFERDITA BALAJ-AJDINI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,571
AFERDITA KASTRATI,F,144,LËVIZJA VETËVENDOSJE!,LVV,119
AFERDITA MAMAJ,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,326
AFERDITA MORINA-BIFFAR,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,151
AFERDITA SHABANI,F,149,ALEANCA KOSOVA E RE,AKR,25
AFERDITA SPAHIU,F,149,ALEANCA KOSOVA E RE,AKR,28
AFERDITE MALOKU,F,144,LËVIZJA VETËVENDOSJE!,LVV,194
AFET MANI,M,159,BASHKË PËR SHTËRPCËN,BPSH,39
AFIE DOBRATIQI,F,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,28
AFIT FEJZA,M,136,SOCIJALDEMOKRATSKA UNIJA,SDU,28
AFIZE REXHEPI,F,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,130
AFRIM BERISHA,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,262
AFRIM BERISHA,M,144,LËVIZJA VETËVENDOSJE!,LVV,83
AFRIM DEMHASAJ,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,329
AFRIM DERMAKU,M,119,NISMA SOCIALDEMOKRATE,NISMA,36
AFRIM DERVISHI,M,144,LËVIZJA VETËVENDOSJE!,LVV,160
AFRIM DINA,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,348
AFRIM FEJZULLAHU,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,236
AFRIM FETAHU,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,99
AFRIM GASHI,M,119,NISMA SOCIALDEMOKRATE,NISMA,26
AFRIM GASHI,M,144,LËVIZJA VETËVENDOSJE!,LVV,153
AFRIM GASHI,M,160,LIDHJA DEMOKRATIKE E KOSOVËS,LDK,358
AFRIM GOXHULI,M,146,FORCA E DIASPORËS,FED,9
AFRIM HAZIRI,M,140,LËVIZJA PËR BASHKIM,LB,69
AFRIM ISTREFAJ,M,131,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,IRDK,12
AFRIM JERLIU,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,50
AFRIM KABASHI,M,119,NISMA SOCIALDEMOKRATE,NISMA,356
AFRIM KELMENDI,M,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,AAK,39
AFRIM KRASNIQI,M,144,LËVIZJA VETËVENDOSJE!,LVV,32
AFRIM LLABJANI,M,177,PARTIA DEMOKRATIKE E KOSOVËS,PDK,1434
