id,Candidate,Party_ID,Party,Votes,Municipality
13,ADNAN RRUSTEMI,144,LËVIZJA VETËVENDOSJE!,6435,Lipjan
13,BASHKIM BUDAKOVA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,368,Lipjan
13,HYZER RIZANI,177,PARTIA DEMOKRATIKE E KOSOVËS,5201,Lipjan
13,IMRI AHMETI,160,LIDHJA DEMOKRATIKE E KOSOVËS,15541,Lipjan
14,ABDYL GASHI,144,LËVIZJA VETËVENDOSJE!,477,Novobërdë
14,BAJRUSH YMERI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1392,Novobërdë
14,SASA MILOSEVIC,147,SRPSKA LISTA,3548,Novobërdë
14,SELATIN NUHIU,177,PARTIA DEMOKRATIKE E KOSOVËS,198,Novobërdë
15,AJET BERISHA,140,LËVIZJA PËR BASHKIM,923,Obiliq
15,GORAN DANCETOVIC,147,SRPSKA LISTA,1131,Obiliq
15,HALIL THACI,144,LËVIZJA VETËVENDOSJE!,2507,Obiliq
15,HANEFI MUSLIU,177,PARTIA DEMOKRATIKE E KOSOVËS,306,Obiliq
15,MEHMET KRASNIQI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1182,Obiliq
15,XHAFER GASHI,109,INICIATIVA QYTETARE PËR OBILIQ,5975,Obiliq
15,XHELAL KRASNIQI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,393,Obiliq
16,BEJTULLAH DELIU,177,PARTIA DEMOKRATIKE E KOSOVËS,2418,Rahovec
16,BURIM KRASNIQI,160,LIDHJA DEMOKRATIKE E KOSOVËS,3424,Rahovec
16,SMAJL LATIFI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,10144,Rahovec
16,VISAR KORENICA,144,LËVIZJA VETËVENDOSJE!,5341,Rahovec
16,XHAFER BYTYQI,176,XHAFER BYTYQI,174,Rahovec
17,DRENA PODRIMCAKU,108,PARTIA BALLISTE,89,Pejë
17,GANI VESELAJ,171,GANI VESELAJ,124,Pejë
17,GAZMEND AGUSHOLLI,144,LËVIZJA VETËVENDOSJE!,8643,Pejë
17,GAZMEND MUHAXHERI,160,LIDHJA DEMOKRATIKE E KOSOVËS,23426,Pejë
17,KRESHNIK HUSAJ,112,PARTIA DEMOKRATIKE E UNITETIT,120,Pejë
17,RRUSTEM BERISHA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,6328,Pejë
18,BESNIK TAHIRI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1531,Podujevë
18,EKREM HYSENI,160,LIDHJA DEMOKRATIKE E KOSOVËS,16925,Podujevë
18,FLORETE ZEJNULLAHU,177,PARTIA DEMOKRATIKE E KOSOVËS,2471,Podujevë
18,GAZMEND ISLAMI,154,ORGANIZATA BALLI KOMBËTAR DEMOKRAT,251,Podujevë
18,SHPEJTIM BULLIQI,144,LËVIZJA VETËVENDOSJE!,16907,Podujevë
18,XHEMAJL HASANI,119,NISMA SOCIALDEMOKRATE,205,Podujevë
19,ARBEN VITIA,144,LËVIZJA VETËVENDOSJE!,36818,Prishtinë
19,AVNI CAKMAKU,173,FJALA,155,Prishtinë
19,DAUT HARADINAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,3874,Prishtinë
19,FLORIM ISUFI,108,PARTIA BALLISTE,100,Prishtinë
19,GEZIM MEHMETI,149,ALEANCA KOSOVA E RE,1588,Prishtinë
19,PERPARIM RAMA,160,LIDHJA DEMOKRATIKE E KOSOVËS,25252,Prishtinë
19,URAN ISMAILI,177,PARTIA DEMOKRATIKE E KOSOVËS,18771,Prishtinë
