Candidate,Party_ID,Party,Votes
ABDULHADI KRASNIC,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,1430
ABDYL GASHI,144,LËVIZJA VETËVENDOSJE!,477
ADNAN REDZEPLAR,123,KOALICIJA VAKAT,1593
ADNAN RRUSTEMI,144,LËVIZJA VETËVENDOSJE!,6435
AFRIM TEJECI,149,ALEANCA KOSOVA E RE,459
AGIM ALIU,177,PARTIA DEMOKRATIKE E KOSOVËS,30627
AGIM BAHTIRI,144,LËVIZJA VETËVENDOSJE!,10654
AGRON AVDIJAJ,144,LËVIZJA VETËVENDOSJE!,4528
AGRON GASHI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,281
AGRON KUCI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1419
AJET BERISHA,140,LËVIZJA PËR BASHKIM,923
ALBAN HYSENI,144,LËVIZJA VETËVENDOSJE!,19057
ALBAN KRASNIQI,144,LËVIZJA VETËVENDOSJE!,3469
ALBERT MAXHUNI,119,NISMA SOCIALDEMOKRATE,322
ALBERT SERMAXHAJ,119,NISMA SOCIALDEMOKRATE,184
ALI NIMANAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,1189
ANDUENA GLLAREVA,160,LIDHJA DEMOKRATIKE E KOSOVËS,219
ANTON QUNI,160,LIDHJA DEMOKRATIKE E KOSOVËS,9043
ARBEN HALILI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1096
ARBEN VITIA,144,LËVIZJA VETËVENDOSJE!,36818
ARBENESHA KUQI,177,PARTIA DEMOKRATIKE E KOSOVËS,1377
ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,18973
ARDIAN SHALA,160,LIDHJA DEMOKRATIKE E KOSOVËS,8629
ARDIANA QORRAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,298
ARIF BUTUC,117,KOSOVA ADALET TÜRK PARTİSİ,1080
ARMEND AGOLLI,160,LIDHJA DEMOKRATIKE E KOSOVËS,3636
ARSIM ADEMI,144,LËVIZJA VETËVENDOSJE!,6955
ARSIM REXHEPI,144,LËVIZJA VETËVENDOSJE!,7667
ARTA AHMETI-XHYLANI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,411
AVNI CAKMAKU,173,FJALA,155
BAJRUSH HOTI,160,LIDHJA DEMOKRATIKE E KOSOVËS,3738
BAJRUSH YMERI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1392
BALI MUHARREMAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,14483
BASHKIM BUDAKOVA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,368
BASHKIM RAMOSAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,9843
BEDRI HAMZA,177,PARTIA DEMOKRATIKE E KOSOVËS,16566
BEDRI ZEQIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1381
BEJTULLAH DELIU,177,PARTIA DEMOKRATIKE E KOSOVËS,2418
BEKE BERISHA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,5140
BEKIM AZIZI,177,PARTIA DEMOKRATIKE E KOSOVËS,4879
BEKIM JASHARI,113,LISTA E PAVARUR BEKIM JASHARI,9236
BESART TOFAJ,144,LËVIZJA VETËVENDOSJE!,336
BESIM HOTI,160,LIDHJA DEMOKRATIKE E KOSOVËS,3351
BESIM ILAZI,177,PARTIA DEMOKRATIKE E KOSOVËS,7111
BESIM ISLAMI,144,LËVIZJA VETËVENDOSJE!,800
BESNIK TAHIRI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1531
BEXHET XHELADINI,160,LIDHJA DEMOKRATIKE E KOSOVËS,4887
BRANIMIR STOJANOVIC,155,BRANIMIR STOJANOVIĆ,1843
BURIM BERISHA,160,LIDHJA DEMOKRATIKE E KOSOVËS,7966
BURIM KRASNIQI,160,LIDHJA DEMOKRATIKE E KOSOVËS,3424
CEMAILJ SMAILJI,150,NOVA DEMOKRATSKA STRANKA,1736
DALIBOR JEVTIC,147,SRPSKA LISTA,4148
DAUT HARADINAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,3874
DRAGAN PETKOVIC,147,SRPSKA LISTA,1684
DRAGISA MILOVIC,147,SRPSKA LISTA,5394
DRENA PODRIMCAKU,108,PARTIA BALLISTE,89
DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,6984
EKREM HYSENI,160,LIDHJA DEMOKRATIKE E KOSOVËS,16925
EKREM KASTRATI,119,NISMA SOCIALDEMOKRATE,7548
ENVER BAJCINCA,144,LËVIZJA VETËVENDOSJE!,4098
ERDEN ATIQ,189,"INICIATIVA QYTETARE ""MITROVICA""",1056
ERGIN SUNGURI,103,KOSOVA DEMOKRATİK TÜRK PARTİSİ,436
ESAT RACI,177,PARTIA DEMOKRATIKE E KOSOVËS,4766
FADIL NURA,177,PARTIA DEMOKRATIKE E KOSOVËS,13123
FATON JAKUPI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,2076
FATOS SHALA,177,PARTIA DEMOKRATIKE E KOSOVËS,66
FAZLI HOXHA,119,NISMA SOCIALDEMOKRATE,522
FEJZI KIQINA,144,LËVIZJA VETËVENDOSJE!,3916
FERDINAND KOLAJ,134,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,2837
FERIT IDRIZI,177,PARTIA DEMOKRATIKE E KOSOVËS,10247
FIKRIH HASANI,159,BASHKË PËR SHTËRPCËN,887
FLORETE ZEJNULLAHU,177,PARTIA DEMOKRATIKE E KOSOVËS,2471
FLORIM ISUFI,108,PARTIA BALLISTE,100
GANI NEZIRI,172,GANI NEZIRI,252
GANI VESELAJ,171,GANI VESELAJ,124
GAZMEND AGUSHOLLI,144,LËVIZJA VETËVENDOSJE!,8643
GAZMEND ISLAMI,154,ORGANIZATA BALLI KOMBËTAR DEMOKRAT,251
GAZMEND MUHAXHERI,160,LIDHJA DEMOKRATIKE E KOSOVËS,23426
GEZIM MEHMETI,149,ALEANCA KOSOVA E RE,1588
GORAN DANCETOVIC,147,SRPSKA LISTA,1131
HALIL THACI,144,LËVIZJA VETËVENDOSJE!,2507
HANEFI MUSLIU,177,PARTIA DEMOKRATIKE E KOSOVËS,306
HASAN ISMAJLI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,377
HYRI DOBRUNAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,2919
HYZER RIZANI,177,PARTIA DEMOKRATIKE E KOSOVËS,5201
IDRIZ BLAKAJ,129,INICIATIVA QYTETARE BASHKË PËR ISTOGUN,573
ILIR FERATI,160,LIDHJA DEMOKRATIKE E KOSOVËS,7974
ILYAS BAYRAKTAR,126,İLYAS BAYRAKTAR,368
IMRI AHMETI,160,LIDHJA DEMOKRATIKE E KOSOVËS,15541
ISA ELEZAJ,130,ISA ELEZAJ,307
ISNI KILAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,6383
JETON BIQKAJ,160,LIDHJA DEMOKRATIKE E KOSOVËS,1707
JETON RAKA,144,LËVIZJA VETËVENDOSJE!,5311
JETON SALIHU,114,JETON SALIHU,245
JUGOSLAV JOVANOVIC,115,JUGOSLAV JOVANOVIĆ,76
KADRI RAHIMAJ,144,LËVIZJA VETËVENDOSJE!,5156
KALTRINA SALIHU,144,LËVIZJA VETËVENDOSJE!,2375
KASTRIOT BERISHA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,933
KASTRIOT BUSHI,188,KASTRIOT BUSHI,384
KATARINA RISTIC-ILIC,147,SRPSKA LISTA,2427
KRESHNIK HUSAJ,112,PARTIA DEMOKRATIKE E UNITETIT,120
LEONORA MORINA-BUNJAKU,177,PARTIA DEMOKRATIKE E KOSOVËS,3518
LJILJANA SUBARIC,147,SRPSKA LISTA,6506
LULZIM BEXHETI,168,LULZIM BEXHETI,206
LULZIM DRAGIDELLA,144,LËVIZJA VETËVENDOSJE!,1734
LULZIM KABASHI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,2182
LUTFI HAZIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,18546
MEHMET BALLAZHI,177,PARTIA DEMOKRATIKE E KOSOVËS,2561
MEHMET KRASNIQI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1182
MENSUT ADEMI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,565
MILAN RADOJEVIC,147,SRPSKA LISTA,10833
MILAZIM LUSHAJ,180,MILAZIM LUSHAJ,153
MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,15426
MUHAMED KALLABA,177,PARTIA DEMOKRATIKE E KOSOVËS,2098
MURTEZ ZEKOLLI,177,PARTIA DEMOKRATIKE E KOSOVËS,2428
MYTAHER HASKUKA,144,LËVIZJA VETËVENDOSJE!,24378
NAIM ISMAJLI,177,PARTIA DEMOKRATIKE E KOSOVËS,5824
NAZIM GAGICA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1042
NENAD CVETKOVIC,161,NARODNA SLOGA,475
ORGES TAFILAJ,144,LËVIZJA VETËVENDOSJE!,1799
PERPARIM RAMA,160,LIDHJA DEMOKRATIKE E KOSOVËS,25252
QEMAJL ALIU,144,LËVIZJA VETËVENDOSJE!,5964
QENDRON KASTRATI,127,PARTIA SOCIALDEMOKRATE,5408
QERKIN VESELI,160,LIDHJA DEMOKRATIKE E KOSOVËS,259
RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,10419
RIZA KRUEZI,156,INICIATIVA ERDEM,45
RRAHIM TERNAVA,177,PARTIA DEMOKRATIKE E KOSOVËS,3580
RRUSTEM BERISHA,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,6328
RUFKI SUMA,163,RUFKI SUMA,2106
RUZHDI SHEHU,160,LIDHJA DEMOKRATIKE E KOSOVËS,1319
SALIH ZYBA,144,LËVIZJA VETËVENDOSJE!,2690
SASA MILOSEVIC,147,SRPSKA LISTA,3548
SASA MIRKOVIC,152,NARODNO JEDINSTVO,436
SELAJDIN BYTYCI,141,SELAJDIN BYTYҪI,78
SELATIN NUHIU,177,PARTIA DEMOKRATIKE E KOSOVËS,198
SHABAN SHABANI,177,PARTIA DEMOKRATIKE E KOSOVËS,4459
