Candidate,Party_ID,Party,Votes
SHAQIR HETEMI,177,PARTIA DEMOKRATIKE E KOSOVËS,199
SHAQIR TOTAJ,177,PARTIA DEMOKRATIKE E KOSOVËS,18919
SHERIF BERISHA,144,LËVIZJA VETËVENDOSJE!,322
SHKELQIM JAKUPI,160,LIDHJA DEMOKRATIKE E KOSOVËS,1957
SHPEJTIM BULLIQI,144,LËVIZJA VETËVENDOSJE!,16907
SHUKRI LUTA,138,SHUKRI LUTA,1157
SIBEL HALIMI,160,LIDHJA DEMOKRATIKE E KOSOVËS,4585
SLADJANA PANTOVIC,137,SLADJANA PANTOVIĆ,86
SLAVISA BISEVAC,181,GRAĐANSKA INICIJATIVA ZUBIN POTOK,377
SLAVISA VASILJEVIC,145,GI SLOBODA ŠTRPCE,1113
SMAJL LATIFI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,10144
SOKOL HALILI,116,INICIATIVA QYTETARE PËR SKENDERAJ,311
SOKOL HALITI,160,LIDHJA DEMOKRATIKE E KOSOVËS,8326
SRDJAN VULOVIC,147,SRPSKA LISTA,3225
STRAHINJA SPASIC,187,GI SRPSKA NARODNA SLOGA,699
TEKI SHALA,160,LIDHJA DEMOKRATIKE E KOSOVËS,2330
URAN ISMAILI,177,PARTIA DEMOKRATIKE E KOSOVËS,18771
VALON RAMADANI,144,LËVIZJA VETËVENDOSJE!,12793
VISAR KORENICA,144,LËVIZJA VETËVENDOSJE!,5341
VLADAN BOGDANOVIC,147,SRPSKA LISTA,789
XHAFER BYTYQI,176,XHAFER BYTYQI,174
XHAFER GASHI,109,INICIATIVA QYTETARE PËR OBILIQ,5975
XHAFER TAHIRI,160,LIDHJA DEMOKRATIKE E KOSOVËS,9956
XHAVIT DRENORI,165,INICIATIVA QYTETARE GREEN PËR DRENAS,952
XHELAL KRASNIQI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,393
XHEMAJL HASANI,119,NISMA SOCIALDEMOKRATE,205
XHEVXHET TAHIRI,102,BALLI KOMBËTAR I KOSOVËS,99
ZAFIR BERISHA,119,NISMA SOCIALDEMOKRATE,3452
ZENUN ELEZAJ,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,7531
ZORAN TODIC,147,SRPSKA LISTA,9065
