Candidate,Gender,Party_ID,Party,Acronym,Votes
ABAZ ADEMI,M,50,STRANKA DEMOKRATSKE AKCIJE,,261
ABDIRAMAN ZULJI,M,46,NOVA DEMOKRATSKA STRANKA,,165
ABDULLAH MORINA,M,57,KOSOVA DEMOKRATIK TÜRK PARTISI,,135
ABDULLAH PIRÇE,M,57,KOSOVA DEMOKRATIK TÜRK PARTISI,,342
ABDULLAH VOJVODA,M,59,NISMA PËR KOSOVËN,,1088
ABDYL YMERI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,8549
ABEDIN MJEKU,M,40,ALEANCA KOSOVA E RE,,206
ABETARE GASHI,F,37,PARTIA E FORTË,,31
ACA MIŠIĆ,M,38,SRPSKA LISTA,,1521
ADEL JONUZI,M,46,NOVA DEMOKRATSKA STRANKA,,143
ADELINA GJOCAJ,F,40,ALEANCA KOSOVA E RE,,416
ADELINA QORRAJ,F,31,PARTIA LIBERALE EGJIPTIANE,,94
ADEM BERISHA,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,4812
ADEM GRABOVCI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,11962
ADEM HODŽA,M,48,KOALICIJA ZA GORA,,682
ADEM SALIHAJ,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,8318
ADEM ZHITOPOTOKU,M,40,ALEANCA KOSOVA E RE,,229
ADILE NRECAJ,F,59,NISMA PËR KOSOVËN,,1334
ADILJ GURGUŠKA,M,51,CENTAR DEMOKRATSKE UNIJE,,43
ADMIR ALJILJI,M,36,KOALICIJA VAKAT,,258
ADMIR ÐEKOVIĆ,M,43,BOŠNJAČKA JEDINSTVENA LISTA,,89
ADNAN ADEMI,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,66
ADNAN KÖROGLU,M,52,KOSOVA TÜRK ADALET PARTISI,,210
ADRIANA ABAZI,F,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,20
ADRIATIK BEQA,M,40,ALEANCA KOSOVA E RE,,299
AFËRDITA BERISHA-SHAQIRI,F,54,LIDHJA DEMOKRATIKE E KOSOVËS,,3759
AFERDITA GJONBALAJ-STUBLLA,F,59,NISMA PËR KOSOVËN,,379
AFËRDITA NAMANI,F,40,ALEANCA KOSOVA E RE,,166
AFËRDITA PIREVA,F,35,LËVIZJA VETËVENDOSJE!,,2151
AFËRDITA STRELLCI,F,54,LIDHJA DEMOKRATIKE E KOSOVËS,,2086
AFËRDITA VELIU-DELIJA,F,35,LËVIZJA VETËVENDOSJE!,,450
AFIT ZULJI,M,36,KOALICIJA VAKAT,,364
AFRIM HOTI,M,35,LËVIZJA VETËVENDOSJE!,,1253
AFRIM HOTI,M,40,ALEANCA KOSOVA E RE,,1951
AFRIM ISLAMI,M,49,PARTIA E ASHKALINJEVE PER INTEGRIM,,241
AFRIM ISMAJLI,M,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,,67
AFRIM MIFTARI,M,40,ALEANCA KOSOVA E RE,,577
AFRIM PUSTINA,M,35,LËVIZJA VETËVENDOSJE!,,360
AFRIM SPAHIU,M,35,LËVIZJA VETËVENDOSJE!,,590
AGIM ADEMAJ,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,8009
AGIM ALIU,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,14882
AGIM ÇAKA,M,59,NISMA PËR KOSOVËN,,1017
AGIM ÇEKU,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,10804
AGIM HAZROLLI,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,2296
AGIM KIKAJ,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,7772
AGIM KULETA,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,2540
AGIM REXHEPI,M,40,ALEANCA KOSOVA E RE,,436
AGON IBRAHIMI,M,37,PARTIA E FORTË,,40
AGON PIRKU,M,37,PARTIA E FORTË,,32
AGRON BERISHA,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,91
AGRON DIDA,M,35,LËVIZJA VETËVENDOSJE!,,3936
AGRON HAJZERAJ,M,35,LËVIZJA VETËVENDOSJE!,,988
AGRON JASHARI,M,57,KOSOVA DEMOKRATIK TÜRK PARTISI,,305
AGRON REXHEPI,M,40,ALEANCA KOSOVA E RE,,4157
AGRON TERZIQI,M,40,ALEANCA KOSOVA E RE,,4581
AHMET BEŠIRI,M,55,POKRET ZA GORA,,128
AHMET HASI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,5828
AHMET ISUFI,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,4922
AHMET SIJARIĆ,M,43,BOŠNJAČKA JEDINSTVENA LISTA,,72
AIDA DËRGUTI,F,35,LËVIZJA VETËVENDOSJE!,,9805
AJLA HASANI,F,57,KOSOVA DEMOKRATIK TÜRK PARTISI,,105
AJNISHAHE HALIMI,F,35,LËVIZJA VETËVENDOSJE!,,2595
AJRIZ NEZIRI,M,46,NOVA DEMOKRATSKA STRANKA,,71
AJTEN AJGERI,F,52,KOSOVA TÜRK ADALET PARTISI,,75
ALBANA FETOSHI,F,35,LËVIZJA VETËVENDOSJE!,,1501
ALBANA GASHI,F,35,LËVIZJA VETËVENDOSJE!,,1989
ALBANA XHEMSHITI,F,59,NISMA PËR KOSOVËN,,464
ALBESON SHABANAJ,M,31,PARTIA LIBERALE EGJIPTIANE,,26
ALBIN KURTI,M,35,LËVIZJA VETËVENDOSJE!,,63602
ALBULENA BALAJ,F,59,NISMA PËR KOSOVËN,,3208
ALBULENA HAXHIU,F,35,LËVIZJA VETËVENDOSJE!,,7975
ALEKSANDAR MICIĆ,M,38,SRPSKA LISTA,,445
ALEKSANDAR MIHAJLOVIĆ,M,38,SRPSKA LISTA,,741
ALEKSANDAR MILETIĆ,M,38,SRPSKA LISTA,,3006
ALEN AZARI,M,46,NOVA DEMOKRATSKA STRANKA,,280
ALI BERISHA,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,5325
ALI GASHI,M,31,PARTIA LIBERALE EGJIPTIANE,,61
ALI HALIMI,M,35,LËVIZJA VETËVENDOSJE!,,1815
ALI JANUZI,M,35,LËVIZJA VETËVENDOSJE!,,2915
ALI LAHU,M,35,LËVIZJA VETËVENDOSJE!,,3460
ALI LAJÇI,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,1970
ALI SADRIU,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,8406
ALIRIZA DAPKO,M,37,PARTIA E FORTË,,20
ALIS BIRDAINI,M,46,NOVA DEMOKRATSKA STRANKA,,183
ALLBERT KINOLLI,M,34,PARTIA ROME E BASHKUAR E KOSOVËS,,378
ALMA DESTANOVIĆ,F,43,BOŠNJAČKA JEDINSTVENA LISTA,,441
ALMA LAMA,F,54,LIDHJA DEMOKRATIKE E KOSOVËS,,7485
ALMIR VELIJI,M,46,NOVA DEMOKRATSKA STRANKA,,234
ALSEN AZARI,M,51,CENTAR DEMOKRATSKE UNIJE,,77
ALUSH BIKLIQI,M,57,KOSOVA DEMOKRATIK TÜRK PARTISI,,244
AMELA GURGUŠKA,F,51,CENTAR DEMOKRATSKE UNIJE,,57
AMIL KAPLANI,M,36,KOALICIJA VAKAT,,476
AMIR AHMETI,M,40,ALEANCA KOSOVA E RE,,5370
AMIR SULEJMANOVIĆ,M,36,KOALICIJA VAKAT,,287
ANA PERENČEVIĆ,F,38,SRPSKA LISTA,,607
ANDRIJA IGIĆ,M,38,SRPSKA LISTA,,361
ANILA KASTRATI,F,59,NISMA PËR KOSOVËN,,625
ANITA AHMETI,F,40,ALEANCA KOSOVA E RE,,807
ANITA CUCOVIĆ,F,36,KOALICIJA VAKAT,,332
ANITA MULOLLI-VRAJOLLI,F,59,NISMA PËR KOSOVËN,,583
ANITA SALLA,F,46,NOVA DEMOKRATSKA STRANKA,,80
ANTIGONA SOFRA,F,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,37
ANTON BERISHA,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,4432
ANTON GOJÇAJ,M,37,PARTIA E FORTË,,42
ANTON QUNI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,24317
ARBAN ABRASHI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,2792
ARBEN ABAZI,M,31,PARTIA LIBERALE EGJIPTIANE,,92
ARBEN GASHI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,14891
ARBEN GECAJ,M,35,LËVIZJA VETËVENDOSJE!,,4909
ARBEN ISUFI,M,49,PARTIA E ASHKALINJEVE PER INTEGRIM,,137
ARBEN SHABANI,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,287
ARBËNESHA KUÇI,F,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,1896
ARBENITA RRUSTEMI,F,59,NISMA PËR KOSOVËN,,157
ARBËR GJONI,M,37,PARTIA E FORTË,,18
ARBËRESHA AJDINI-NALLBANI,F,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,1521
ARBERIJE NAGAVCI,F,35,LËVIZJA VETËVENDOSJE!,,3015
ARBNOR PULA,M,40,ALEANCA KOSOVA E RE,,3292
ARBNORA GOSALCI,F,37,PARTIA E FORTË,,31
ARDI HASIMJA,M,37,PARTIA E FORTË,,34
ARDIAN BYTYQI,M,40,ALEANCA KOSOVA E RE,,1034
ARDIAN GJINI,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,4505
ARDIAN SHALA,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,7372
ARDIAN VELIU,M,37,PARTIA E FORTË,,19
ARDIJAN HASANAJ,M,50,STRANKA DEMOKRATSKE AKCIJE,,116
ARDITA GJERGJEKU,F,37,PARTIA E FORTË,,26
ARDITA RAMADANI,F,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,346
ARDITA RIZVANOLLI,F,54,LIDHJA DEMOKRATIKE E KOSOVËS,,1298
ARIF BOZAXHI,M,35,LËVIZJA VETËVENDOSJE!,,612
ARIF KERA,M,52,KOSOVA TÜRK ADALET PARTISI,,202
ARIF KRASNIQI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,1031
ARIFE MUJI,F,59,NISMA PËR KOSOVËN,,1150
ARLINDA MORINA,F,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,76
ARMEND IBRAHIMI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,6619
ARMEND JAMINI,M,55,POKRET ZA GORA,,180
ARMEND ZEMAJ,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,11160
ARMIR VUÇITËRNA,M,59,NISMA PËR KOSOVËN,,258
ARSIM BAJRAMI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,15104
ARTA DEMOLLI,F,59,NISMA PËR KOSOVËN,,335
ARTA HAXHAJ,F,40,ALEANCA KOSOVA E RE,,1178
ARTAN ABRASHI,M,35,LËVIZJA VETËVENDOSJE!,,3442
ARTAN BERISHA,M,31,PARTIA LIBERALE EGJIPTIANE,,71
ARTAN HAZIRI,M,40,ALEANCA KOSOVA E RE,,1054
ARTIZANE DUSHI,F,59,NISMA PËR KOSOVËN,,751
ARTON KADRIU,M,35,LËVIZJA VETËVENDOSJE!,,399
ARZU VRŞEVÇA,F,57,KOSOVA DEMOKRATIK TÜRK PARTISI,,543
ASAN AVDULLAHI,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,254
ASMIR MUMINOVIĆ,M,43,BOŠNJAČKA JEDINSTVENA LISTA,,58
AURORA BAKALLI,F,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,3583
AVDI MUZLIUKAJ,M,35,LËVIZJA VETËVENDOSJE!,,626
AVDULLAH HOTI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,10887
AVDULLAH KLINAKU,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,4227
AVDYL SOPAJ,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,5808
AVNI AVDIU,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,144
AVNI GASHI,M,40,ALEANCA KOSOVA E RE,,748
AVNI KASTRATI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,6595
AVNI KLINAKU,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,6894
AVNI MUSTAFA,M,42,KOSOVAKI NEVI ROMANI PARTIA,,53
AVNI TAFILI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,3836
AVNI ZOGIANI,M,35,LËVIZJA VETËVENDOSJE!,,4778
AVNIJA BAHTIJARI,M,55,POKRET ZA GORA,,390
AYET ÇESKO,M,52,KOSOVA TÜRK ADALET PARTISI,,81
AYŞE MAZREK,F,57,KOSOVA DEMOKRATIK TÜRK PARTISI,,75
AZEM DURMIŠI,M,46,NOVA DEMOKRATSKA STRANKA,,279
AZEM SALJIJA,M,50,STRANKA DEMOKRATSKE AKCIJE,,38
AZEM SYLA,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,11146
AZEM ZEKAJ,M,35,LËVIZJA VETËVENDOSJE!,,565
AZEMINA SULEJMANI,F,48,KOALICIJA ZA GORA,,38
AZRA KRASNIQI,F,40,ALEANCA KOSOVA E RE,,803
BAHRI BEQIRI,M,59,NISMA PËR KOSOVËN,,364
BAHRI GASHI,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,980
BAHRIM ŠABANI,M,36,KOALICIJA VAKAT,,1133
BAHTA SEJDOVIĆ,F,43,BOŠNJAČKA JEDINSTVENA LISTA,,79
BAHTIJAREVIQ-MELINDA PACOLLI,F,50,STRANKA DEMOKRATSKE AKCIJE,,136
BAJRAM AJETI,M,59,NISMA PËR KOSOVËN,,1237
BAJRAM CURRI,M,35,LËVIZJA VETËVENDOSJE!,,751
BAJRAM GECAJ,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,5170
BAJRAM HASANI,M,59,NISMA PËR KOSOVËN,,1045
BAJRAM ILAZI,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,112
BAJRAM KOSUMI,M,40,ALEANCA KOSOVA E RE,,4221
BAJRAM OSMANI,M,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,,16
BAJRAM REXHEPI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,7372
BAJRAM TUTAJ,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,284
BAJRAM ZEJNULLAHU,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,8086
BAJRAMSHAH MURTEZI,F,31,PARTIA LIBERALE EGJIPTIANE,,22
BAJRO BAJRAMI,M,46,NOVA DEMOKRATSKA STRANKA,,25
BAJRUSH HOTI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,3632
BAJRUSH MORINA,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,5022
BAJRUSH YMERI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,4136
BAKI HOXHA,M,50,STRANKA DEMOKRATSKE AKCIJE,,154
BALI MUHARREMAJ,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,6135
BANUSH PACOLLI,M,40,ALEANCA KOSOVA E RE,,2244
BARDHYL META,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,7694
BASHKIM BEQA,M,35,LËVIZJA VETËVENDOSJE!,,719
BASHKIM BERISHA,M,59,NISMA PËR KOSOVËN,,221
BASHKIM KRASNIQI,M,49,PARTIA E ASHKALINJEVE PER INTEGRIM,,115
BASHKIM MUSLIU,M,59,NISMA PËR KOSOVËN,,697
BASHKIM NURBOJA,M,35,LËVIZJA VETËVENDOSJE!,,2610
BASHKIM STATOVCI,M,40,ALEANCA KOSOVA E RE,,550
BASRI DUBOVA,M,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,22
BASRI KODRA,M,35,LËVIZJA VETËVENDOSJE!,,1705
BASRI LENJANI,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,2110
BEDRI GASHI,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,921
BEDRI HALIMI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,4716
BEDRI MUSTAFA,M,47,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,,98
BEDRI STATOVCI,M,59,NISMA PËR KOSOVËN,,1220
BEDRIJA KASI,M,36,KOALICIJA VAKAT,,134
BEGZAD GASHI,M,40,ALEANCA KOSOVA E RE,,616
BEHAR SELIMI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,7075
BEHARE KORLLARI,F,34,PARTIA ROME E BASHKUAR E KOSOVËS,,94
BEHGJET PACOLLI,M,40,ALEANCA KOSOVA E RE,,18946
BEHIJE XHEMAILI,F,60,LËVIZJA GRUPIMI TRADICIONAL SHQIPTAR,,8
BEHXHET SAHITI,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,97
BEJTUSH GASHI,M,40,ALEANCA KOSOVA E RE,,927
BEKË BERISHA,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,4476
BEKIM HAXHIU,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,13705
BEKIM MURATI,M,46,NOVA DEMOKRATSKA STRANKA,,274
BEKIM SHABANI,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,128
BEQIR AJETI,M,53,BOŠNJAČKA STRANKA DEMOKRATSKE AKCIJE KOSOVA,,157
BEQIR HAMIDI,M,59,NISMA PËR KOSOVËN,,287
BEQIR RAÇI,M,40,ALEANCA KOSOVA E RE,,164
BEQIR SADIKAJ,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,5395
BERAT HASANI,M,37,PARTIA E FORTË,,23
