id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
1,ARTA DEMOLLI,F,59,NISMA PËR KOSOVËN,,0,Deçan
1,ARTA HAXHAJ,F,40,ALEANCA KOSOVA E RE,,0,Deçan
1,ARTAN ABRASHI,M,35,LËVIZJA VETËVENDOSJE!,,3,Deçan
1,ARTAN HAZIRI,M,40,ALEANCA KOSOVA E RE,,3,Deçan
1,ARTIZANE DUSHI,F,59,NISMA PËR KOSOVËN,,13,Deçan
1,ARTON KADRIU,M,35,LËVIZJA VETËVENDOSJE!,,3,Deçan
1,ARTAN BERISHA,M,31,PARTIA LIBERALE EGJIPTIANE,,2,Deçan
1,ARSIM BAJRAMI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,39,Deçan
1,AVDULLAH KLINAKU,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,18,Deçan
1,AVDYL SOPAJ,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,6,Deçan
1,AVNI AVDIU,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,2,Deçan
1,AVNI GASHI,M,40,ALEANCA KOSOVA E RE,,1,Deçan
1,AVNI KASTRATI,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,10,Deçan
1,AVNI KLINAKU,M,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,21,Deçan
1,AVNI MUSTAFA,M,42,KOSOVAKI NEVI ROMANI PARTIA,,0,Deçan
1,ARZU VRŞEVÇA,F,57,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Deçan
1,ASAN AVDULLAHI,M,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,0,Deçan
1,ASMIR MUMINOVIĆ,M,43,BOŠNJAČKA JEDINSTVENA LISTA,,0,Deçan
1,AURORA BAKALLI,F,58,PARTIA DEMOKRATIKE E KOSOVËS PARTIA E DREJTËSISË LËVIZJA PËR BASHKIM PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS PARTIA KONSERVATORE E KOSOVËS,,16,Deçan
1,AVDI MUZLIUKAJ,M,35,LËVIZJA VETËVENDOSJE!,,1,Deçan
1,AVDULLAH HOTI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,76,Deçan
1,ARDIJAN HASANAJ,M,50,STRANKA DEMOKRATSKE AKCIJE,,0,Deçan
1,ARDITA GJERGJEKU,F,37,PARTIA E FORTË,,0,Deçan
1,ARDITA RAMADANI,F,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,14,Deçan
1,ARDITA RIZVANOLLI,F,54,LIDHJA DEMOKRATIKE E KOSOVËS,,11,Deçan
1,ARIF BOZAXHI,M,35,LËVIZJA VETËVENDOSJE!,,1,Deçan
1,ARIF KERA,M,52,KOSOVA TÜRK ADALET PARTISI,,0,Deçan
1,ARIF KRASNIQI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,2,Deçan
1,ARIFE MUJI,F,59,NISMA PËR KOSOVËN,,2,Deçan
1,ARLINDA MORINA,F,32,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,,1,Deçan
1,ARMEND IBRAHIMI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,104,Deçan
1,ARMEND JAMINI,M,55,POKRET ZA GORA,,0,Deçan
1,ARMEND ZEMAJ,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,2175,Deçan
1,ARMIR VUÇITËRNA,M,59,NISMA PËR KOSOVËN,,0,Deçan
1,AHMET BEŠIRI,M,55,POKRET ZA GORA,,0,Deçan
1,AHMET HASI,M,54,LIDHJA DEMOKRATIKE E KOSOVËS,,682,Deçan
1,AHMET ISUFI,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,146,Deçan
1,AHMET SIJARIĆ,M,43,BOŠNJAČKA JEDINSTVENA LISTA,,1,Deçan
1,AIDA DËRGUTI,F,35,LËVIZJA VETËVENDOSJE!,,101,Deçan
1,AJLA HASANI,F,57,KOSOVA DEMOKRATIK TÜRK PARTISI,,0,Deçan
1,AJNISHAHE HALIMI,F,35,LËVIZJA VETËVENDOSJE!,,10,Deçan
1,AJRIZ NEZIRI,M,46,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,AJTEN AJGERI,F,52,KOSOVA TÜRK ADALET PARTISI,,0,Deçan
1,ALBANA FETOSHI,F,35,LËVIZJA VETËVENDOSJE!,,7,Deçan
1,ALBANA GASHI,F,35,LËVIZJA VETËVENDOSJE!,,24,Deçan
1,ALBANA XHEMSHITI,F,59,NISMA PËR KOSOVËN,,1,Deçan
1,ALBESON SHABANAJ,M,31,PARTIA LIBERALE EGJIPTIANE,,0,Deçan
1,ALBIN KURTI,M,35,LËVIZJA VETËVENDOSJE!,,539,Deçan
1,ALBULENA BALAJ,F,59,NISMA PËR KOSOVËN,,11,Deçan
1,ALBULENA HAXHIU,F,35,LËVIZJA VETËVENDOSJE!,,54,Deçan
1,ALEKSANDAR MICIĆ,M,38,SRPSKA LISTA,,0,Deçan
1,ALEKSANDAR MIHAJLOVIĆ,M,38,SRPSKA LISTA,,0,Deçan
1,ALEKSANDAR MILETIĆ,M,38,SRPSKA LISTA,,0,Deçan
1,ALEN AZARI,M,46,NOVA DEMOKRATSKA STRANKA,,0,Deçan
1,ALI BERISHA,M,44,ALEANCA PËR ARDHMËRINË E KOSOVËS,,451,Deçan
1,ALI GASHI,M,31,PARTIA LIBERALE EGJIPTIANE,,0,Deçan
1,ALI HALIMI,M,35,LËVIZJA VETËVENDOSJE!,,2,Deçan
1,ALI JANUZI,M,35,LËVIZJA VETËVENDOSJE!,,6,Deçan
