id,Party_ID,Party,Votes,Municipality
1,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,9843,Deçan
1,130,ISA ELEZAJ,307,Deçan
1,144,LËVIZJA VETËVENDOSJE!,1799,Deçan
1,160,LIDHJA DEMOKRATIKE E KOSOVËS,2919,Deçan
1,177,PARTIA DEMOKRATIKE E KOSOVËS,298,Deçan
2,119,NISMA SOCIALDEMOKRATE,522,Gjakovë
2,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,18973,Gjakovë
2,134,PARTIA SHQIPTARE DEMOKRISTIANE E KOSOVËS,2837,Gjakovë
2,144,LËVIZJA VETËVENDOSJE!,15426,Gjakovë
2,160,LIDHJA DEMOKRATIKE E KOSOVËS,2330,Gjakovë
2,177,PARTIA DEMOKRATIKE E KOSOVËS,1377,Gjakovë
3,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,12,Drenas
3,144,LËVIZJA VETËVENDOSJE!,264,Drenas
3,160,LIDHJA DEMOKRATIKE E KOSOVËS,11,Drenas
3,165,INICIATIVA QYTETARE GREEN PËR DRENAS,67,Drenas
3,177,PARTIA DEMOKRATIKE E KOSOVËS,436,Drenas
3,182,DEMOKRATËT PËR DRENASIN,453,Drenas
3,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,399,Drenas
3,144,LËVIZJA VETËVENDOSJE!,3652,Drenas
3,160,LIDHJA DEMOKRATIKE E KOSOVËS,208,Drenas
3,165,INICIATIVA QYTETARE GREEN PËR DRENAS,885,Drenas
3,177,PARTIA DEMOKRATIKE E KOSOVËS,9983,Drenas
3,182,DEMOKRATËT PËR DRENASIN,6531,Drenas
4,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,1042,Gjilan
4,144,LËVIZJA VETËVENDOSJE!,19057,Gjilan
4,160,LIDHJA DEMOKRATIKE E KOSOVËS,18546,Gjilan
4,168,LULZIM BEXHETI,206,Gjilan
4,172,GANI NEZIRI,252,Gjilan
4,177,PARTIA DEMOKRATIKE E KOSOVËS,3518,Gjilan
5,102,BALLI KOMBËTAR I KOSOVËS,99,Dragash
5,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,281,Dragash
5,123,KOALICIJA VAKAT,1593,Dragash
5,144,LËVIZJA VETËVENDOSJE!,2375,Dragash
5,160,LIDHJA DEMOKRATIKE E KOSOVËS,4887,Dragash
5,177,PARTIA DEMOKRATIKE E KOSOVËS,4459,Dragash
6,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,5140,Istog
6,129,INICIATIVA QYTETARE BASHKË PËR ISTOGUN,573,Istog
6,144,LËVIZJA VETËVENDOSJE!,4528,Istog
6,160,LIDHJA DEMOKRATIKE E KOSOVËS,7974,Istog
6,177,PARTIA DEMOKRATIKE E KOSOVËS,1189,Istog
7,138,SHUKRI LUTA,1157,Kaçanik
7,144,LËVIZJA VETËVENDOSJE!,5311,Kaçanik
7,160,LIDHJA DEMOKRATIKE E KOSOVËS,1957,Kaçanik
7,177,PARTIA DEMOKRATIKE E KOSOVËS,7111,Kaçanik
7,188,KASTRIOT BUSHI,384,Kaçanik
8,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,7531,Klinë
8,144,LËVIZJA VETËVENDOSJE!,1734,Klinë
8,160,LIDHJA DEMOKRATIKE E KOSOVËS,3351,Klinë
