Candidate,Party_ID,Party,Votes
AGIM ALIU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,21898
AGIM BAHTIRI,89,AKR - ALEANCA KOSOVA E RE,12178
AGRON KUÇI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,1406
ALI BERISHA,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,17744
AVNI KASTRATI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,11159
BAJRAM MULAKU,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,10165
BAJRUSH YMERI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,2222
BALI MUHARREMAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,12073
BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,9189
BOJAN STOJANOVIĆ,108,SAVEZ KOSOVSKIH SRBA,3718
BRANIMIR STOJANOVIĆ,126,G.I.SRPSKA,5278
BRATISLAV NIKOLIĆ,130,Samostalna Liberalna Stranka - SLS,3692
DRAGAN NIKOLIĆ,126,G.I.SRPSKA,1398
ENVER BERISHA,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,2235
EQREM KRYEZIU,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,23399
FATMIR MEHMETI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4437
GAZMEND MUHAXHERI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,23007
GRADIMIR MIKIĆ,126,G.I.SRPSKA,1585
IDRIZ VEHAPI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,11750
IMRI AHMETI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,15585
ISA MUSTAFA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,34503
IVAN REDŽIĆ,126,G.I.SRPSKA,2898
KRSTIMIR PANTIĆ,126,G.I.SRPSKA,2251
LUTFI HAZIRI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,25547
MEHMET KRASNIQI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,4579
MILAN ARITONOVIĆ,134,SRPSKA NARODNA PARTIJA KOSOVA - SNPK,1463
MIMOZA KUSARI-LILA,89,AKR - ALEANCA KOSOVA E RE,24832
MUHAREM SVARQA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,22719
MUHARREM SHABANI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,8265
NENAD CVETKOVIĆ,130,Samostalna Liberalna Stranka - SLS,1272
NEXHMEDIN ARIFI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,7695
OLIVER IVANOVIĆ,41,GI SDP - OLIVER IVANOVIC,1887
PAL LEKAJ,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,22500
QEMAJL MUSTAFA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,16994
RAGIP BEGAJ,109,INICIATIVA QYTETARE PËR MALISHEVËN,12029
RAMADAN MUJA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,26738
SALI ASLLANAJ,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,13834
SALIH MORINA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,6239
SALIM JENUZI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6864
SAŠA MIRKOVIĆ,130,Samostalna Liberalna Stranka - SLS,854
SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,7513
SHPEND AHMETI,61,LËVIZJA VETËVENDOSJE!,37049
SHUKRI BUJA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,13325
SMAJL LATIFI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,10644
SOKOL BASHOTA,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,6798
SOKOL HALITI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,11055
SREĆKO SPASIĆ,126,G.I.SRPSKA,1019
SVETISLAV IVANOVIĆ,126,G.I.SRPSKA,2892
XHAFER GASHI,62,AAK-LDD ALEANCA PËR ARDHMËRINË E KOSOVËS LDD,5346
ZENUN SHALA,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,848
