id,Polling Center,Candidate,Party_ID,Party,Votes,Municipality
10,1001D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,1281,Kamenicë
10,1001D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,923,Kamenicë
10,1001X,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,991,Kamenicë
10,1001X,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,727,Kamenicë
10,1002D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,417,Kamenicë
10,1002D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,545,Kamenicë
10,1003D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,205,Kamenicë
10,1003D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,55,Kamenicë
10,1004D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,191,Kamenicë
10,1004D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,86,Kamenicë
10,1005D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,660,Kamenicë
10,1005D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,230,Kamenicë
10,1006D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,96,Kamenicë
10,1006D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,91,Kamenicë
10,1007D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,101,Kamenicë
10,1007D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,51,Kamenicë
10,1008D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,353,Kamenicë
10,1008D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,339,Kamenicë
10,1009D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,633,Kamenicë
10,1009D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,805,Kamenicë
10,1010D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,127,Kamenicë
10,1010D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,66,Kamenicë
10,1013D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,55,Kamenicë
10,1013D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,25,Kamenicë
10,1015D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,215,Kamenicë
10,1015D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,86,Kamenicë
10,1016D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,177,Kamenicë
10,1016D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,21,Kamenicë
10,1017D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,151,Kamenicë
10,1017D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,81,Kamenicë
10,1022D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,121,Kamenicë
10,1022D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,490,Kamenicë
10,1023D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,260,Kamenicë
10,1023D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,122,Kamenicë
10,1024D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,848,Kamenicë
10,1024D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,688,Kamenicë
10,1025D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,165,Kamenicë
10,1025D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,311,Kamenicë
10,1026D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,599,Kamenicë
10,1026D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,310,Kamenicë
10,1027D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,83,Kamenicë
10,1027D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,95,Kamenicë
10,1028D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,97,Kamenicë
10,1028D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,94,Kamenicë
10,1029D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,535,Kamenicë
10,1029D,SHAIP SURDULLI,78,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,47,Kamenicë
10,1030D,BEGZAD SINANI,99,PDK - PARTIA DEMOKRATIKE E KOSOVËS,567,Kamenicë
