,date,confirmed,healed,dead,confirmed_cumulative,healed_cumulative,dead_cumulative,active
592,25/10/2021,20,31,0,160658,157256,2975,427
593,26/10/2021,22,20,1,160680,157276,2976,428
594,27/10/2021,16,16,0,160696,157292,2976,428
595,28/10/2021,28,25,0,160724,157317,2976,431
596,29/10/2021,25,9,0,160749,157326,2976,447
597,30/10/2021,13,20,1,160762,157346,2977,439
598,31/10/2021,5,14,0,160767,157360,2977,430
599,01/11/2021,21,10,0,160788,157370,2977,441
600,02/11/2021,21,16,1,160809,157386,2978,445
601,03/11/2021,14,16,0,160823,157402,2978,443
602,04/11/2021,14,17,0,160837,157419,2978,440
603,05/11/2021,16,10,0,160853,157429,2978,446
604,06/11/2021,19,5,0,160872,157434,2978,460
605,07/11/2021,8,6,0,160880,157440,2978,462
606,08/11/2021,11,26,0,160891,157466,2978,447
607,09/11/2021,14,17,0,160905,157483,2978,444
608,10/11/2021,6,21,0,160911,157504,2978,429
609,11/11/2021,16,17,1,160927,157521,2979,427
610,12/11/2021,7,13,1,160934,157534,2980,420
611,13/11/2021,14,6,0,160948,157540,2980,428
612,14/11/2021,4,8,0,160952,157548,2980,424
613,15/11/2021,5,22,0,160957,157570,2980,407
614,16/11/2021,17,19,0,160974,157589,2980,405
615,17/11/2021,11,16,0,160985,157605,2980,400
616,18/11/2021,7,26,1,160992,157631,2981,380
617,19/11/2021,7,34,1,160999,157665,2982,352
618,20/11/2021,7,33,0,161006,157698,2982,326
619,,,,,,,,
