id,Polling Center,Candidate,Party_ID,Party,Votes,Municipality
2,0228C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,71,Gjakovë
2,0229C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,385,Gjakovë
2,0229C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,79,Gjakovë
2,0230C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,233,Gjakovë
2,0230C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,20,Gjakovë
2,0231C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,307,Gjakovë
2,0231C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,70,Gjakovë
2,0232C,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,270,Gjakovë
2,0232C,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,27,Gjakovë
2,BM002,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,74,Gjakovë
2,BM002,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,82,Gjakovë
2,CB102,ARDIAN GJINI,121,ALEANCA PËR ARDHMËRINË E KOSOVËS,479,Gjakovë
2,CB102,MIMOZA KUSARI-LILA,144,LËVIZJA VETËVENDOSJE!,403,Gjakovë
3,0301E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,862,Drenas
3,0301E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,780,Drenas
3,0301X,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,634,Drenas
3,0301X,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,559,Drenas
3,0302E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,901,Drenas
3,0302E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,845,Drenas
3,0303E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,154,Drenas
3,0303E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,387,Drenas
3,0304E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,268,Drenas
3,0304E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,367,Drenas
3,0305E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,104,Drenas
3,0305E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,159,Drenas
3,0306E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,607,Drenas
3,0306E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,886,Drenas
3,0307E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,327,Drenas
3,0307E,RAMIZ LLADROVCI,177,PARTIA DEMOKRATIKE E KOSOVËS,223,Drenas
3,0308E,DRITON AJAZI,182,DEMOKRATËT PËR DRENASIN,294,Drenas
