id,Candidate,Gender,Party_ID,Party,Acronym,Votes,Municipality
1,ADELINA KADRIJAJ,F,31,NISMA - NISMA PËR KOSOVËN,,59,Deçan
1,AGNESA VOKSHI,F,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,218,Deçan
1,AJNISHAH TISHUKAJ,F,10,LËVIZJA VETËVENDOSJE!,,32,Deçan
1,ALBANE AVDIU,F,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,316,Deçan
1,ALBEHAR DOBRUNAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,82,Deçan
1,ALBESE CACAJ,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,164,Deçan
1,ALBION MUSLIJAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,123,Deçan
1,ALI BALAJ,M,34,AKR - ALEANCA KOSOVA E RE,,35,Deçan
1,ANTONETA HULAJ,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,97,Deçan
1,ARBËR KADRIJAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,103,Deçan
1,ARGJEND TAHIRUKAJ,M,10,LËVIZJA VETËVENDOSJE!,,32,Deçan
1,ARIANITA SHALA,F,31,NISMA - NISMA PËR KOSOVËN,,1,Deçan
1,ARLINDA DEMUKAJ,F,34,AKR - ALEANCA KOSOVA E RE,,96,Deçan
1,AVDULLAH ALIMUSAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,85,Deçan
1,AVNI SYLAJ,M,10,LËVIZJA VETËVENDOSJE!,,28,Deçan
1,BAJRAM KAQORRAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,25,Deçan
1,BAJRAM ZOGAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,56,Deçan
1,BEKIM BUFAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,19,Deçan
1,BESART ALIMUSAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,15,Deçan
1,BESARTA KRASNIQI,F,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,26,Deçan
1,BESJANA UKËHAXHAJ,F,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,182,Deçan
1,BESNIK HULAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,172,Deçan
1,BLENDOR TAHIRAJ,M,31,NISMA - NISMA PËR KOSOVËN,,4,Deçan
1,BLERINA BAQAJ,F,31,NISMA - NISMA PËR KOSOVËN,,41,Deçan
1,BLERTA AVDIMETAJ,F,10,LËVIZJA VETËVENDOSJE!,,5,Deçan
1,BUJAR OSDAUTAJ,M,31,NISMA - NISMA PËR KOSOVËN,,10,Deçan
1,DARDAN UKAJ,M,10,LËVIZJA VETËVENDOSJE!,,54,Deçan
1,DASHAMIR POVATAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,208,Deçan
1,DAUT BERISHA,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,111,Deçan
1,DENIS ELEZAJ,M,31,NISMA - NISMA PËR KOSOVËN,,1,Deçan
1,DJELLZA CACAJ,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,67,Deçan
1,EGZON HAXHOSAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,33,Deçan
1,EGZON KAMERAJ,M,10,LËVIZJA VETËVENDOSJE!,,42,Deçan
1,ELHAME KURTAJ,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,8,Deçan
1,ENKLODITA MULLIQAJ,F,10,LËVIZJA VETËVENDOSJE!,,14,Deçan
1,ERBLINA TAHIRAJ,F,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,174,Deçan
1,ERDOGAN DAUTAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,439,Deçan
1,FADIL LEKAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,154,Deçan
1,FAHRIJE HAKLAJ,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,82,Deçan
1,FATJETA RAMAJ,F,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,213,Deçan
1,FATMIR KURMEHAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,215,Deçan
1,FATON SELMANAJ,M,10,LËVIZJA VETËVENDOSJE!,,105,Deçan
1,FATON TURKAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,112,Deçan
1,FEKRI QUFAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,365,Deçan
1,FIDAN QUFAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,106,Deçan
1,FITIM PERGJEGJAJ,M,10,LËVIZJA VETËVENDOSJE!,,65,Deçan
1,FLORIM MATAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,381,Deçan
1,GANIMETE FERIZI,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,54,Deçan
1,GAZMEND ZAJMI,M,10,LËVIZJA VETËVENDOSJE!,,55,Deçan
1,GENTIAN TAHIRAJ,M,34,AKR - ALEANCA KOSOVA E RE,,59,Deçan
1,GRANIT SHABANAJ,M,31,NISMA - NISMA PËR KOSOVËN,,20,Deçan
1,HAJDAR REXHAHMETAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,11,Deçan
1,HAKI SHEHAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,9119,Deçan
1,IBRAHIM TISHUKAJ,M,34,AKR - ALEANCA KOSOVA E RE,,34,Deçan
1,ILIR FERIZAJ,M,10,LËVIZJA VETËVENDOSJE!,,111,Deçan
1,IMER KUKALAJ,M,21,BK - BALLI KOMBËTAR I KOSOVËS,,56,Deçan
1,ISMET ÇEKAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,130,Deçan
1,JANINA KRASNIQI,F,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,39,Deçan
1,JASHAR ZEQIRAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,176,Deçan
1,JETON KADRIJAJ,M,31,NISMA - NISMA PËR KOSOVËN,,1,Deçan
1,KASTRIOT KRASNIQI,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,13,Deçan
1,KASTRIOT LOKAJ,M,10,LËVIZJA VETËVENDOSJE!,,146,Deçan
1,KESTRIM AVDIMETAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,178,Deçan
1,KORAB HASKAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,6,Deçan
1,KRENARE SHABANAJ,F,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,50,Deçan
1,KRESHNIK GERVALLA,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,208,Deçan
1,KUSHTRIM AVDIMETAJ,M,10,LËVIZJA VETËVENDOSJE!,,64,Deçan
1,KUSHTRIM LOSHAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,398,Deçan
1,LABEAT MUSAJ,M,10,LËVIZJA VETËVENDOSJE!,,25,Deçan
1,LIRIJE ZUKAJ,F,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,161,Deçan
1,LULJETA AHMETAJ,F,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,36,Deçan
1,MAL LOKAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,2717,Deçan
1,MEHMET OSAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,318,Deçan
1,MELINDA UKHAXHAJ,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,53,Deçan
1,MELIZA QORRAJ,F,10,LËVIZJA VETËVENDOSJE!,,42,Deçan
1,MENTOR JANUZAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,112,Deçan
1,MENTOR NEZIRAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,136,Deçan
1,MERGIM BERISHA,M,10,LËVIZJA VETËVENDOSJE!,,55,Deçan
1,MERITA BINAKAJ,F,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,29,Deçan
1,MILAZIM MUSHKOLAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,283,Deçan
1,MON SELMONAJ,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,1606,Deçan
1,MUHAMET BOJKAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,198,Deçan
1,MUHAMET TAHIRAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,15,Deçan
1,MUSTAFË SELMANAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,553,Deçan
1,NATYRA KUÇI,F,10,LËVIZJA VETËVENDOSJE!,,132,Deçan
1,NEZIR LEKAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,118,Deçan
1,NURIJE CACAJ,F,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,160,Deçan
1,NURIMSHAHE DEMALIJAJ,F,10,LËVIZJA VETËVENDOSJE!,,45,Deçan
1,QAZIM MALOKU,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,337,Deçan
1,RAJMONDA AHMETAJ,F,10,LËVIZJA VETËVENDOSJE!,,53,Deçan
1,RAMË MELAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,273,Deçan
1,RAZË SUMAJ,F,10,LËVIZJA VETËVENDOSJE!,,49,Deçan
1,REJHANA TOLAJ,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,98,Deçan
1,REXHË KADRIJAJ,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,42,Deçan
1,REXHË SUTAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,275,Deçan
1,RIFAT STOJKAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,377,Deçan
1,RILIND SHALA,M,31,NISMA - NISMA PËR KOSOVËN,,0,Deçan
1,SADIK NITAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,175,Deçan
