Candidate,Gender,Party_ID,Party,Acronym,Votes
ABAZ HAXHA,M,44,PD - PARTIA E DREJTËSISË,,26
ABAZ KELMENDI,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,82
ABDÜLHADI KANTARCI,M,95,KTAP - KOSOVA TÜRK ADALET PARTiSi,,37
ABDÜLHADİ KRASNİÇ,M,22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,,1206
ABDULLAH MEHMETI,M,34,AKR - ALEANCA KOSOVA E RE,,458
ABDULLAH PİRÇE,M,22,KDTP - KOSOVA DEMOKRATiK TÜRK PARTiSi,,273
ABDULLAH SHABANI,M,31,NISMA - NISMA PËR KOSOVËN,,32
ABDULLAH VOJVODA,M,31,NISMA - NISMA PËR KOSOVËN,,1124
ABDURAMAN BUSHI,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,67
ABDURRAHMAN NAZIFI,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,142
ABDURRAHMON ZHUBI,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,86
ABDYL GASHI,M,10,LËVIZJA VETËVENDOSJE!,,246
ABDYL HAJREDINI,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,36
ABDYL HOXHA,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,133
ABDYL JANUZI,M,31,NISMA - NISMA PËR KOSOVËN,,8
ABDYL VISOKA,M,31,NISMA - NISMA PËR KOSOVËN,,26
ABDYLHAKIM MURATI,M,34,AKR - ALEANCA KOSOVA E RE,,56
ABDYLNASER SEFA,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,102
ABEDIN ALIU,M,46,FJALA,,20
ABEDIN BAHTIRI,M,30,ALTERNATIVA,,15
ABEDIN BALAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,126
ABEDIN FEJZULLAHU,M,34,AKR - ALEANCA KOSOVA E RE,,21
ABEDIN MORINA,M,10,LËVIZJA VETËVENDOSJE!,,24
ABEDIN SALKAJ,M,10,LËVIZJA VETËVENDOSJE!,,14
ABETARE HASANI,F,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,64
ABETARE KURTI,F,10,LËVIZJA VETËVENDOSJE!,,95
ABETARE LIMAJ,F,31,NISMA - NISMA PËR KOSOVËN,,223
ABETARE SYLEJMANI MUSLIU,F,10,LËVIZJA VETËVENDOSJE!,,146
ABIDE OSMANI,F,10,LËVIZJA VETËVENDOSJE!,,99
ABILE THAQI,F,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,14
ABIT AVDIU,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,69
ADELINA BEGA,F,31,NISMA - NISMA PËR KOSOVËN,,11
ADELINA BEQAJ,F,31,NISMA - NISMA PËR KOSOVËN,,114
ADELINA FAZLIJI,F,34,AKR - ALEANCA KOSOVA E RE,,241
ADELINA GASHI,F,15,LB - LËVIZJA PËR BASHKIM,,4
ADELINA GRUDA,F,34,AKR - ALEANCA KOSOVA E RE,,9
ADELINA HISENI,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,83
ADELINA KADRIJAJ,F,31,NISMA - NISMA PËR KOSOVËN,,59
ADELINA OSMANAJ,F,15,LB - LËVIZJA PËR BASHKIM,,19
ADELINA RAŠITI,F,57,GI SDP - OLIVER IVANOVIĆ,,16
ADELINA REXHEPI,F,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,188
ADELINA SADIKU,F,31,NISMA - NISMA PËR KOSOVËN,,30
ADELINA SALLOVA,F,31,NISMA - NISMA PËR KOSOVËN,,12
ADELINA SHAMOLLI,F,44,PD - PARTIA E DREJTËSISË,,17
ADELINA SHEHU KOLA,F,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,159
ADELINA SHKODRA,F,44,PD - PARTIA E DREJTËSISË,,110
ADELINA SPAHIU,F,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,217
ADELINA XHEMAJLI,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,25
ADELINË MEXHUANI,F,46,FJALA,,25
ADELINË ROBAJ,F,34,AKR - ALEANCA KOSOVA E RE,,42
ADELINË STUBLLA,F,10,LËVIZJA VETËVENDOSJE!,,251
ADELINE SYLAJ,F,31,NISMA - NISMA PËR KOSOVËN,,41
ADELISA KRASNIQI,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,127
ADEM ADEMI,M,31,NISMA - NISMA PËR KOSOVËN,,104
ADEM BALIU,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,16
ADEM BEQIRI,M,17,ADEM  BEQIRI,,204
ADEM BUCOLLI,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,424
ADEM DELIU,M,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,170
ADEM DOSHLAKU,M,10,LËVIZJA VETËVENDOSJE!,,25
ADEM GASHI,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,58
ADEM HAJROVIĆ,M,64,NDS - NOVA DEMOKRATSKA STRANKA,,11
ADEM KASTRATI,M,31,NISMA - NISMA PËR KOSOVËN,,202
ADEM KQIKU,M,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,88
ADEM MAKOLLI,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,7
ADEM MEGJUANI,M,10,LËVIZJA VETËVENDOSJE!,,155
ADEM NIKÇI,M,10,LËVIZJA VETËVENDOSJE!,,115
ADEM PLAKOLLI,M,15,LB - LËVIZJA PËR BASHKIM,,104
ADEM PRENIQI,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,3204
ADEM RAMADANI,M,10,LËVIZJA VETËVENDOSJE!,,46
ADEM SEJDIAJ,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,157
ADEM SHABANAJ,M,10,LËVIZJA VETËVENDOSJE!,,695
ADEM ZENELI,M,31,NISMA - NISMA PËR KOSOVËN,,45
ADIFETE MULAKU,F,94,PDK - PARTIA DEMOKRATIKE E KOSOVËS,,53
ADIL TAHIRI,M,34,AKR - ALEANCA KOSOVA E RE,,43
ADIL ZHEGROVA,M,50,AAK - ALEANCA PËR ARDHMËRINË E KOSOVËS,,53
ADILE HOXHA,F,47,LDK - LIDHJA DEMOKRATIKE E KOSOVËS,,174
ADIS ELSHANI,M,31,NISMA - NISMA PËR KOSOVËN,,1
ADIS SALAJI,M,74,KOALICIJA VAKAT,,29
ADLUM RAMADANI,M,34,AKR - ALEANCA KOSOVA E RE,,107
ADMIR DAFOTA,M,34,AKR - ALEANCA KOSOVA E RE,,47
ADMIR JONUZI,M,64,NDS - NOVA DEMOKRATSKA STRANKA,,27
ADMIR JUKOVIĆ,M,74,KOALICIJA VAKAT,,10
ADMIR RAMADANI,M,31,NISMA - NISMA PËR KOSOVËN,,138
