id,Polling Center,Party_ID,Party,Votes,Municipality
1,0102C,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,0,Deçan
1,0102C,11,SAMOSTALNA LIBERALNA STRANKA,1,Deçan
1,0102C,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,0,Deçan
1,0102C,13,NAPREDNA SNAGA KOSOVA,0,Deçan
1,0102C,14,PARTIA LIBERALE EGJIPTIANE  %,0,Deçan
1,0102C,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,0102C,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,0102C,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,0102C,18,PARTIA DEMOKRATIKE E UNITETIT,0,Deçan
1,0102C,19,FJALA,4,Deçan
1,0102C,20,KOALICIJA VAKAT,0,Deçan
1,0102C,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,0102C,22,NOVA DEMOKRATSKA STRANKA,1,Deçan
1,0102C,23,KOSOVA TÜRK ADALET PARTISI,0,Deçan
1,0102C,24,KOALICIJA SDA,0,Deçan
1,0102C,25,Lëvizja VETËVENDOSJE!,107,Deçan
1,0102C,26,PARTIA ROME E BASHKUAR E KOSOVËS,0,Deçan
1,0103C,1,JEDINSTVENA GORANSKA PARTIJA,3,Deçan
1,0103C,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,901,Deçan
1,0103C,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,0,Deçan
1,0103C,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,0103C,5,GRAĐANSKA INICIJATIVA GORE,0,Deçan
