id,Party_ID,Party,Votes,Municipality
1,1,JEDINSTVENA GORANSKA PARTIJA,32,Deçan
1,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,11331,Deçan
1,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,10,Deçan
1,4,G I EROMENDJE ALTERNATIVA,0,Deçan
1,5,GRAĐANSKA INICIJATIVA GORE,8,Deçan
1,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,3022,Deçan
1,7,POKRET ZA GORA,8,Deçan
1,8,PROGRESIVNA DEMOKRATSKA STRANKA,4,Deçan
1,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,23,Deçan
1,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,2,Deçan
1,11,SAMOSTALNA LIBERALNA STRANKA,1,Deçan
1,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,3,Deçan
1,13,NAPREDNA SNAGA KOSOVA,2,Deçan
1,14,PARTIA LIBERALE EGJIPTIANE  %,17,Deçan
1,15,PARTIA LIBERALE EGJIPTIANE,0,Deçan
1,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,0,Deçan
1,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,0,Deçan
1,18,PARTIA DEMOKRATIKE E UNITETIT,6,Deçan
1,19,FJALA,62,Deçan
1,20,KOALICIJA VAKAT,3,Deçan
1,21,GI. ZA PROSPERITET KOSOVA,0,Deçan
1,22,NOVA DEMOKRATSKA STRANKA,6,Deçan
1,23,KOSOVA TÜRK ADALET PARTISI,1,Deçan
1,24,KOALICIJA SDA,10,Deçan
1,25,Lëvizja VETËVENDOSJE!,1255,Deçan
1,26,PARTIA ROME E BASHKUAR E KOSOVËS,1,Deçan
10,1,JEDINSTVENA GORANSKA PARTIJA,17,Kamenicë
10,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,3307,Kamenicë
10,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,10,Kamenicë
10,4,G I EROMENDJE ALTERNATIVA,1,Kamenicë
10,5,GRAĐANSKA INICIJATIVA GORE,10,Kamenicë
10,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,4454,Kamenicë
10,7,POKRET ZA GORA,4,Kamenicë
10,8,PROGRESIVNA DEMOKRATSKA STRANKA,93,Kamenicë
10,9,PARTIA DEMOKRATIKE E ASHKANLIVE TË KOSOVËS,14,Kamenicë
10,10,INICIATIVA E RE DEMOKRATIKE E KOSOVËS,12,Kamenicë
10,11,SAMOSTALNA LIBERALNA STRANKA,24,Kamenicë
10,12,GRAĐANSKA INICIJATIVA SRPSKA LISTA,1390,Kamenicë
10,13,NAPREDNA SNAGA KOSOVA,6,Kamenicë
10,14,PARTIA LIBERALE EGJIPTIANE  %,3,Kamenicë
10,15,PARTIA LIBERALE EGJIPTIANE,14,Kamenicë
10,16,KOSOVA DEMOKRATİK TÜRK PARTİSİ,44,Kamenicë
10,17,PARTIJA KOSOVSKIH SRBA-AKTIVNA GRAĐANSKA INICIJATIVA,15,Kamenicë
10,18,PARTIA DEMOKRATIKE E UNITETIT,0,Kamenicë
10,19,FJALA,99,Kamenicë
10,20,KOALICIJA VAKAT,6,Kamenicë
10,21,GI. ZA PROSPERITET KOSOVA,5,Kamenicë
10,22,NOVA DEMOKRATSKA STRANKA,0,Kamenicë
10,23,KOSOVA TÜRK ADALET PARTISI,1,Kamenicë
10,24,KOALICIJA SDA,17,Kamenicë
10,25,Lëvizja VETËVENDOSJE!,6026,Kamenicë
10,26,PARTIA ROME E BASHKUAR E KOSOVËS,4,Kamenicë
11,1,JEDINSTVENA GORANSKA PARTIJA,35,Mitrovicë
11,2,Partia Demokratike e Kosovës Aleanca për Ardhmërinë e Kosovës Nisma për Kosovën Partia e Drejtësisë Lëvizja për Bashkim Partia Shqiptare Demokristiane e Kosovës Partia Konservatore e Kosovës Alternativa Demokratike e Kosovës Republikanët e Kosovës Partia e Ballit Partia Socialdemokrate Balli Kombëtar i Kosovës,10149,Mitrovicë
11,3,PARTIA E ASHKALINJËVE PËR INTEGRIM,49,Mitrovicë
11,4,G I EROMENDJE ALTERNATIVA,26,Mitrovicë
11,5,GRAĐANSKA INICIJATIVA GORE,11,Mitrovicë
11,6,LIDHJA DEMOKRATIKE E KOSOVËS ALEANCA KOSOVA E RE,6415,Mitrovicë
11,7,POKRET ZA GORA,32,Mitrovicë
11,8,PROGRESIVNA DEMOKRATSKA STRANKA,7,Mitrovicë
